Country Name,Country Code,Indicator Name,2021,2022,2023
Africa Eastern and Southern,AFE,Age dependency ratio (% of working-age population),80.63433833432771,79.8794634848445,79.14685730524852
Africa Eastern and Southern,AFE,GDP growth (annual %),4.576392802123806,3.553878363946467,2.32013780158924
Africa Eastern and Southern,AFE,GDP per capita growth (annual %),1.8420867268458068,0.9034881008810488,-0.2269284049706641
Africa Eastern and Southern,AFE,"Inflation, GDP deflator (annual %)",6.22269912307469,9.358767323578618,7.801229890573289
Africa Eastern and Southern,AFE,Military expenditure (% of GDP),1.0058620487480503,0.9973904547208288,
Africa Eastern and Southern,AFE,"Official exchange rate (LCU per US$, period average)",,,
Africa Eastern and Southern,AFE,"Population, female (% of total population)",50.519415677621005,50.51171030409844,50.50284440232991
Africa Eastern and Southern,AFE,Real interest rate (%),,,
Africa Eastern and Southern,AFE,Trade (% of GDP),55.56239579569044,58.53616277353471,56.87239246095558
Africa Eastern and Southern,AFE,Urban population (% of total population),37.39363252917164,37.909012021183145,38.42489805302562
Africa Western and Central,AFW,Age dependency ratio (% of working-age population),83.60965944162882,82.39347559249623,81.10228758926344
Africa Western and Central,AFW,GDP growth (annual %),4.037629513509671,3.789679845799469,3.354732819000205
Africa Western and Central,AFW,GDP per capita growth (annual %),1.6071966896395082,1.397033813741814,0.9176707721425572
Africa Western and Central,AFW,"Inflation, GDP deflator (annual %)",4.642203710059121,6.587122568436712,3.386691137528622
Africa Western and Central,AFW,Military expenditure (% of GDP),1.163210253047101,0.9685559250836016,
Africa Western and Central,AFW,"Official exchange rate (LCU per US$, period average)",,,
Africa Western and Central,AFW,"Population, female (% of total population)",49.65476126030416,49.649109262069146,49.64666862859244
Africa Western and Central,AFW,Real interest rate (%),,,
Africa Western and Central,AFW,Trade (% of GDP),,,
Africa Western and Central,AFW,Urban population (% of total population),48.531971059046455,49.12980798683633,49.71118412473459
Arab World,ARB,Age dependency ratio (% of working-age population),62.38669113701435,61.66623203471985,60.89557145271314
Arab World,ARB,GDP growth (annual %),4.031106353093605,5.721433108554493,1.020751343150181
