Country Name,Country Code,Indicator Name,2023
Africa Eastern and Southern,AFE,Age dependency ratio (% of working-age population),79.14685730524852
Africa Eastern and Southern,AFE,"Central government debt, total (% of GDP)",0.0
Africa Eastern and Southern,AFE,CPIA gender equality rating (1=low to 6=high),3.236842105263158
Africa Eastern and Southern,AFE,"Energy imports, net (% of energy use)",0.0
Africa Eastern and Southern,AFE,GDP growth (annual %),2.32013780158924
Africa Eastern and Southern,AFE,GDP per capita growth (annual %),-0.2269284049706641
Africa Eastern and Southern,AFE,"Inflation, GDP deflator (annual %)",7.801229890573289
Africa Eastern and Southern,AFE,"Literacy rate, adult total (% of people ages 15 and above)",73.2751083374023
Africa Eastern and Southern,AFE,Military expenditure (% of GDP),0.0
Africa Eastern and Southern,AFE,"Official exchange rate (LCU per US$, period average)",0.0
Africa Eastern and Southern,AFE,"Population, female (% of total population)",50.50284440232991
Africa Eastern and Southern,AFE,Real interest rate (%),0.0
Africa Eastern and Southern,AFE,Trade (% of GDP),56.87239246095558
Africa Eastern and Southern,AFE,"Unemployment, male (% of male labor force) (national estimate)",0.0
Africa Eastern and Southern,AFE,Urban population (% of total population),38.42489805302562
Africa Western and Central,AFW,Age dependency ratio (% of working-age population),81.10228758926344
Africa Western and Central,AFW,"Central government debt, total (% of GDP)",0.0
Africa Western and Central,AFW,CPIA gender equality rating (1=low to 6=high),3.275
Africa Western and Central,AFW,"Energy imports, net (% of energy use)",0.0
Africa Western and Central,AFW,GDP growth (annual %),3.354732819000205
Africa Western and Central,AFW,GDP per capita growth (annual %),0.9176707721425572
Africa Western and Central,AFW,"Inflation, GDP deflator (annual %)",3.386691137528622
Africa Western and Central,AFW,"Literacy rate, adult total (% of people ages 15 and above)",60.5055503845215
Africa Western and Central,AFW,Military expenditure (% of GDP),0.0
Africa Western and Central,AFW,"Official exchange rate (LCU per US$, period average)",0.0
Africa Western and Central,AFW,"Population, female (% of total population)",49.64666862859244
Africa Western and Central,AFW,Real interest rate (%),0.0
Africa Western and Central,AFW,Trade (% of GDP),58.5116196221062
Africa Western and Central,AFW,"Unemployment, male (% of male labor force) (national estimate)",0.0
Africa Western and Central,AFW,Urban population (% of total population),49.71118412473459
Arab World,ARB,Age dependency ratio (% of working-age population),60.89557145271314
Arab World,ARB,"Central government debt, total (% of GDP)",0.0
Arab World,ARB,CPIA gender equality rating (1=low to 6=high),2.583333333333333
Arab World,ARB,"Energy imports, net (% of energy use)",0.0
Arab World,ARB,GDP growth (annual %),1.020751343150181
Arab World,ARB,GDP per capita growth (annual %),-1.1427260526557603
Arab World,ARB,"Inflation, GDP deflator (annual %)",0.8548410373722817
Arab World,ARB,"Literacy rate, adult total (% of people ages 15 and above)",76.1542587280273
Arab World,ARB,Military expenditure (% of GDP),0.0
Arab World,ARB,"Official exchange rate (LCU per US$, period average)",0.0
Arab World,ARB,"Population, female (% of total population)",48.2760921374191
Arab World,ARB,Real interest rate (%),0.0
Arab World,ARB,Trade (% of GDP),90.56577529628194
Arab World,ARB,"Unemployment, male (% of male labor force) (national estimate)",0.0
Arab World,ARB,Urban population (% of total population),59.44385438149487
Caribbean small states,CSS,Age dependency ratio (% of working-age population),48.9326254500354
Caribbean small states,CSS,"Central government debt, total (% of GDP)",0.0
Caribbean small states,CSS,CPIA gender equality rating (1=low to 6=high),3.4
Caribbean small states,CSS,"Energy imports, net (% of energy use)",0.0
Caribbean small states,CSS,GDP growth (annual %),12.557634649781392
Caribbean small states,CSS,GDP per capita growth (annual %),11.811783582243748
Caribbean small states,CSS,"Inflation, GDP deflator (annual %)",4.033144144546768
Caribbean small states,CSS,"Literacy rate, adult total (% of people ages 15 and above)",87.3560028076172
Caribbean small states,CSS,Military expenditure (% of GDP),0.0
Caribbean small states,CSS,"Official exchange rate (LCU per US$, period average)",0.0
Caribbean small states,CSS,"Population, female (% of total population)",50.84082169624666
Caribbean small states,CSS,Real interest rate (%),0.0
Caribbean small states,CSS,Trade (% of GDP),58.5116196221062
Caribbean small states,CSS,"Unemployment, male (% of male labor force) (national estimate)",0.0
Caribbean small states,CSS,Urban population (% of total population),46.77027068824519
Central Europe and the Baltics,CEB,Age dependency ratio (% of working-age population),54.69369689038453
Central Europe and the Baltics,CEB,"Central government debt, total (% of GDP)",0.0
Central Europe and the Baltics,CEB,CPIA gender equality rating (1=low to 6=high),3.27702702702703
Central Europe and the Baltics,CEB,"Energy imports, net (% of energy use)",0.0
Central Europe and the Baltics,CEB,GDP growth (annual %),0.6398308526549386
Central Europe and the Baltics,CEB,GDP per capita growth (annual %),0.7538987307718799
Central Europe and the Baltics,CEB,"Inflation, GDP deflator (annual %)",9.547188625206076
Central Europe and the Baltics,CEB,"Literacy rate, adult total (% of people ages 15 and above)",87.3560028076172
Central Europe and the Baltics,CEB,Military expenditure (% of GDP),0.0
Central Europe and the Baltics,CEB,"Official exchange rate (LCU per US$, period average)",0.0
Central Europe and the Baltics,CEB,"Population, female (% of total population)",51.54469073386197
Central Europe and the Baltics,CEB,Real interest rate (%),0.0
Central Europe and the Baltics,CEB,Trade (% of GDP),123.89441180707684
Central Europe and the Baltics,CEB,"Unemployment, male (% of male labor force) (national estimate)",4.02122265290053
Central Europe and the Baltics,CEB,Urban population (% of total population),63.035453239976704
Early-demographic dividend,EAR,Age dependency ratio (% of working-age population),52.28959115886016
Early-demographic dividend,EAR,"Central government debt, total (% of GDP)",0.0
Early-demographic dividend,EAR,CPIA gender equality rating (1=low to 6=high),3.413793103448276
Early-demographic dividend,EAR,"Energy imports, net (% of energy use)",0.0
Early-demographic dividend,EAR,GDP growth (annual %),4.313112021396321
Early-demographic dividend,EAR,GDP per capita growth (annual %),3.11188927034911
Early-demographic dividend,EAR,"Inflation, GDP deflator (annual %)",4.416987845842442
Early-demographic dividend,EAR,"Literacy rate, adult total (% of people ages 15 and above)",81.4959564208984
Early-demographic dividend,EAR,Military expenditure (% of GDP),0.0
Early-demographic dividend,EAR,"Official exchange rate (LCU per US$, period average)",0.0
Early-demographic dividend,EAR,"Population, female (% of total population)",49.28082174229039
Early-demographic dividend,EAR,Real interest rate (%),0.0
Early-demographic dividend,EAR,Trade (% of GDP),54.68946660153488
Early-demographic dividend,EAR,"Unemployment, male (% of male labor force) (national estimate)",0.0
Early-demographic dividend,EAR,Urban population (% of total population),47.06821987551641
East Asia & Pacific,EAS,Age dependency ratio (% of working-age population),46.95216248591224
East Asia & Pacific,EAS,"Central government debt, total (% of GDP)",0.0
East Asia & Pacific,EAS,CPIA gender equality rating (1=low to 6=high),3.2857142857142856
East Asia & Pacific,EAS,"Energy imports, net (% of energy use)",0.0
East Asia & Pacific,EAS,GDP growth (annual %),4.104145624609899
East Asia & Pacific,EAS,GDP per capita growth (annual %),3.893912072847641
East Asia & Pacific,EAS,"Inflation, GDP deflator (annual %)",3.841006148713696
East Asia & Pacific,EAS,"Literacy rate, adult total (% of people ages 15 and above)",96.4304885864258
East Asia & Pacific,EAS,Military expenditure (% of GDP),0.0
East Asia & Pacific,EAS,"Official exchange rate (LCU per US$, period average)",0.0
East Asia & Pacific,EAS,"Population, female (% of total population)",49.54014827081481
East Asia & Pacific,EAS,Real interest rate (%),0.0
East Asia & Pacific,EAS,Trade (% of GDP),58.06669700310845
East Asia & Pacific,EAS,"Unemployment, male (% of male labor force) (national estimate)",0.0
East Asia & Pacific,EAS,Urban population (% of total population),62.98238098787912
East Asia & Pacific (excluding high income),EAP,Age dependency ratio (% of working-age population),45.69814605446997
East Asia & Pacific (excluding high income),EAP,"Central government debt, total (% of GDP)",0.0
East Asia & Pacific (excluding high income),EAP,CPIA gender equality rating (1=low to 6=high),3.2857142857142856
East Asia & Pacific (excluding high income),EAP,"Energy imports, net (% of energy use)",0.0
East Asia & Pacific (excluding high income),EAP,GDP growth (annual %),5.107448858709688
East Asia & Pacific (excluding high income),EAP,GDP per capita growth (annual %),4.912364787394381
East Asia & Pacific (excluding high income),EAP,"Inflation, GDP deflator (annual %)",3.888994462530548
East Asia & Pacific (excluding high income),EAP,"Literacy rate, adult total (% of people ages 15 and above)",96.6776275634766
East Asia & Pacific (excluding high income),EAP,Military expenditure (% of GDP),0.0
East Asia & Pacific (excluding high income),EAP,"Official exchange rate (LCU per US$, period average)",0.0
East Asia & Pacific (excluding high income),EAP,"Population, female (% of total population)",49.39185660836328
East Asia & Pacific (excluding high income),EAP,Real interest rate (%),0.0
East Asia & Pacific (excluding high income),EAP,Trade (% of GDP),45.52493076650968
East Asia & Pacific (excluding high income),EAP,"Unemployment, male (% of male labor force) (national estimate)",0.0
East Asia & Pacific (excluding high income),EAP,Urban population (% of total population),60.04894176814042
East Asia & Pacific (IDA & IBRD countries),TEA,Age dependency ratio (% of working-age population),45.7076443957817
