Years,Age dependency ratio (% of working-age population),GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),Urban population (% of total population),years_before_the_war
1972,60.0046495609534,4.32166756962231,3.96855607900957,7.18825188402374,5.1710477559332,0.400390461530008,51.3906902338671,0.29084168320383,41.569431627825,77.195,10
1973,60.1523219717184,6.52384848717706,6.31824501880698,8.41487853048275,4.90616105746511,0.408170945299307,51.376100973591,-0.382676747053772,47.4304221696313,77.358,9
1974,60.0780844346666,-2.48440405800613,-2.54587723829528,15.0592126445052,5.06942711490535,0.427756439747663,51.356633356781,-5.26616904917135,58.7204994159872,77.521,8
1975,59.7493869660106,-1.47364945113077,-1.46633521127663,25.7707279671042,5.33960343915615,0.452041165666667,51.3377749917458,-12.1674069537389,52.7400836429526,77.683,7
1976,59.1494463472092,2.91026615928646,2.93558914391343,15.1135672667405,5.17550333681554,0.556509832333334,51.3294428308551,-3.48579004370741,57.4007925840093,77.844,6
1977,58.4049625622044,2.45775049016747,2.49143783243224,13.7104941413511,4.92327762103886,0.573271999,51.3344947699837,-4.22003924168985,58.9106533789518,78.005,5
1978,57.6622386445546,4.20426047029908,4.19867536784257,11.4575470335583,4.73304308586993,0.521504582333334,51.3392630891047,-2.12134314497915,54.9658489521189,78.164,4
1979,56.9221498679676,3.74901664423379,3.65596579348365,14.066541267377,4.67975756747534,0.472181165666667,51.333564560999,-0.325891299861888,54.6416439532449,78.323,3
1980,56.1772144491518,-2.03136780182236,-2.14838727777156,19.703794651774,5.01990345888742,0.430294999,51.330989687237,-2.83291881289615,51.2923400946947,78.481,2
1981,55.3658298056407,-0.787743787095451,-0.822285198812807,11.5692627872042,4.98376336921746,0.497641332333334,51.341118879631,1.51093336164726,49.3737636806214,78.588,1
1982,54.3987148364994,1.99489123324395,2.03145560428536,7.41877494736352,5.38132652115477,0.572446832333333,51.352484904185,4.20056151405023,49.5961959065716,78.539,0
1980,50.3205679983998,-0.256775732470302,-1.20932407292817,9.03310538792248,5.15353746651636,1.0,51.3316820721847,5.71636286358695,20.1098446894226,73.738,10
1981,50.0520528903637,2.53770126730302,1.53630241719003,9.46216408749201,5.64654125624258,1.0,51.3021412279737,8.59460069233457,19.4259131704272,73.89,9
1982,49.9439250729823,-1.80301378770601,-2.73469491077486,6.17840414954172,6.81405709441284,1.0,51.2578846722031,8.17720821228698,17.5368122809184,74.042,8
1983,49.9232284077432,4.58379098591793,3.63185804031656,3.91690878504356,6.32114425976717,1.0,51.2089672331993,6.61803546894282,16.6655934803103,74.194,7
1984,49.8830003733776,7.23645315874113,6.31198921610689,3.60787931289983,6.23641652963897,1.0,51.1580827437964,8.14090660192676,17.5224074224053,74.344,6
1985,49.7654113331785,4.1695753468006,3.25057626031526,3.16252525583639,6.4532192046686,1.0,51.1089087622716,6.56324383365547,16.603906126303,74.494,5
1986,49.7054297393338,3.46265505318908,2.51089496601867,2.01389253563396,6.62652265789842,1.0,51.0643291580197,6.19386958708484,16.8979771514343,74.644,4
1987,49.8926857604386,3.45462966457823,2.5340423430043,2.47738846679574,6.42027402288488,1.0,51.0235149034866,5.58752028345538,17.9735809845702,74.793,3
1988,50.2833103997195,4.17698239778066,3.23533792848181,3.52749985937888,6.0712777020948,1.0,50.9823280815196,5.59030223706963,19.0701007058615,74.942,2
1989,50.77464898173,3.67223783573645,2.69776021537939,3.92075948089523,5.87120600804653,1.0,50.9426847513223,6.6902646662395,19.4151106604887,75.089,1
1990,51.238482086274,1.8859655853434,0.741486721211061,3.74332909937958,5.60517529438794,1.0,50.8809538075126,6.03974985349163,19.8150673537315,75.3,0
2010,42.9172236658305,2.2000000002151,2.91158696816194,7.76871548067652,4.26564605593771,373.660466738817,54.0721195410016,10.6076357898925,64.642975973633,63.44,10
