,Age dependency ratio (% of working-age population),CPIA gender equality rating (1=low to 6=high),"Central government debt, total (% of GDP)","Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)","Literacy rate, adult total (% of people ages 15 and above)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),"Unemployment, male (% of male labor force) (national estimate)",Urban population (% of total population)
1968,88.2043120396981,,,,,,,,,35.0,49.8172814598434,,,,13.291
1969,88.0511509038789,,,,,,,,,43.5583333329167,49.8302427685872,,,,14.579
1970,89.8970339519953,,,,,,,,,55.539999999,49.9668784497849,,,,15.97
1971,92.5360608170238,,,,,,,,,75.8216666659167,50.2257252812315,,,,18.717
1972,93.294054065326,,,,,,,,,162.25,50.4756748916598,,,,21.818
1973,93.2907598385125,,,,,,,,,244.916666666667,50.7153034536859,,,,25.263
1974,92.6305996639946,,,,,,,,,244.916666666667,50.9504455098154,,,,29.055
1975,92.2975175413018,,,,,,,,,244.916666666667,51.4751483429291,,,,4.477
1976,91.8037614851854,,,,0.0,7.275968294004,-1.19850187060966,,,244.916666666667,52.1586421235174,,,,4.82
1977,89.9206116537871,,,,-14.6764073144395,-7.65550610489709,15.6014728085327,,,244.916666666667,52.6910316234255,,,,5.186
1978,88.6340422420714,,,,0.0,8.76685381778104,-1.56290033341314,,,244.916666666667,53.3461558830098,,,,5.578
