,Age dependency ratio (% of working-age population),CPIA gender equality rating (1=low to 6=high),"Central government debt, total (% of GDP)","Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)","Literacy rate, adult total (% of people ages 15 and above)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),"Unemployment, male (% of male labor force) (national estimate)",Urban population (% of total population)
1967,84.9297451382299,,,,4.06158788001318,1.35005724435358,1.77294449289032,,2.48622496976213,2.5000000015,51.0267648951167,,,,8.1
1968,86.1750552048182,,,,4.14218784379459,1.30452908796789,2.19274237060215,,2.1956163689345,2.5000000015,51.0356318814728,,,,8.26
1969,87.3884981660236,,,,1.38865740774854,-1.36262412612152,4.24105256872156,,2.02066455324645,2.5000000015,51.0438129811835,,,,8.422
1970,88.6118518916132,,,,3.48272874063258,0.669468375168478,6.2793772639692,,1.88310980263875,2.5000000015,51.0508881198146,,,,8.588
1971,89.9573069229017,,,3.44400158294332,6.5264761637235,3.65482353629076,-0.869609635257675,,1.90607150412524,2.49347500129167,51.0564331474855,,,,8.756
1972,91.3026375824599,,,3.08167992778137,4.22715958999223,1.47906696670449,-3.37743356623034,,1.93641025641026,2.299999999,51.0611818207072,,,,8.928
1973,92.4075678763378,,,3.16631449005577,5.10986950748801,2.34969399999414,0.38306367133751,,1.92555408221254,2.098749999,51.0661212323421,,,,9.102
1974,93.1282578838801,,,3.07311099425372,3.27365832432483,0.636585361810376,7.39299890729632,,2.79458239277652,2.069999999,51.0722488033023,,,,9.279
1975,93.6669700593597,,,2.67518135670391,1.24613171483632,-1.19852341461882,-1.2342925267514,,4.49206211503427,2.069999999,51.0808112900654,,,,9.46
1976,94.3617418994778,,,2.65715450338483,0.148810316081565,-2.34815489377266,7.85249113974946,,4.13172252533126,2.069999999,51.0921603085078,,,,9.644
1977,95.0394915407528,,,2.58758977965821,2.72568162583818,0.76560608752925,11.2882834007546,,3.96778085302675,2.069999999,51.1039949260826,,,,9.83
1988,95.1171465434969,,,3.38606528433409,0.503674879297762,-3.34518199788333,3.10550371429636,,8.5014361098123,2.07,50.8279007056402,2.80731501368175,,,12.143
1989,95.4757038632148,,,3.47458247157008,-0.36104417975227,-4.11569691071389,5.58473189935049,,10.2766484563588,2.07,50.7510458167645,0.393303172891858,,,12.38
1990,95.886756053368,,47.1758923635809,3.55033136048128,2.72645178272658,-1.0064688929518,3.27137461018934,,9.6579698086295,2.07,50.6841812289137,2.64218947419863,,,12.621
1991,95.8232624599868,,49.6471547793914,3.40089152154028,-7.13747970027428,-11.0737930131849,19.0842902283411,,5.70513154467309,2.07,50.5992594353366,-10.9874192500558,,,12.867
1992,95.8926378892905,,43.3007948756543,2.2449679995519,-8.67248014788842,-12.4354815219745,15.5322258683715,,3.44170834936514,2.8025,50.5114336288947,-6.51958863577435,,,13.116
1993,96.4787220417645,,71.5033855542775,2.73662934443893,13.1428339765154,9.23479853421722,13.3768642296366,,3.07168835064302,5.0,50.4411429675369,0.549614574893553,,,13.37
1994,97.0730362422405,,90.2523100095927,3.0482712924944,3.18996458217961,-0.340437449778463,2.93108171424225,27.0,2.86843870238978,5.465,50.3769282721675,11.0775593039487,,3.0,13.627
1995,97.6212396687544,,80.6182076424932,3.3432463542146,6.12751141376545,2.57532695955953,12.706369018741,27.0,2.22561605430131,6.15833333333333,50.3217510912132,2.10898845849346,,3.0,13.827
1996,98.243007722384,,70.3936489385985,3.51350821346144,12.4261737774646,8.77685691388592,0.239138038731895,27.0,2.11713848911382,6.351675,50.271925224536,13.6448984853101,,3.0,14.006
1997,99.0924680813357,,67.7317426757118,3.31172326946544,3.13390685087593,-0.119280616504753,0.20665555091621,27.0,3.3431774775412,6.70934166666667,50.2222726564236,10.2721165500366,,3.0,14.186
1998,100.047919167455,,76.0638442706389,3.32510783279653,-3.45813913371742,-6.44288564669758,-0.150146937642802,27.0,7.27693614895529,7.11590833333333,50.1750715415533,10.6661618530292,,3.0,14.369
