,Age dependency ratio (% of working-age population),CPIA gender equality rating (1=low to 6=high),"Central government debt, total (% of GDP)","Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)","Literacy rate, adult total (% of people ages 15 and above)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),"Unemployment, male (% of male labor force) (national estimate)",Urban population (% of total population)
1982,51.5345087253762,,,,2.00244542885206,1.14247059836754,3.50550160200538,,,,53.6070599783664,,,,53.176
1983,51.3219414008432,,,,4.3016035214589,3.38897302522059,-2.81720237856229,,,,53.5558235153013,,,,53.516
1984,51.3329290979417,,,,5.4279631478795,4.5315677189254,1.28015120287648,,,,53.5116137074011,,,,53.855
1985,51.4133569382608,,,,4.94120590442833,4.02522934899925,-4.53224449576,,,,53.4658472099888,,,,54.194
1986,51.5023188276049,,,,-8.17567222383052,-8.98763779625877,6.10346627987684,,,,53.4184711834901,,,,54.532
1987,51.608808045063,,,,1.28148065724565,0.448766891959991,2.33372501305425,,,,53.3703703907166,,82.2958430048533,,54.87
1988,51.768638283003,,,,5.55545382967426,4.51547691173728,-2.23111156230848,,,,53.3237919297689,,88.6041439476554,,55.208
1989,52.011422137084,,,,-7.19378285079883,-7.43723179966314,5.41600480029352,,,,53.255367032139,,87.7804096419117,,55.277
1990,52.5260655302916,,,83.760782005849,-14.788785046729,-14.7657166211898,22.3590344933704,,,,53.2338557722183,,85.5271949752773,,55.038
1991,53.2630556772206,,,84.0520822869101,-21.0998508379398,-21.652946447153,62.1416131246432,,,,53.2923171984655,,59.020160869111,,54.799
1992,53.9970505622859,,,83.062434591766,-44.899774806083,-45.3248837559735,1314.28649638573,,,,53.3681186554234,,101.943699731903,,54.559
1998,54.8723808578403,,56.9064733876267,54.717476511074,3.10150969616576,5.68429106346969,6.94032134027844,,1.13697395615685,1.38981666666667,54.0730797729507,,53.5666693215985,15.27,53.12
1999,54.1958853817776,,60.7776033305696,52.3467491815003,2.86729567454968,5.00558453773334,9.72884175944706,,0.924374855931971,2.02451666666667,54.1921225572501,,57.1518743274472,15.32,52.879
2000,53.3929528793645,,58.5196339627013,53.8413253189254,1.84038117927339,3.84018024327052,4.67821081510431,,0.615582490752135,1.97616666666667,54.3264443467939,,62.6613956413099,11.1,52.638
2001,52.6532541516572,,56.0323643991609,50.8049694834439,4.80729867243699,6.44578529290918,5.37434640155622,,0.740186005258763,2.07301666666667,54.4481280566776,,63.3299250824094,11.63,52.398
2002,52.0905345263517,,55.4493025751073,47.8061777424695,5.47402488700408,6.42465284351501,5.91907467017472,100.0,1.00053299706695,2.195675,54.5116024192763,,71.6291255364807,14.01,52.441
2003,51.8912336913573,,45.5074088345535,49.1530661430502,11.0570310020104,11.8096106867876,3.42601021010252,100.0,1.06848912472203,2.14565,54.4547475892697,19.6559499381247,77.6333765369391,11.48,52.83
2004,51.6511823672057,,36.9156072188349,53.7159450229167,5.79268292682926,6.44984993877193,8.4336944783275,100.0,1.37383897186186,1.91665,54.3228881728707,12.5915017351008,79.0407459055607,13.4,53.218
2005,51.1318422314324,4.5,29.2292335361289,65.5054053254813,9.59113832853026,10.2895785214873,7.93510297063291,100.0,3.33916979671741,1.812675,54.2053152269511,8.90886137260652,84.5295975354749,14.8,53.605
2006,50.5376973981808,4.5,23.090087672862,69.4049372062522,9.42148081189909,10.0452966712851,8.44730526034763,100.0,5.21830695097827,1.78043333333333,54.1060618912468,7.942062785524,89.125374368197,15.23,53.992
2007,49.7798016624101,4.5,19.2040626581459,67.8866916567529,12.5755698246405,13.1643509520424,9.46750810327333,100.0,9.15911651704757,1.67049166666667,54.0188008384941,6.95969854014203,88.3934140686603,13.93,54.379
2008,48.9161113273738,4.5,23.4732554299105,64.1685851401154,2.42161440960641,2.7332346709434,9.5923273865413,100.0,8.52011839531126,1.49079166666667,53.9338449378932,7.71204166235267,86.2982243681487,18.11,54.765
