,Age dependency ratio (% of working-age population),CPIA gender equality rating (1=low to 6=high),"Central government debt, total (% of GDP)","Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)","Literacy rate, adult total (% of people ages 15 and above)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),"Unemployment, male (% of male labor force) (national estimate)",Urban population (% of total population)
1960,78.1963185263407,,,,,,,,2.00401234567901,4.7619000037619,48.4168024191013,,11.2968331123897,,17.924
1961,79.2466190568615,,,,3.72274253311053,1.26664879370229,2.14542764709287,,2.07435972060536,4.7619000037619,48.3955323753301,,10.2611625948092,,18.032
1962,80.3615159024236,,,,2.93112773548363,0.518501925930877,4.40561672938829,,2.74540043290043,4.7619000037619,48.3792946473907,,10.2007901792472,,18.218
1963,81.5177912967037,,,,5.99435326188559,3.53649105320284,8.35362388701878,,4.02530602636535,4.7619000037619,48.368537774031,,10.1873378430933,,18.405
1964,82.2853750137233,,,,7.45295012250209,4.96611887042545,8.55167696512851,,3.81923698021801,4.7619000037619,48.359901384889,,9.41054892008962,,18.595
1965,82.5509385087176,,,,-2.63577011020728,-4.80310349916745,8.30036940764349,,3.87141491395794,4.7619000037619,48.3564497660154,,8.51903436951768,,18.785
1966,82.623126636811,,,,-0.0553287704537979,-2.17104368610545,13.2707065585617,,3.57237064592492,6.35912500535913,48.3596276614051,,10.8142375112067,,18.977
1967,82.5030296249276,,,,7.82596303082235,5.53582268726483,8.61620471048464,,3.22392372146778,7.5000000065,48.3601439584885,,9.98106266810607,,19.171
1968,82.3426324478197,,,,3.38792917634143,1.19038521156524,2.41538358508238,,3.24556858467412,7.5000000065,48.3656734274099,,8.98174447557988,,19.366
1969,82.2116927473581,,,,6.53970029928357,4.31191269527491,3.34336433815,,3.14081455805893,7.5000000065,48.3802225772442,,7.744776643449,,19.562
1970,81.8831795123665,,,,5.15722973718955,2.84864261828497,1.56224348305101,,3.18518303985171,7.5000000065,48.3781085300861,,7.66176933794548,,19.76
1971,81.5721664288433,,,9.76203165088364,1.64293037527582,-0.584836098079052,5.32484105974427,,3.65245352356247,7.49193523096824,48.377428933257,,7.66960655842499,,19.991
1989,74.7462897436702,,,7.61527291287209,5.94734333181324,3.6060240805828,8.43680886909797,,3.53417972767288,16.2255,48.3125665494911,7.43584324824212,15.1681320906695,,25.305
1990,74.2102460090207,,50.7832537948314,8.25988779306431,5.53345456125301,3.22351634312818,10.6683038500875,,3.14621461029962,17.5035,48.3195450504531,5.26952699827423,15.5062615101965,,25.547
1991,73.6394717785432,,50.0100803583574,8.79744283202606,1.05683143496063,-1.11028105297254,13.7518189408817,48.0,2.90997432764267,22.7424333333333,48.3240491642076,3.62471659575062,16.9877265511351,,25.778
1992,73.0414337152497,,49.6809013594637,11.0455206943752,5.48239602040357,3.25939544010092,8.96515236173758,48.0,2.70483970561409,25.9180833333333,48.3258634876185,9.1327494058766,18.433099041828,,25.984
1993,72.42005748992,,51.7598082886747,11.9849932269031,4.75077621776924,2.57408951744785,9.8617828547541,48.0,2.82354224568723,30.4932916666667,48.3251933029723,5.81477651213036,19.6515397864684,,26.191
1994,71.767235521839,,49.5942827047274,12.1973688528248,6.65892407028434,4.50057521481919,9.98004476893246,48.0,2.66467372708604,31.3737425,48.3209853530199,4.33710973757939,20.0781443769255,2.239,26.399
1995,71.0333210055779,,47.4916413028303,13.0550774850558,7.57449183788519,5.4307028028752,9.06270222432151,48.0,2.57848357246069,32.4270766666667,48.3136352812296,5.86417810908186,22.8674487062499,2.239,26.607
1996,70.2088855735137,,45.7233077028079,14.25698889967,7.54952224920051,5.42226141059896,7.57501828948823,48.0,2.4727682254674,35.4331733333333,48.3049420078195,7.79299430029867,21.9294878713867,2.239,26.817
1997,69.3432839707025,,50.3654361276153,14.934121714559,4.04982084998183,2.02374489021264,6.4762712593954,48.0,2.64773242601716,36.3132858333333,48.295866214558,6.90957899531884,22.6193868670479,2.239,27.028
1998,68.4423001360828,,50.3192181735145,17.2303762553765,6.18441582172117,4.14849485733681,8.01016752456401,48.0,2.72731141679376,41.259365,48.2867135290433,5.1212763287722,23.6994700790647,2.239,27.24
1999,67.5027186489675,,51.3529514384148,20.0624132223184,8.84575555939531,6.79504192468139,3.06839552293496,48.0,2.95719564743412,43.0554283333334,48.2782879115501,9.19124732238965,24.8155980442929,2.239,27.453
