,Age dependency ratio (% of working-age population),CPIA gender equality rating (1=low to 6=high),"Central government debt, total (% of GDP)","Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)","Literacy rate, adult total (% of people ages 15 and above)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),"Unemployment, male (% of male labor force) (national estimate)",Urban population (% of total population)
1970,92.134239626389,,,,4.54435706401779,0.976487994854551,4.35296904922554,,11.1682261208577,0.357142999357143,50.5278251696607,,57.5219728645789,,56.154
1971,94.0330902193956,,,-2041.07848528227,5.37455253303425,1.7964969132364,10.6500350052637,,10.516111033617,935.617835005274,50.4900122635783,,66.6495901639344,,57.214
1972,96.6101400980735,,,-1640.06331626458,3.73530378696596,0.230885930654551,-3.38209859381261,,10.6410923728225,2144.56721419924,50.4502470383253,,58.4081781672143,,58.269
1973,99.8484642894232,,,-2110.81967093313,4.41875556494567,0.881619183994914,8.75411481809741,,12.2583620265617,1950.84444829616,50.4112221453615,,70.9362139917695,,59.313
1974,102.669954316619,,,-1879.07763891473,16.1133673454638,12.2467344179827,88.3325533887105,,12.494819419775,1902.26533390822,50.3869352493249,,92.6137198976741,,60.351
1975,105.057551670559,,,-1790.70213639849,12.4906646751304,8.82780185892848,3.88439184209133,,11.6746221161496,1902.26533390822,50.3754188453555,,94.9022469365675,,61.379
1976,106.867174831118,,,-1537.49238096729,17.1751037344398,13.4026387339741,12.5858638209318,,11.1631001695606,1902.26533390822,50.3507186788078,,93.2824718672516,,62.398
1977,107.219534590459,,,-1428.76161438733,1.89995939450607,-1.43357241779491,9.6504266429434,,9.81281342579567,1902.26533390822,50.3149205671603,,97.0315113857499,,63.404
1978,106.572493302737,,,-1375.63880919452,17.0569646646714,13.1807917132737,2.32694858460147,,8.11775941535523,1902.26533390822,50.2811613101023,,88.3269203363261,,64.178
1979,105.818243929897,,,-1572.76872141727,20.8692554328465,17.042202180484,31.6670092509863,,6.14876787611163,1902.26533390822,50.2493628499011,,93.6170212765958,,64.852
1980,105.089409794262,,,-1293.47735581382,24.7537268463936,20.8838349579151,13.2017518235783,,5.51152466705124,1902.26533390822,50.24958813984,,95.049680737063,,65.521
1981,104.477819811268,,,-375.243353991193,-0.728727509463553,-3.66574052775007,-27.5225895161954,,10.8295344412937,1902.26533390822,50.3011912712362,,93.9119935841507,,66.183
1982,103.869291186815,,,-410.190875359361,3.43397803057938,0.564164779692348,8.33422038348918,,10.8295344412937,1922.92537384858,50.3707392474928,,92.7894484337027,,66.839
1983,103.141192769265,,,-312.689158353875,-13.0733124034891,-15.6181775930612,14.1916947086977,,10.8295344412937,2002.38557942674,50.435239816519,,57.552491878615,,67.488
1984,102.278396525681,,,-380.1953092014,-1.48524169735188,-4.51053591606907,17.0293500697688,,10.8295344412937,2002.38558318428,50.495064507693,,55.3278491364795,,68.132
1985,101.297094087741,,,-395.106607523107,1.45389626285959,-0.957028055065692,1.68904839225117,,10.8295344412937,2002.38558586824,50.5510465504038,,54.9614303414647,,68.767
1986,100.21555922585,,,-446.898401168023,4.64759057416617,2.10391665862136,-6.73151836015177,,10.8295344412937,2002.38558586824,50.6036651158531,,42.9388479388479,,69.396
1987,99.0883369479069,,,-590.678010617661,9.3052813911243,6.34850985229411,9.89415935932439,,10.8295344412937,2002.38558586824,50.6521528990078,,49.3494318181818,,70.017
1988,97.9934288756408,,,-646.096552658036,-0.0190369368025927,-2.31190068127913,10.4312500000001,,10.8295344412937,2002.38558586824,50.7120663313071,,42.4995625816943,,70.072
1989,96.8504904614268,,,-598.442275694331,-3.1185352147467,-5.66113678617484,8.40158927452173,,10.8295344412937,2002.38558586824,50.7535902326943,,44.83508837264,,69.889
1990,95.6739765579081,,,-450.516771854395,57.8178283456035,55.872942314425,73.645391038802,,10.8295344412937,2002.38558586824,50.7652717339186,,15.1262818163125,,69.706
1993,92.8411763423899,,,-18.0416119907598,30.289829491298,24.1804989010671,114.467671710136,,10.8295344412937,2002.38629443332,50.6961155282262,,0.544696684469833,,69.152
1994,92.0679652454741,,,-18.4451162829544,3.85453244895318,-0.985588929120453,396.438017397365,,10.8295344412937,2002.38738948844,50.6555326302547,,0.0995823619218853,,68.966
