,Age dependency ratio (% of working-age population),CPIA gender equality rating (1=low to 6=high),"Central government debt, total (% of GDP)","Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)","Literacy rate, adult total (% of people ages 15 and above)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),"Unemployment, male (% of male labor force) (national estimate)",Urban population (% of total population)
1982,52.2918451056193,,,,,,,,,,53.5183102445119,,,,41.891
1983,52.5690759787939,,,,,,,,,,53.5253911961335,,,,42.649
1984,53.0670456821057,,,,,,,,,,53.5382344122994,,,,43.412
1985,53.744946694912,,,,,,,,,,53.5553010586394,,,,44.176
1986,54.5408008199134,,,,,,,,,,53.5764425671897,,,,44.944
1987,55.2414027325156,,,,,,,,,,53.6004518401198,,,,45.714
1988,55.811552461401,,,,,,,,,,53.6322570443233,,,,46.488
1989,56.2805815245102,,,,,,,96.0,,,53.6248184149998,,,,46.856
1990,56.5562906944039,,,99.1484648905781,,,,96.0,,,53.5772793894968,,,,46.762
1991,56.7073629018313,,,98.8811168639421,-16.0000002715149,-16.1029448311885,139.82680693032,96.0,,,53.5398999553248,,,,46.669
1992,56.8998313609654,,,98.7638662436813,-29.0999999176414,-29.0857055867621,945.030521954821,96.0,,,53.5148158205987,,,,46.575
