,Age dependency ratio (% of working-age population),CPIA gender equality rating (1=low to 6=high),"Central government debt, total (% of GDP)","Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)","Literacy rate, adult total (% of people ages 15 and above)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),"Unemployment, male (% of male labor force) (national estimate)",Urban population (% of total population)
1964,88.9612790510155,,,19.2435706338539,5.45905679838097,2.73012312351256,2.35243651899155,,3.42246520874751,9.03916666575e-06,49.2132932006973,,9.9403578528827,,33.68
1965,89.5291330283309,,,18.8200905227686,2.82352954343837,0.273548786584314,4.11785566096488,,3.55441860465116,9.039999999e-06,49.2530658547672,,9.93500464252553,,34.227
1966,89.951137107401,,,19.3505957639559,11.2128150353514,8.42240435488509,5.94759067350768,,3.14398111723053,9.039999999e-06,49.2817006569961,,9.77147360126084,,34.949
1967,90.2592701777944,,,16.2567002103985,4.73251024393741,2.04810309423181,5.93989052660011,,3.25957446808511,9.039999999e-06,49.2984286655831,,9.09090909090909,,35.759
1968,90.3703265576687,,,18.0882742089527,6.77799601038116,4.11398596040785,4.76015624386707,,3.27555555555556,9.039999999e-06,49.3141854212987,,8.76190476190476,,36.577
1969,90.2707185348871,,,19.4359147267012,4.0811456208947,1.56230666179094,6.87631710287759,,3.07933789954338,9.039999999e-06,49.3298940582334,,8.33333333333333,,37.401
1970,89.8761850721526,,,23.1849915724913,3.2335089729326,0.836579489623389,8.64450444669336,,3.25648854961832,1.1328499999e-05,49.3327667884767,,10.7888040712468,,38.234
1971,89.3319222402388,,,29.3428486169161,5.56669450058789,3.09021412401118,16.9020871544943,,3.49979381443299,1.48666666670833e-05,49.255954598106,,13.5670103092784,,38.945
1972,88.7479418586993,,,31.5044402626826,7.42578832564243,4.87752239463101,10.9756760490106,,3.4455205811138,1.415e-05,49.1187105065048,,14.5624351435489,,39.6
1973,88.0696532557978,,,36.2554731869016,3.26233451840511,0.901130367305328,21.9302187016976,,3.34945054945055,1.415e-05,48.9881522109137,,16.1263736263736,,40.258
1974,87.2548726497346,,,36.9660206270517,5.59447440269336,3.28170101269205,28.9923473546045,,3.19302137958854,1.39270833330833e-05,48.8588924899069,,17.0028237192416,,40.92
2006,52.2002887151974,,,71.7129388924415,6.94798808571993,5.85508876576858,9.37620636352707,88.0,2.3595222796582,1.42845341333845,49.8528103557597,,48.7628710706907,9.919,68.45
2007,51.7039880562328,,,72.7254988268207,5.04350793157104,4.87467469551008,6.1997582025374,89.0,2.21792932113531,1.30293090533794,49.872071026068,,47.8508167487862,10.042,69.053
2008,51.0570512318991,,40.8891753601982,70.6420063612313,0.815024573007705,-0.452853692268519,12.046153593928,90.0,2.199273923442,1.30152170281795,49.8677118421185,,50.5482538951665,10.735,69.651
2009,50.2459919396016,,48.4710258625545,69.035881178924,-4.82315395301769,-6.12785740051382,5.44644910319889,91.0,2.48931174211555,1.54995977566564,49.8402453007284,,46.7870669467638,13.913,70.241
2010,49.4548531901584,,45.145314794996,69.6247665957724,8.42710432276191,6.79208232586733,7.00928360259741,93.0,2.27171421902952,1.5028486296723,49.8125159405454,,46.6944652263085,11.431,70.825
2011,48.7243135492246,,40.0769538067827,71.6075765301558,11.2001105833504,9.57986395820123,8.20084709330651,94.0,2.02750659150507,1.67495455197133,49.8095100541597,,53.3041756356468,9.169,71.402
2012,48.0371465077245,,37.9602291228126,74.0171227979713,4.78849271108008,3.46121242479198,7.42267328660553,95.0,2.00944779894555,1.79600094441355,49.8297336846283,,52.830802656723,8.539,71.974
2013,47.3558028630143,,32.1216452754771,73.0653554197625,8.48581699653026,7.10131954327058,6.2801096970818,95.0,1.92395933259341,1.90376824244752,49.8470171949068,,52.5272987998138,8.741,72.531
2014,46.6296994569191,,31.3464166832739,74.2081113644868,4.9397151613658,3.53349204037028,7.38951863770303,95.0,1.87196655112723,2.18854241775473,49.8619908920678,,53.7663011662543,9.034,73.077
2015,45.9452643498497,,29.0056748886147,75.2078800411834,6.08448690443663,4.6785959933809,7.84491693010263,96.0,1.81284829274449,2.72000852790578,49.8768081565896,,51.0885436007552,9.245,73.611
2016,45.5909695430664,,30.0333272262847,75.2078800411834,3.32308420845746,1.94225845985372,8.13047807814451,96.0,2.05032460503249,3.02013474808043,49.8927326879871,,48.3281862338973,9.594,74.134
