,Age dependency ratio (% of working-age population),CPIA gender equality rating (1=low to 6=high),"Central government debt, total (% of GDP)","Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)","Literacy rate, adult total (% of people ages 15 and above)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),"Unemployment, male (% of male labor force) (national estimate)",Urban population (% of total population)
1972,60.0046495609534,,,51.9245416503608,4.32166756962231,3.96855607900957,7.18825188402374,,5.1710477559332,0.400390461530008,51.3906902338671,0.29084168320383,41.569431627825,5.0,77.195
1973,60.1523219717184,,,50.2386052165571,6.52384848717706,6.31824501880698,8.41487853048275,,4.90616105746511,0.408170945299307,51.376100973591,-0.382676747053772,47.4304221696313,3.5,77.358
1974,60.0780844346666,,,51.0947397569533,-2.48440405800613,-2.54587723829528,15.0592126445052,,5.06942711490535,0.427756439747663,51.356633356781,-5.26616904917135,58.7204994159872,3.6,77.521
1975,59.7493869660106,,,42.4374512847338,-1.47364945113077,-1.46633521127663,25.7707279671042,,5.33960343915615,0.452041165666667,51.3377749917458,-12.1674069537389,52.7400836429526,5.4,77.683
1976,59.1494463472092,,,37.734105309566,2.91026615928646,2.93558914391343,15.1135672667405,,5.17550333681554,0.556509832333334,51.3294428308551,-3.48579004370741,57.4007925840093,7.0,77.844
1977,58.4049625622044,,,25.4960667645578,2.45775049016747,2.49143783243224,13.7104941413511,,4.92327762103886,0.573271999,51.3344947699837,-4.22003924168985,58.9106533789518,7.3,78.005
1978,57.6622386445546,,,18.9459156127629,4.20426047029908,4.19867536784257,11.4575470335583,,4.73304308586993,0.521504582333334,51.3392630891047,-2.12134314497915,54.9658489521189,7.0,78.164
1979,56.9221498679676,,,11.0918246065138,3.74901664423379,3.65596579348365,14.066541267377,,4.67975756747534,0.472181165666667,51.333564560999,-0.325891299861888,54.6416439532449,6.5,78.323
1980,56.1772144491518,,,0.294089867435482,-2.03136780182236,-2.14838727777156,19.703794651774,,5.01990345888742,0.430294999,51.330989687237,-2.83291881289615,51.2923400946947,8.3,78.481
1981,55.3658298056407,,,-7.79372452875784,-0.787743787095451,-0.822285198812807,11.5692627872042,,4.98376336921746,0.497641332333334,51.341118879631,1.51093336164726,49.3737636806214,12.9,78.588
1982,54.3987148364994,,,-15.8593309377611,1.99489123324395,2.03145560428536,7.41877494736352,,5.38132652115477,0.572446832333333,51.352484904185,4.20056151405023,49.5961959065716,13.1,78.539
