Indicator Name,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982
Age dependency ratio (% of working-age population),57.1902082085568,57.5076504015073,57.9132089064774,58.3864821235626,58.9675879453518,59.6529069513677,60.3878298432888,61.1212136531302,61.8360931237676,62.5270329198226,63.1125476534823
CPIA gender equality rating (1=low to 6=high),,,,,,,,,,,
"Central government debt, total (% of GDP)",,,,,,,,,,,
"Energy imports, net (% of energy use)",9.45419844939678,14.2269567324563,14.9553402347754,14.7438301022275,16.5450567208518,14.3631993894218,12.8437011264304,11.5558254911682,7.16871495328276,3.37339318668341,2.65154295803259
GDP growth (annual %),1.62841651825939,2.81175403849035,5.5338043957736,-0.0284121037110907,-2.01825151683394,6.93414775653342,-4.50612480201359,10.2227634638681,1.51878394990179,-5.18978914135593,-0.735659159103619
GDP per capita growth (annual %),0.0320089147512164,1.16290357603461,3.81225224716344,-1.62320618621685,-3.53995334802055,5.25406554729264,-6.0207877961285,8.47665216535873,-0.0856397028385061,-6.69655885721481,-2.31535975378387
"Inflation, GDP deflator (annual %)",64.2447859149364,65.535287370144,30.630441370412,197.697364543187,438.322779739816,159.42717769645,161.372172004157,147.377044034473,95.7904246128352,105.276366380064,194.535299663443
"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,94.0,,
Military expenditure (% of GDP),1.82380952380952,1.84857142857143,1.65918367346939,2.04195804195804,3.78129117259552,4.00860009555662,4.71914405808177,4.67335625570135,3.09895833333333,3.46534653465347,2.70455793520044
"Official exchange rate (LCU per US$, period average)",4.999999999e-11,4.999999999e-11,4.999999999e-11,3.65749999995e-10,1.3998333333316702e-09,4.07633333332834e-09,7.957499999995831e-09,1.31696666666408e-08,1.83715833333225e-08,4.40269166666725e-08,2.59225333333263e-07
"Population, female (% of total population)",50.4570037187866,50.5091849977671,50.5580438367155,50.5985887744841,50.6314158477024,50.6602175643264,50.6828797031183,50.6995964364766,50.7138400825144,50.7280452448656,50.742509895067
Real interest rate (%),,,,,,,,,,,
Trade (% of GDP),14.0356431972715,13.3221685115576,13.1915798576321,11.8027242947756,15.0968846242519,16.942286567935,14.3237963724369,12.8406846411368,11.5456724606844,14.2929774788834,15.6114860999886
"Unemployment, male (% of male labor force) (national estimate)",,,,,,,,,,,4.38
Urban population (% of total population),79.743,80.158,80.567,80.969,81.366,81.755,82.139,82.516,82.887,83.313,83.759
