Indicator Name,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978
Age dependency ratio (% of working-age population),88.2043120396981,88.0511509038789,89.8970339519953,92.5360608170238,93.294054065326,93.2907598385125,92.6305996639946,92.2975175413018,91.8037614851854,89.9206116537871,88.6340422420714
CPIA gender equality rating (1=low to 6=high),,,,,,,,,,,
"Central government debt, total (% of GDP)",,,,,,,,,,,
"Energy imports, net (% of energy use)",,,,,,,,,,,
GDP growth (annual %),,,,,,,,,0.0,-14.6764073144395,0.0
GDP per capita growth (annual %),,,,,,,,,7.275968294004,-7.65550610489709,8.76685381778104
"Inflation, GDP deflator (annual %)",,,,,,,,,-1.19850187060966,15.6014728085327,-1.56290033341314
"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,
Military expenditure (% of GDP),,,,,,,,,,,
"Official exchange rate (LCU per US$, period average)",35.0,43.5583333329167,55.539999999,75.8216666659167,162.25,244.916666666667,,,,,
"Population, female (% of total population)",49.8172814598434,49.8302427685872,49.9668784497849,50.2257252812315,50.4756748916598,50.7153034536859,50.9504455098154,51.4751483429291,52.1586421235174,52.6910316234255,53.3461558830098
Real interest rate (%),,,,,,,,,,,
Trade (% of GDP),,,,,,,,,,,
"Unemployment, male (% of male labor force) (national estimate)",,,,,,,,,,,
Urban population (% of total population),13.291,14.579,15.97,18.717,21.818,25.263,29.055,4.477,4.82,5.186,5.578
