Indicator Name,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978
Age dependency ratio (% of working-age population),86.3853668242871,86.9336357492474,87.5640945008667,88.2637848422364,89.1611322113317,90.1987206863725,91.2632496156779,92.4631825720449,93.8519350096486,95.3703323670809,96.8631252094649
CPIA gender equality rating (1=low to 6=high),,,,,,,,,,,
"Central government debt, total (% of GDP)",,,,,,,,,,,
"Energy imports, net (% of energy use)",,,,,,,,,,,
GDP growth (annual %),-0.457218866538113,6.88131022379213,1.85965647855537,-2.24762637244967,1.14961609483272,-8.38088300800841,4.96185258253867,9.01026730550454,2.98076526952687,2.23462484913772,-0.469634188032003
GDP per capita growth (annual %),-2.39673120038236,4.74778993786002,-0.236514145934919,-4.28847107115783,-1.08306584014747,-10.5106738595123,2.58260751768952,6.68531638180343,0.944475621720045,0.337757707890447,-2.26782337134802
"Inflation, GDP deflator (annual %)",2.03146493895743,2.06733982748017,3.85955208091369,8.99174877486901,5.55368367597131,6.71359429875471,3.73569349604588,8.22070051410586,8.44952547852462,8.61801944417242,9.89977571152785
"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,
Military expenditure (% of GDP),,,,,,,,,,,
"Official exchange rate (LCU per US$, period average)",247.564693756951,259.960574351236,276.403137026845,275.356456685332,252.027627462649,222.889183053227,240.704667637823,214.312900341219,238.950494267059,245.679686566576,225.655860233957
"Population, female (% of total population)",50.6246801841469,50.6400377090493,50.6539464803634,50.6674385137881,50.6779936156201,50.6795062305738,50.6754437327197,50.6746201437212,50.6816860830942,50.6938783613791,50.7074906049509
Real interest rate (%),,,,,,,,,,,
Trade (% of GDP),33.6260412806243,30.9056620313361,38.3095679084534,36.9700137014997,33.9491575536703,39.2290307932624,45.194817400313,40.2532786995854,42.4681536718392,43.7266546211927,44.3903103907817
"Unemployment, male (% of male labor force) (national estimate)",,,,,,,,,,,
Urban population (% of total population),10.196,10.862,11.568,12.313,13.1,13.882,14.704,15.566,16.47,17.413,18.4
