Indicator Name,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
Age dependency ratio (% of working-age population),80.6284765918746,80.1831695798608,79.8351128568737,79.1204499176226,78.4685123883968,78.7119418618483,79.2010016538051,79.5414656212417,78.2814185991869,74.6563119459405,70.9756079339853
CPIA gender equality rating (1=low to 6=high),,,,,,,,,,,
"Central government debt, total (% of GDP)",,,,,,,,,,,
"Energy imports, net (% of energy use)",,,-0.79060731111779,-0.819155750174265,-1.11419500721998,-1.9035377360829,-2.84452618697819,-2.37601171171451,-2.1244891319489,-2.38701360190128,-3.11549412082296
GDP growth (annual %),16.9399999960612,19.2999999967024,7.0599999985365,3.81000000021972,7.76000000084305,2.31000000294743,8.71999999748007,-1.57000000165334,7.57000000138399,11.3259779878894,7.59132468000874
GDP per capita growth (annual %),13.7793403435186,16.0503992929068,4.15917620130948,1.29010597100425,5.32729301395416,0.218005667350994,6.81644050625681,-3.08132198489834,6.11400167606094,9.84615684799608,6.16566370933127
"Inflation, GDP deflator (annual %)",-3.7925287173275,-2.61457045011514,0.665937402347524,0.0741856162067052,0.208465019313863,0.277735670872488,-1.13117515356886,-0.106286227905457,1.09377177565865,1.67514249839924,3.600054771534
"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,
Military expenditure (% of GDP),,,,,,,,,,,
"Official exchange rate (LCU per US$, period average)",2.46180889882528,2.46180889882528,2.46180889882528,2.24506644860066,1.98941552463247,1.96110708887637,1.85982338938658,1.94141535102099,1.85782338223958,1.68358941885647,1.55493895401486
"Population, female (% of total population)",49.0592511436016,49.0617537510678,49.061718489235,49.0606731041953,49.0608227376019,49.0637485267785,49.0690898185511,49.0741118287732,49.0796068704939,49.0864676996339,49.0925437151956
Real interest rate (%),,,,,,,,,,,
Trade (% of GDP),4.95019078330445,4.83331819362197,4.95342042818186,5.67657602335057,8.09644384696321,10.3539576673622,9.99184170324066,9.60795084286957,9.33568519230769,15.4224447608145,16.5457845241747
"Unemployment, male (% of male labor force) (national estimate)",,,,,,,,,,,
Urban population (% of total population),17.528,17.4,17.292,17.184,17.184,17.292,17.4,17.46,17.52,17.9,18.617
