Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973
Age dependency ratio (% of working-age population),85.0568370871075,85.4115545796239,85.3234817699382,85.09031432283,84.9466682754593,84.8054838088407,84.5598749438282,84.2348605344697,83.8303039527089,83.3866517708062,82.9824670994533,82.6650582534282,82.4163278694793,82.2081657372434
CPIA gender equality rating (1=low to 6=high),,,,,,,,,,,,,,
"Central government debt, total (% of GDP)",,,,,,,,,,,,,,
"Energy imports, net (% of energy use)",,,,,,,,,,,,-109.712594572638,-40.2992412937825,-22.8286514980815
GDP growth (annual %),,5.16111414342448,3.87561672369634,10.5180926173666,11.5075774740325,4.91404229223662,5.04640371248233,0.805264127039209,-1.60679234956356,5.27951751357089,5.59851503851672,4.05734632653112,3.05568062514286,3.50683016247268
GDP per capita growth (annual %),,2.47723455139828,1.17722365013691,7.65044443289365,8.64303260452279,2.27569981183935,2.44632089168518,-1.66762140746077,-3.99804501955977,2.74715073736938,3.12088049511445,1.68044196747962,0.710927875139689,1.15304427498042
"Inflation, GDP deflator (annual %)",,1.60997143777944,0.396026870374854,0.915371108625678,0.862295139785658,5.46455767944256,2.75119762106486,2.83201329328801,1.80143115336028,0.806310204656143,12.5161736901605,1.32672970163317,3.39909361924914,7.35261504267174
"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,
Military expenditure (% of GDP),,,6.67547918043622,8.6646884272997,10.3283898305085,10.1174345076784,8.71826883062838,8.90769850866586,11.1330438215555,14.3360534124629,15.9878828677213,17.1870121760849,13.5645302897278,13.5135135135135
"Official exchange rate (LCU per US$, period average)",0.348241999348242,0.348241999348242,0.40448912538026,0.434782608884688,0.434782608884688,0.434782608884688,0.434782608884688,0.434782608884688,0.434782608884688,0.434782608884688,0.434782608884688,0.434782641394297,0.434782608884688,0.397956243179606
"Population, female (% of total population)",49.792013676139,49.8091131017145,49.815349274816,49.8199685967237,49.8247441694226,49.8305504418761,49.8407831667932,49.8564899883092,49.8705585578465,49.8824279728261,49.8939766876659,49.901158139977,49.9037793469131,49.9072193948996
Real interest rate (%),,,,,,,,,,,,,,
Trade (% of GDP),41.691698525396,37.3881932021467,34.5708509465172,41.3457841252403,43.2722832722833,37.2632972853675,36.8175683965158,35.939719109989,29.26348956282,29.9858977213687,30.6627936031984,31.0246763634209,30.0853465291485,31.6962722041531
"Unemployment, male (% of male labor force) (national estimate)",,,,,,,,,,,,,,
Urban population (% of total population),37.864,38.272,38.624,38.977,39.331,39.686,40.042,40.399,40.758,41.117,41.477,41.838,42.2,42.563
