Indicator Name,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978
Age dependency ratio (% of working-age population),93.4021741882859,93.7800628339241,94.2165607515971,94.6877773437897,95.0346492650089,95.380779086353,95.8970907797272,96.4444926476164,96.9676010270055,97.5090514449874,98.2159144637489
CPIA gender equality rating (1=low to 6=high),,,,,,,,,,,
"Central government debt, total (% of GDP)",,,,,,,,,,,
"Energy imports, net (% of energy use)",,,,9.29423801668862,9.95710663699424,10.1791922278759,9.31303685604501,8.44204736784199,9.06024655546001,8.61053762059106,8.96099881649135
GDP growth (annual %),6.28556212963629,3.26163984438857,-46.4330351414871,3.90146077101619,7.11531519183237,6.19196242050393,2.11339071824315,3.98942559802084,3.30601216563538,0.0495928503172962,2.08400760208103
GDP per capita growth (annual %),3.00122354214309,-0.0933021874698738,-48.20471577395,0.406481520825338,3.42036091375211,2.48589160569772,-1.45611358386584,0.324336164089516,-0.344856273571452,-3.4796331153766,-1.44702786800266
"Inflation, GDP deflator (annual %)",0.889836908635644,1.7240539879611,3.52049574624573,2.97053771045424,6.27553755521015,10.4455348010364,19.5373650689805,14.3032786378808,24.3361209926008,18.1608173906812,9.15991019287219
"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,
Military expenditure (% of GDP),1.47320294640589,1.73497763269254,2.29997819925877,3.09761565111066,3.43268886501969,4.17461650003816,5.3551331749406,5.36005470517069,4.68897170236291,5.47665234862131,10.1091112561783
"Official exchange rate (LCU per US$, period average)",7.14286000614286,7.14286000614286,7.14286000614286,7.14286000554762,7.142899999,7.02144666566667,7.13498333233333,7.36679166566667,8.37677499941667,8.2892083325,7.712049999
"Population, female (% of total population)",50.6287971419315,50.5907399878804,50.5555679902833,50.5227088097513,50.4883278615022,50.4561561577767,50.4287725643136,50.4030241980583,50.3805222329309,50.3631288988735,50.3545671626049
Real interest rate (%),,,,,,,,,,,
Trade (% of GDP),,,,,,,,,,,
"Unemployment, male (% of male labor force) (national estimate)",,,,,,,,,,,
Urban population (% of total population),6.804,7.311,7.852,8.431,9.048,9.704,10.403,11.146,11.937,12.773,13.659
