Indicator Name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Age dependency ratio (% of working-age population),40.8345526687369,41.3166740567217,42.0954905825425,43.3341607506951,44.485957567843,45.6557777135064,46.557661136037,47.2491268952806,47.8846379680524,48.2195987327939,48.5413219822399
CPIA gender equality rating (1=low to 6=high),,,,,,,,,,,
"Central government debt, total (% of GDP)",32.445911715199,35.6313995863809,63.6653191884884,70.2588376218982,71.8095454494004,66.7346465062875,56.9059506749708,48.3272696003568,58.7161850732326,,
"Energy imports, net (% of energy use)",30.2962533465636,25.669858000735,27.2085082165267,,,,,,,,
GDP growth (annual %),0.152314967200653,0.045439094492707,-10.0788949856211,-9.77298721103519,2.4409819445784,2.35997228099491,3.4883623420827,3.19950386231294,-3.7528179386597,3.44562065700251,-28.7585842132117
GDP per capita growth (annual %),0.399970155574351,0.273496006330021,-4.87524996257295,-9.44383219053168,2.85480260756702,2.81064547083641,4.01638177635452,3.79372391176472,-3.10165858921107,4.36448461386128,-16.7283581123208
"Inflation, GDP deflator (annual %)",7.98256111045039,4.30879343709354,15.9017375254406,38.8816797571771,17.097134924235,22.0983174978017,15.3985303493458,8.24622626771318,10.2949601365333,24.8047567705188,34.9152851391436
"Literacy rate, adult total (% of people ages 15 and above)",99.9743499755859,,,,,,,,,100.0,
Military expenditure (% of GDP),1.61331991729012,1.57929167934982,2.24502052094788,3.25118076341283,3.15477660251022,2.88440151897159,3.19235326531891,3.52015241588676,3.81184948136676,3.22834693677077,33.5465729986209
"Official exchange rate (LCU per US$, period average)",7.99102933333333,7.993,11.8866594166667,21.8446977666667,25.5513341166667,26.5966063,27.2004923333333,25.8455893333333,26.9575243833333,27.2861893833333,32.3423016
"Population, female (% of total population)",53.4815062764693,53.4530393837036,53.4403635400212,53.429554584988,53.4139854341485,53.3999584162714,53.3927850410713,53.3934280714893,53.4002898924785,53.3979688766969,53.4274891479076
Real interest rate (%),9.64012656225921,11.8306483626893,1.56710691315341,-12.2829289797878,1.82756968718009,-4.68048423181966,3.12512181891459,10.693658767366,3.62431779160013,-9.2245269612232,-12.0860052703887
Trade (% of GDP),102.622788356626,94.0016694501782,100.691782483624,107.806616298156,105.521204913122,104.034982911399,99.1998150718675,90.5112342910763,79.1564523761815,82.69796136345,87.3965139907244
"Unemployment, male (% of male labor force) (national estimate)",,8.04,10.85,10.1,10.83,11.1,10.042,8.503,9.843,9.548,
Urban population (% of total population),68.782,68.875,68.968,69.061,69.154,69.246,69.352,69.473,69.608,69.757,69.919
