Years,Age dependency ratio (% of working-age population),"Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),Urban population (% of total population),years_before_the_war
1982,46.6620228500854,,,,,,,53.7807583635442,,,70.631,10
1983,46.9866578284594,,,,,,,53.7129721560998,,,71.066,9
1984,47.4078969904996,,,,,,,53.6421831446417,,,71.497,8
1985,47.5758639837564,,,,,,,53.570755949933,,,71.923,7
1986,47.6864143707257,,,,,,,53.4896028020256,,,72.346,6
1987,47.8988621463866,,,,,,,53.3927131627119,,,72.765,5
1988,48.2450689842227,,,,,,,53.2948599306038,,,73.181,4
1989,48.6714122236362,,,,,,,53.2114601255423,,42.9144851657941,73.398,3
1990,49.0447864912524,-47.0788556238582,-2.99999564243126,-3.16283597296696,15.9029112575078,,,53.1563065639752,,36.1067991307048,73.394,2
1991,49.4146959612107,-39.8051831762622,-5.04693945142462,-5.31876190965632,128.629771683447,,,53.1283914289794,,26.2567036110118,73.389,1
1992,49.7222620342946,-43.1199493331647,-14.5310737729264,-14.6139171358036,1490.4184248448,4.42703232125367,,53.1124159333058,,110.577064702788,73.385,0
1982,51.5345087253762,,2.00244542885206,1.14247059836754,3.50550160200538,,,53.6070599783664,,,53.176,10
1983,51.3219414008432,,4.3016035214589,3.38897302522059,-2.81720237856229,,,53.5558235153013,,,53.516,9
1984,51.3329290979417,,5.4279631478795,4.5315677189254,1.28015120287648,,,53.5116137074011,,,53.855,8
1985,51.4133569382608,,4.94120590442833,4.02522934899925,-4.53224449576,,,53.4658472099888,,,54.194,7
1986,51.5023188276049,,-8.17567222383052,-8.98763779625877,6.10346627987684,,,53.4184711834901,,,54.532,6
1987,51.608808045063,,1.28148065724565,0.448766891959991,2.33372501305425,,,53.3703703907166,,82.2958430048533,54.87,5
1988,51.768638283003,,5.55545382967426,4.51547691173728,-2.23111156230848,,,53.3237919297689,,88.6041439476554,55.208,4
1989,52.011422137084,,-7.19378285079883,-7.43723179966314,5.41600480029352,,,53.255367032139,,87.7804096419117,55.277,3
1990,52.5260655302916,83.760782005849,-14.788785046729,-14.7657166211898,22.3590344933704,,,53.2338557722183,,85.5271949752773,55.038,2
1991,53.2630556772206,84.0520822869101,-21.0998508379398,-21.652946447153,62.1416131246432,,,53.2923171984655,,59.020160869111,54.799,1
1992,53.9970505622859,83.062434591766,-44.899774806083,-45.3248837559735,1314.28649638573,,,53.3681186554234,,101.943699731903,54.559,0
1960,67.542563396035,,,,,,0.999999999,48.9182631531392,,,58.401,1
1961,68.0414057292863,,,,,,0.999999999,48.9657533467729,,,58.588,0
1960,66.9354046625049,5.34081618748347,,,,8.99312458715278,1.0,50.9075434916062,,,69.996,1
1961,67.6083747305395,5.57885796797174,2.29999999999953,0.618121192654584,1.35015389642182,9.15603150017123,1.0,50.9488279396501,3.10788487484417,,70.377,0
1968,116.473928206402,,33.8639151717893,30.1222973365551,5.48347649914098,2.85594639865997,0.357142999,48.7993277279941,1.43768820595458,,43.07,10
1969,118.203710223426,,13.0878908208299,9.63443973890143,0.606235009802575,3.76288659793814,0.357142999,48.8120149352651,6.35523731662799,,46.352,9
1970,118.315274819275,,4.95074891903874,1.50901540936657,0.0820004098746523,6.07293127629734,0.357142999,48.8469880518912,6.91233145000445,,49.671,8
1971,118.09551490895,-8657.83213866059,-5.27752502339565,-8.39801719450381,20.4036993165453,5.32267977873387,0.356325749,48.8761026647839,-11.1322985860314,,52.992,7
1972,117.901128223601,-5127.29523488834,9.12584054018133,5.56900319073159,1.30914858930022,3.70967741935484,0.328946999,48.896518605933,5.6173124440815,,56.292,6
1973,113.92088548797,-4232.41593498038,1.93661971417217,-1.94413702049,22.5202126576379,3.98486197684773,0.300025999,48.9809622620067,-12.6674712041241,,59.528,5
1974,109.363828477725,-2665.92330300823,22.1934369650876,16.2642535826649,41.4794762030237,3.2912696368787,0.296050999,48.9252371607562,-24.3706558211634,,61.237,4
1975,107.278237669571,-2049.86894144086,4.0282685479679,-1.60871508404968,-6.42697471645167,2.25396825396825,0.296050999,48.6837541161849,14.349193772206,,62.785,3
1976,105.358708760152,-2974.2787260469,22.8809523817653,16.1219145495386,5.64274382213941,1.96861626248217,0.296050999,48.4496572698372,1.28476043763656,,64.31,2
1977,103.580761961955,-2516.78702749995,8.85272018683338,2.79738240827292,7.89297342503647,2.46399444733646,0.296050999,48.2263434081789,-0.827647433089709,,65.802,1
1978,102.307378773971,-2121.95581178921,3.30491881279562,-2.4819010152931,-4.45892208893788,3.79922644163151,0.296050999,48.0145466362787,11.9937123795116,,67.265,0
1968,86.3853668242871,,-0.457218866538113,-2.39673120038236,2.03146493895743,,247.564693756951,50.6246801841469,,33.6260412806243,10.196,10
1969,86.9336357492474,,6.88131022379213,4.74778993786002,2.06733982748017,,259.960574351236,50.6400377090493,,30.9056620313361,10.862,9
1970,87.5640945008667,,1.85965647855537,-0.236514145934919,3.85955208091369,,276.403137026845,50.6539464803634,,38.3095679084534,11.568,8
1971,88.2637848422364,,-2.24762637244967,-4.28847107115783,8.99174877486901,,275.356456685332,50.6674385137881,,36.9700137014997,12.313,7
1972,89.1611322113317,,1.14961609483272,-1.08306584014747,5.55368367597131,,252.027627462649,50.6779936156201,,33.9491575536703,13.1,6
1973,90.1987206863725,,-8.38088300800841,-10.5106738595123,6.71359429875471,,222.889183053227,50.6795062305738,,39.2290307932624,13.882,5
1974,91.2632496156779,,4.96185258253867,2.58260751768952,3.73569349604588,,240.704667637823,50.6754437327197,,45.194817400313,14.704,4
1975,92.4631825720449,,9.01026730550454,6.68531638180343,8.22070051410586,,214.312900341219,50.6746201437212,,40.2532786995854,15.566,3
1976,93.8519350096486,,2.98076526952687,0.944475621720045,8.44952547852462,,238.950494267059,50.6816860830942,,42.4681536718392,16.47,2
1977,95.3703323670809,,2.23462484913772,0.337757707890447,8.61801944417242,,245.679686566576,50.6938783613791,,43.7266546211927,17.413,1
1978,96.8631252094649,,-0.469634188032003,-2.26782337134802,9.89977571152785,,225.655860233957,50.7074906049509,,44.3903103907817,18.4,0
1988,88.0230215324859,,,,,,2.07182506752915,51.1172678517532,,,17.592,10
1989,88.7900344037678,,,,,,2.07182506752915,51.1170015742198,,,18.239,9
1990,89.6650434662529,,,,,,2.07182506752915,51.1145317864534,,,18.905,8
1991,90.0855179898717,,,,,,2.07182506752915,51.100844928372,,,19.59,7
1992,90.7509467296865,19.3553828846029,,,,,2.80497089456543,51.0773048809505,,56.3771893721132,20.294,6
1993,90.1836454889938,23.1849000884845,13.4547625007102,9.95466994106025,-1.38317062735574,21.3291139240506,5.00440837567428,51.0342100187176,,102.060001634922,21.015,5
1994,89.8591468259676,25.5312676957665,21.2214111876814,17.5536356070169,10.4321476871899,12.7159420289855,5.46981835461199,50.9918674549288,,110.881778212018,21.755,4
1995,86.6164296718931,26.792515615854,2.8583790589487,-2.79691785991288,9.81004035440252,19.5391124143288,6.16376298270549,50.9249891495788,,105.322628605412,22.514,3
1996,84.8502717870378,27.8662289622088,9.25883856340832,3.96150472866739,9.07483488878513,20.3448190649491,6.35727511391219,50.8693123303941,,116.617520301229,23.293,2
1997,87.8935848667846,25.121243656749,7.90868457794079,6.72181364621743,3.89715179110848,11.8604149677876,6.75882178395591,50.8528279372939,,115.414776658722,24.088,1
