Years,Age dependency ratio (% of working-age population),"Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),Urban population (% of total population),years_before_the_war
1968,86.3853668242871,,-0.457218866538113,-2.39673120038236,2.03146493895743,,247.564693756951,50.6246801841469,,33.6260412806243,10.196,10
1969,86.9336357492474,,6.88131022379213,4.74778993786002,2.06733982748017,,259.960574351236,50.6400377090493,,30.9056620313361,10.862,9
1970,87.5640945008667,,1.85965647855537,-0.236514145934919,3.85955208091369,,276.403137026845,50.6539464803634,,38.3095679084534,11.568,8
1971,88.2637848422364,,-2.24762637244967,-4.28847107115783,8.99174877486901,,275.356456685332,50.6674385137881,,36.9700137014997,12.313,7
1972,89.1611322113317,,1.14961609483272,-1.08306584014747,5.55368367597131,,252.027627462649,50.6779936156201,,33.9491575536703,13.1,6
1973,90.1987206863725,,-8.38088300800841,-10.5106738595123,6.71359429875471,,222.889183053227,50.6795062305738,,39.2290307932624,13.882,5
1974,91.2632496156779,,4.96185258253867,2.58260751768952,3.73569349604588,,240.704667637823,50.6754437327197,,45.194817400313,14.704,4
1975,92.4631825720449,,9.01026730550454,6.68531638180343,8.22070051410586,,214.312900341219,50.6746201437212,,40.2532786995854,15.566,3
1976,93.8519350096486,,2.98076526952687,0.944475621720045,8.44952547852462,,238.950494267059,50.6816860830942,,42.4681536718392,16.47,2
1977,95.3703323670809,,2.23462484913772,0.337757707890447,8.61801944417242,,245.679686566576,50.6938783613791,,43.7266546211927,17.413,1
1978,96.8631252094649,,-0.469634188032003,-2.26782337134802,9.89977571152785,,225.655860233957,50.7074906049509,,44.3903103907817,18.4,0
