Years,Age dependency ratio (% of working-age population),"Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),Urban population (% of total population),years_before_the_war
1988,88.0230215324859,,,,,,2.07182506752915,51.1172678517532,,,17.592,10
1989,88.7900344037678,,,,,,2.07182506752915,51.1170015742198,,,18.239,9
1990,89.6650434662529,,,,,,2.07182506752915,51.1145317864534,,,18.905,8
1991,90.0855179898717,,,,,,2.07182506752915,51.100844928372,,,19.59,7
1992,90.7509467296865,19.3553828846029,,,,,2.80497089456543,51.0773048809505,,56.3771893721132,20.294,6
1993,90.1836454889938,23.1849000884845,13.4547625007102,9.95466994106025,-1.38317062735574,21.3291139240506,5.00440837567428,51.0342100187176,,102.060001634922,21.015,5
1994,89.8591468259676,25.5312676957665,21.2214111876814,17.5536356070169,10.4321476871899,12.7159420289855,5.46981835461199,50.9918674549288,,110.881778212018,21.755,4
1995,86.6164296718931,26.792515615854,2.8583790589487,-2.79691785991288,9.81004035440252,19.5391124143288,6.16376298270549,50.9249891495788,,105.322628605412,22.514,3
1996,84.8502717870378,27.8662289622088,9.25883856340832,3.96150472866739,9.07483488878513,20.3448190649491,6.35727511391219,50.8693123303941,,116.617520301229,23.293,2
1997,87.8935848667846,25.121243656749,7.90868457794079,6.72181364621743,3.89715179110848,11.8604149677876,6.75882178395591,50.8528279372939,,115.414776658722,24.088,1
1998,90.5376060317158,28.8033227894877,1.77258309100318,0.452407592557293,9.10917293901807,32.4970666110039,7.36193041666667,50.9133111174096,,94.9275656742685,24.903,0
