Years,Age dependency ratio (% of working-age population),"Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),Urban population (% of total population),years_before_the_war
1988,95.1171465434969,3.38606528433409,0.503674879297762,-3.34518199788333,3.10550371429636,8.5014361098123,2.07,50.8279007056402,2.80731501368175,,12.143,10
1989,95.4757038632148,3.47458247157008,-0.36104417975227,-4.11569691071389,5.58473189935049,10.2766484563588,2.07,50.7510458167645,0.393303172891858,,12.38,9
1990,95.886756053368,3.55033136048128,2.72645178272658,-1.0064688929518,3.27137461018934,9.6579698086295,2.07,50.6841812289137,2.64218947419863,,12.621,8
1991,95.8232624599868,3.40089152154028,-7.13747970027428,-11.0737930131849,19.0842902283411,5.70513154467309,2.07,50.5992594353366,-10.9874192500558,,12.867,7
1992,95.8926378892905,2.2449679995519,-8.67248014788842,-12.4354815219745,15.5322258683715,3.44170834936514,2.8025,50.5114336288947,-6.51958863577435,,13.116,6
1993,96.4787220417645,2.73662934443893,13.1428339765154,9.23479853421722,13.3768642296366,3.07168835064302,5.0,50.4411429675369,0.549614574893553,,13.37,5
1994,97.0730362422405,3.0482712924944,3.18996458217961,-0.340437449778463,2.93108171424225,2.86843870238978,5.465,50.3769282721675,11.0775593039487,,13.627,4
1995,97.6212396687544,3.3432463542146,6.12751141376545,2.57532695955953,12.706369018741,2.22561605430131,6.15833333333333,50.3217510912132,2.10898845849346,,13.827,3
1996,98.243007722384,3.51350821346144,12.4261737774646,8.77685691388592,0.239138038731895,2.11713848911382,6.351675,50.271925224536,13.6448984853101,,14.006,2
1997,99.0924680813357,3.31172326946544,3.13390685087593,-0.119280616504753,0.20665555091621,3.3431774775412,6.70934166666667,50.2222726564236,10.2721165500366,,14.186,1
1998,100.047919167455,3.32510783279653,-3.45813913371742,-6.44288564669758,-0.150146937642802,7.27693614895529,7.11590833333333,50.1750715415533,10.6661618530292,,14.369,0
