Years,Age dependency ratio (% of working-age population),"Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),Urban population (% of total population),years_before_the_war
1980,105.089409794262,-1293.47735581382,24.7537268463936,20.8838349579151,13.2017518235783,5.51152466705124,1902.26533390822,50.24958813984,,95.049680737063,65.521,10
1981,104.477819811268,-375.243353991193,-0.728727509463553,-3.66574052775007,-27.5225895161954,10.8295344412937,1902.26533390822,50.3011912712362,,93.9119935841507,66.183,9
1982,103.869291186815,-410.190875359361,3.43397803057938,0.564164779692348,8.33422038348918,10.8295344412937,1922.92537384858,50.3707392474928,,92.7894484337027,66.839,8
1983,103.141192769265,-312.689158353875,-13.0733124034891,-15.6181775930612,14.1916947086977,10.8295344412937,2002.38557942674,50.435239816519,,57.552491878615,67.488,7
1984,102.278396525681,-380.1953092014,-1.48524169735188,-4.51053591606907,17.0293500697688,10.8295344412937,2002.38558318428,50.495064507693,,55.3278491364795,68.132,6
1985,101.297094087741,-395.106607523107,1.45389626285959,-0.957028055065692,1.68904839225117,10.8295344412937,2002.38558586824,50.5510465504038,,54.9614303414647,68.767,5
1986,100.21555922585,-446.898401168023,4.64759057416617,2.10391665862136,-6.73151836015177,10.8295344412937,2002.38558586824,50.6036651158531,,42.9388479388479,69.396,4
1987,99.0883369479069,-590.678010617661,9.3052813911243,6.34850985229411,9.89415935932439,10.8295344412937,2002.38558586824,50.6521528990078,,49.3494318181818,70.017,3
1988,97.9934288756408,-646.096552658036,-0.0190369368025927,-2.31190068127913,10.4312500000001,10.8295344412937,2002.38558586824,50.7120663313071,,42.4995625816943,70.072,2
1989,96.8504904614268,-598.442275694331,-3.1185352147467,-5.66113678617484,8.40158927452173,10.8295344412937,2002.38558586824,50.7535902326943,,44.83508837264,69.889,1
1990,95.6739765579081,-450.516771854395,57.8178283456035,55.872942314425,73.645391038802,10.8295344412937,2002.38558586824,50.7652717339186,,15.1262818163125,69.706,0
