Years,Age dependency ratio (% of working-age population),"Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),Urban population (% of total population),years_before_the_war
1980,50.3205679983998,13.9313696085034,-0.256775732470302,-1.20932407292817,9.03310538792248,5.15353746651636,1.0,51.3316820721847,5.71636286358695,20.1098446894226,73.738,10
1981,50.0520528903637,11.801346091942,2.53770126730302,1.53630241719003,9.46216408749201,5.64654125624258,1.0,51.3021412279737,8.59460069233457,19.4259131704272,73.89,9
1982,49.9439250729823,9.04865570986495,-1.80301378770601,-2.73469491077486,6.17840414954172,6.81405709441284,1.0,51.2578846722031,8.17720821228698,17.5368122809184,74.042,8
1983,49.9232284077432,12.7705810086971,4.58379098591793,3.63185804031656,3.91690878504356,6.32114425976717,1.0,51.2089672331993,6.61803546894282,16.6655934803103,74.194,7
1984,49.8830003733776,9.51353880131994,7.23645315874113,6.31198921610689,3.60787931289983,6.23641652963897,1.0,51.1580827437964,8.14090660192676,17.5224074224053,74.344,6
1985,49.7654113331785,11.5371937535261,4.1695753468006,3.25057626031526,3.16252525583639,6.4532192046686,1.0,51.1089087622716,6.56324383365547,16.603906126303,74.494,5
1986,49.7054297393338,12.0486465321885,3.46265505318908,2.51089496601867,2.01389253563396,6.62652265789842,1.0,51.0643291580197,6.19386958708484,16.8979771514343,74.644,4
1987,49.8926857604386,13.8549791345335,3.45462966457823,2.5340423430043,2.47738846679574,6.42027402288488,1.0,51.0235149034866,5.58752028345538,17.9735809845702,74.793,3
1988,50.2833103997195,15.668952653384,4.17698239778066,3.23533792848181,3.52749985937888,6.0712777020948,1.0,50.9823280815196,5.59030223706963,19.0701007058615,74.942,2
1989,50.77464898173,16.9955043022868,3.67223783573645,2.69776021537939,3.92075948089523,5.87120600804653,1.0,50.9426847513223,6.6902646662395,19.4151106604887,75.089,1
1990,51.238482086274,13.7096309133924,1.8859655853434,0.741486721211061,3.74332909937958,5.60517529438794,1.0,50.8809538075126,6.03974985349163,19.8150673537315,75.3,0
