Years,Age dependency ratio (% of working-age population),"Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),Urban population (% of total population),years_before_the_war
1961,78.0687977339578,,5.98734641929141,3.24971491199571,3.6464612869908,4.09789064099939,4.7619000037619,46.1195345105477,,20.2314791209912,22.501,10
1962,78.6852973926361,,4.48285862750326,1.80364067918669,0.15994817784113,3.65587277256179,4.7619000037619,46.1609538042594,,21.0913520097442,22.751,9
1963,79.6428670038074,,8.68883151825786,5.84972077942716,-1.14926605359558,3.64841297523544,4.7619000037619,46.2049647329935,,23.9887538545257,23.002,8
1964,81.0257819209402,,7.56975744902432,4.70640502795456,4.48844647762694,3.86589013064694,4.7619000037619,46.2549566929134,,23.1259582022109,23.256,7
1965,82.5342747726101,,10.4193658220408,7.43938016331487,3.16588265326953,5.90466788887322,4.7619000037619,46.3089962117458,,24.0410837612892,23.511,6
1966,83.9055142087154,,5.78995180142022,2.89355083090767,4.60065831014529,6.73052198508614,4.7619000037619,46.3647523139872,,19.1940852643708,23.769,5
1967,85.1359438007866,,5.4006125972184,2.46831762839412,7.93964176578655,5.40460370194589,4.7619000037619,46.4243279986253,,20.4945704157992,24.028,4
1968,86.1974696183078,,7.23322092498739,4.22116837059603,0.469288568160579,5.1039059949951,4.7619000037619,46.4864395594991,,19.1325464800501,24.289,3
1969,87.0696084228225,,5.5078996342957,2.52926780271959,2.33557140665688,5.51204188481675,4.7619000037619,46.5496799495472,,17.480471111756,24.552,2
1970,87.7599428869068,,11.3534617181927,8.19649203318036,3.70835302221934,6.15838762214984,4.7619000037619,46.6135298716633,,17.9661158928609,24.817,1
1971,88.3123938670614,15.7445474820988,0.468372548493363,-2.26260815242058,5.87049050522882,6.73553323768532,4.76190000336508,46.7000205342461,,18.202043669154,25.084,0
