Years,Age dependency ratio (% of working-age population),"Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),Urban population (% of total population),years_before_the_war
1961,79.2466190568615,,3.72274253311053,1.26664879370229,2.14542764709287,2.07435972060536,4.7619000037619,48.3955323753301,,10.2611625948092,18.032,10
1962,80.3615159024236,,2.93112773548363,0.518501925930877,4.40561672938829,2.74540043290043,4.7619000037619,48.3792946473907,,10.2007901792472,18.218,9
1963,81.5177912967037,,5.99435326188559,3.53649105320284,8.35362388701878,4.02530602636535,4.7619000037619,48.368537774031,,10.1873378430933,18.405,8
1964,82.2853750137233,,7.45295012250209,4.96611887042545,8.55167696512851,3.81923698021801,4.7619000037619,48.359901384889,,9.41054892008962,18.595,7
1965,82.5509385087176,,-2.63577011020728,-4.80310349916745,8.30036940764349,3.87141491395794,4.7619000037619,48.3564497660154,,8.51903436951768,18.785,6
1966,82.623126636811,,-0.0553287704537979,-2.17104368610545,13.2707065585617,3.57237064592492,6.35912500535913,48.3596276614051,,10.8142375112067,18.977,5
1967,82.5030296249276,,7.82596303082235,5.53582268726483,8.61620471048464,3.22392372146778,7.5000000065,48.3601439584885,,9.98106266810607,19.171,4
1968,82.3426324478197,,3.38792917634143,1.19038521156524,2.41538358508238,3.24556858467412,7.5000000065,48.3656734274099,,8.98174447557988,19.366,3
1969,82.2116927473581,,6.53970029928357,4.31191269527491,3.34336433815,3.14081455805893,7.5000000065,48.3802225772442,,7.744776643449,19.562,2
1970,81.8831795123665,,5.15722973718955,2.84864261828497,1.56224348305101,3.18518303985171,7.5000000065,48.3781085300861,,7.66176933794548,19.76,1
1971,81.5721664288433,9.76203165088364,1.64293037527582,-0.584836098079052,5.32484105974427,3.65245352356247,7.49193523096824,48.377428933257,,7.66960655842499,19.991,0
