Years,Age dependency ratio (% of working-age population),"Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),Urban population (% of total population),years_before_the_war
1970,92.134239626389,,4.54435706401779,0.976487994854551,4.35296904922554,11.1682261208577,0.357142999357143,50.5278251696607,,57.5219728645789,56.154,10
1971,94.0330902193956,-2041.07848528227,5.37455253303425,1.7964969132364,10.6500350052637,10.516111033617,935.617835005274,50.4900122635783,,66.6495901639344,57.214,9
1972,96.6101400980735,-1640.06331626458,3.73530378696596,0.230885930654551,-3.38209859381261,10.6410923728225,2144.56721419924,50.4502470383253,,58.4081781672143,58.269,8
1973,99.8484642894232,-2110.81967093313,4.41875556494567,0.881619183994914,8.75411481809741,12.2583620265617,1950.84444829616,50.4112221453615,,70.9362139917695,59.313,7
1974,102.669954316619,-1879.07763891473,16.1133673454638,12.2467344179827,88.3325533887105,12.494819419775,1902.26533390822,50.3869352493249,,92.6137198976741,60.351,6
1975,105.057551670559,-1790.70213639849,12.4906646751304,8.82780185892848,3.88439184209133,11.6746221161496,1902.26533390822,50.3754188453555,,94.9022469365675,61.379,5
1976,106.867174831118,-1537.49238096729,17.1751037344398,13.4026387339741,12.5858638209318,11.1631001695606,1902.26533390822,50.3507186788078,,93.2824718672516,62.398,4
1977,107.219534590459,-1428.76161438733,1.89995939450607,-1.43357241779491,9.6504266429434,9.81281342579567,1902.26533390822,50.3149205671603,,97.0315113857499,63.404,3
1978,106.572493302737,-1375.63880919452,17.0569646646714,13.1807917132737,2.32694858460147,8.11775941535523,1902.26533390822,50.2811613101023,,88.3269203363261,64.178,2
1979,105.818243929897,-1572.76872141727,20.8692554328465,17.042202180484,31.6670092509863,6.14876787611163,1902.26533390822,50.2493628499011,,93.6170212765958,64.852,1
1980,105.089409794262,-1293.47735581382,24.7537268463936,20.8838349579151,13.2017518235783,5.51152466705124,1902.26533390822,50.24958813984,,95.049680737063,65.521,0
