Years,Age dependency ratio (% of working-age population),"Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),Urban population (% of total population),years_before_the_war
2010,42.9172236658305,64.6512304078486,2.2000000002151,2.91158696816194,7.76871548067652,4.26564605593771,373.660466738817,54.0721195410016,10.6076357898925,64.642975973633,63.44,10
2011,42.8588952887091,67.3442167531802,4.69999999867412,5.28437530828725,4.28154999826118,3.85394644115574,372.500882448711,54.1357267253019,12.9197578932998,69.4355736620453,63.34,9
2012,43.1066653605776,72.706661599216,7.20000000096486,7.33470454115984,5.34580441814725,3.58376691873744,401.763975626916,54.1020493566013,11.2811932906832,75.9616759606704,63.24,8
2013,43.5955735295585,72.0464797313162,3.3,3.37178358702843,3.36682464224465,3.99724455730484,409.625749270293,54.0660143068409,12.2168430436348,77.5550481598824,63.164,7
2014,44.220347328995,71.3413045219602,3.60000000058993,3.88187670110254,2.30918242990974,3.94337826474581,415.919789204938,54.0299108068581,13.7812486601176,75.778866962639,63.112,6
2015,45.0074829961521,71.3413045219602,3.19999999896625,3.51599547257022,1.21390990471085,4.23922578573229,477.918306576099,53.9965568673175,16.1800096730379,71.6820743427575,63.085,5
2016,45.9130890185114,71.3413045219602,0.199999999825991,0.611877151180408,0.268575076501392,4.09034921699325,480.488150777966,53.9661270827109,17.0423595080455,76.0779674593548,63.082,4
2017,46.8188831337656,71.3413045219602,7.50000000164144,7.96544606461424,2.15064189848613,3.84973057654684,482.716393849129,53.939449660253,11.9973399575166,87.202376539837,63.103,3
2018,47.4127303230816,71.3413045219602,5.19999999965324,5.56850117850011,2.78770951425761,4.11988615256896,482.987946590235,53.8890673942814,9.73397739946579,92.473107021212,63.149,2
2019,47.8107543362811,71.3413045219602,7.59999999853918,7.83608438672164,1.06562263923419,4.78770584078564,480.44512876712,53.8189073448367,10.9595785635957,96.1141541288708,63.219,1
2020,48.1754870679756,71.3413045219602,-7.19999999920631,-7.16866452731679,1.80659270159933,4.98254372367497,489.008858590915,53.7708430477514,9.63911034033596,69.4888075396076,63.313,0
