Years,Age dependency ratio (% of working-age population),"Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),Urban population (% of total population),years_before_the_war
2010,39.274311233566,-465.487298167864,5.04894451349574,3.80649102062563,13.5458167908374,2.79100435652891,0.80265,51.9298009697328,6.30070170030242,74.9859884610856,53.406,10
2011,38.7078975091925,-377.332754618619,0.10000013782458,-1.19584296227708,22.524361140543,4.67013555547022,0.789686388888889,51.8554690665125,-2.88597938752249,80.5080450059522,53.637,9
2012,38.81041962457,-328.956795544407,2.1652394748416,0.816684128241235,2.88293295403217,4.65861825196324,0.785645349462366,51.7777602392446,15.0296068894244,78.263069540422,53.883,8
2013,39.5493100261129,-327.600377712539,5.80980084268208,4.45002009882025,0.445064509020867,4.54092330961466,0.784541075268817,51.6996375050779,17.6862204009871,74.6758447629851,54.145,7
2014,40.4458230491559,-310.384694389236,2.75050681535518,1.47593694077869,-1.28499552026639,4.55501312398224,0.7843475,51.6269001648611,19.3916777101463,69.4832251953347,54.422,6
2015,41.3385630702997,-310.384694389236,1.09397591627469,-0.103121364891479,-8.84969256895297,5.46487679293858,1.02456381855059,51.5607642894128,28.9454418522707,72.6015079073189,54.714,5
2016,42.2694499411257,-310.384694389236,-3.09999988037266,-4.17717168005237,14.6714002511137,3.68852730317814,1.59572157270424,51.4509605785238,1.48583383570765,90.0773187345677,55.021,4
2017,42.9697743409433,-310.384694389236,0.199999938958655,-0.778416126232784,16.1724003104411,3.75630173249661,1.72115480222734,51.3057569592403,0.318577982868449,90.4023156823216,55.343,3
2018,43.1245500256305,-310.384694389236,1.49999999999999,0.624486167739661,12.1848769569655,3.56240123412697,1.70001666666667,51.1845622192109,4.691769977505,91.6725765369825,55.68,2
2019,43.2140002863056,-310.384694389236,2.50000006743734,1.63585048130741,-0.241307927446329,3.87341170306515,1.7,51.1129397975862,17.5649086189187,85.8181454084561,56.031,1
2020,43.4171493479948,-310.384694389236,-4.30000010230737,-4.95270173869491,-7.39596582740913,5.39049499415887,1.7,51.0862790508096,26.5368212837468,72.0178676487811,56.397,0
