Years,Age dependency ratio (% of working-age population),"Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),Urban population (% of total population),years_before_the_war
1989,90.0358993217998,19.3032789582728,4.95976889440439,1.58506250480809,8.58504801719344,6.53272525576236,20.5414916666667,48.0294588508616,,34.4216591208777,30.327,10
1990,90.3524722641165,20.3315100903851,4.45858681510218,1.02421181151411,6.45199916790979,6.52232023523122,21.707375,48.0524921162631,,35.034575900498,30.576,9
1991,90.6055379024562,17.7726860431385,5.06156775897861,1.64455814439934,13.4924162537224,6.57095278815428,23.8007666666667,48.0736896725137,,35.4196551048403,30.826,8
1992,91.3237120318044,19.4922649974126,7.70589781716029,4.66648101392903,10.2014077626019,6.69818754925138,25.0827916666667,48.1481421525218,,37.6945397210631,31.077,7
1993,91.9353108787057,20.8729951631991,1.7577476978468,-1.02474092628785,8.83855312769657,6.42731262310377,28.1071833333333,48.213138933049,,38.4993168752315,31.329,6
1994,92.1153641235323,22.8984633773058,3.73741555767747,0.779593544127223,13.0284160490462,5.92354829296761,30.5665916666667,48.2463765969985,,35.0577237131595,31.582,5
1995,92.0050933998263,23.3352809848051,4.96260914623281,1.97228554754696,13.0064844675074,5.82022528285793,31.6426833333333,48.2790409222827,,36.132753673519,31.836,4
1996,91.5013917796717,25.4906678650192,4.84658128681654,1.83880828653224,8.37360999459469,6.03716630506556,36.0786833333333,48.3004507629245,,38.3301268339895,32.092,3
1997,90.7652198383735,27.0232844508678,1.01439601077892,-1.80254112696187,13.3835146386713,5.6212164889017,41.111525,48.3218138458417,,36.8522661008964,32.348,2
1998,89.8748985312392,26.6787144717906,2.55023429817393,-0.242732275330027,7.52603689563375,5.4150950442544,45.0466666666667,48.3452839101222,,34.011725180531,32.585,1
1999,88.9480257631773,27.6967489596416,3.66013273943236,0.876623662652293,5.8622861838065,5.18989926490607,49.5006915833333,48.3662538940393,,32.3199628094266,32.783,0
