Years,Age dependency ratio (% of working-age population),"Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),Urban population (% of total population),years_before_the_war
1989,74.7462897436702,7.61527291287209,5.94734333181324,3.6060240805828,8.43680886909797,3.53417972767288,16.2255,48.3125665494911,7.43584324824212,15.1681320906695,25.305,10
1990,74.2102460090207,8.25988779306431,5.53345456125301,3.22351634312818,10.6683038500875,3.14621461029962,17.5035,48.3195450504531,5.26952699827423,15.5062615101965,25.547,9
1991,73.6394717785432,8.79744283202606,1.05683143496063,-1.11028105297254,13.7518189408817,2.90997432764267,22.7424333333333,48.3240491642076,3.62471659575062,16.9877265511351,25.778,8
1992,73.0414337152497,11.0455206943752,5.48239602040357,3.25939544010092,8.96515236173758,2.70483970561409,25.9180833333333,48.3258634876185,9.1327494058766,18.433099041828,25.984,7
1993,72.42005748992,11.9849932269031,4.75077621776924,2.57408951744785,9.8617828547541,2.82354224568723,30.4932916666667,48.3251933029723,5.81477651213036,19.6515397864684,26.191,6
1994,71.767235521839,12.1973688528248,6.65892407028434,4.50057521481919,9.98004476893246,2.66467372708604,31.3737425,48.3209853530199,4.33710973757939,20.0781443769255,26.399,5
1995,71.0333210055779,13.0550774850558,7.57449183788519,5.4307028028752,9.06270222432151,2.57848357246069,32.4270766666667,48.3136352812296,5.86417810908186,22.8674487062499,26.607,4
1996,70.2088855735137,14.25698889967,7.54952224920051,5.42226141059896,7.57501828948823,2.4727682254674,35.4331733333333,48.3049420078195,7.79299430029867,21.9294878713867,26.817,3
1997,69.3432839707025,14.934121714559,4.04982084998183,2.02374489021264,6.4762712593954,2.64773242601716,36.3132858333333,48.295866214558,6.90957899531884,22.6193868670479,27.028,2
1998,68.4423001360828,17.2303762553765,6.18441582172117,4.14849485733681,8.01016752456401,2.72731141679376,41.259365,48.2867135290433,5.1212763287722,23.6994700790647,27.24,1
1999,67.5027186489675,20.0624132223184,8.84575555939531,6.79504192468139,3.06839552293496,2.95719564743412,43.0554283333334,48.2782879115501,9.19124732238965,24.8155980442929,27.453,0
