Years,Age dependency ratio (% of working-age population),"Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),Urban population (% of total population),years_before_the_war
1967,92.8444310468024,,5.94094361661151,3.19834611987686,-0.324413640168828,0.387944358578053,7.14286000614286,50.1689662519076,,35.9037764121572,21.02,10
1968,92.5123733489084,,2.02997732483745,-0.618246885652965,3.39737536562656,0.4072265625,7.14286000614286,50.1598013416264,,36.4111234375,21.563,9
1969,92.2295954219874,,-1.69956971733315,-4.24886383708844,6.5223846924134,0.41958041958042,7.14286000614286,50.1507271596719,,39.6409236074627,22.115,8
1970,91.9950512490512,,4.58140792145115,1.85576339783846,8.61212740387214,0.496014171833481,7.14286000614286,50.1417833973394,,26.1915794035625,22.678,7
1971,91.8070599477811,,2.13836477986753,-0.502941603540719,-0.566535421885661,0.483050847457627,7.12855833888096,50.1329054371496,,31.6505479797009,23.251,6
1972,91.664420531074,,14.8809523809569,11.9138874254657,10.0018870467418,0.45360824742268,6.980124999,50.1240152458411,,33.7781079359666,23.835,5
1973,91.5679805817795,,-12.1493657316415,-14.4545591202461,10.6281141882513,0.505494505494506,6.281499999,50.1151376609406,,42.7533432203542,24.427,4
1974,91.4198945029694,,0.752491356521674,-1.82587077927987,17.7278983638143,0.72714916751614,6.294999999,50.1073378738069,,46.9212235729872,25.03,3
1975,91.2331709455532,,14.6951958013711,11.8478958191433,15.2872312897992,0.516201117318436,6.294999999,50.1004806535987,-7.18833403932435,36.9453606849877,25.498,2
1976,91.1125362236366,,-1.8479408658945,-4.28222124875651,17.2695781685296,0.517512790240063,6.294999999,50.093430500443,-8.75723979647227,31.3867751247566,25.748,1
1977,91.1479534310121,,13.6453290299403,10.6486638692391,10.3700771762441,0.460755813953488,6.294999999,50.0852020127345,-3.0534337407979,79.4767423255814,25.999,0
