Years,Age dependency ratio (% of working-age population),"Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),Urban population (% of total population),years_before_the_war
1967,84.9297451382299,,4.06158788001318,1.35005724435358,1.77294449289032,2.48622496976213,2.5000000015,51.0267648951167,,,8.1,10
1968,86.1750552048182,,4.14218784379459,1.30452908796789,2.19274237060215,2.1956163689345,2.5000000015,51.0356318814728,,,8.26,9
1969,87.3884981660236,,1.38865740774854,-1.36262412612152,4.24105256872156,2.02066455324645,2.5000000015,51.0438129811835,,,8.422,8
1970,88.6118518916132,,3.48272874063258,0.669468375168478,6.2793772639692,1.88310980263875,2.5000000015,51.0508881198146,,,8.588,7
1971,89.9573069229017,3.44400158294332,6.5264761637235,3.65482353629076,-0.869609635257675,1.90607150412524,2.49347500129167,51.0564331474855,,,8.756,6
1972,91.3026375824599,3.08167992778137,4.22715958999223,1.47906696670449,-3.37743356623034,1.93641025641026,2.299999999,51.0611818207072,,,8.928,5
1973,92.4075678763378,3.16631449005577,5.10986950748801,2.34969399999414,0.38306367133751,1.92555408221254,2.098749999,51.0661212323421,,,9.102,4
1974,93.1282578838801,3.07311099425372,3.27365832432483,0.636585361810376,7.39299890729632,2.79458239277652,2.069999999,51.0722488033023,,,9.279,3
1975,93.6669700593597,2.67518135670391,1.24613171483632,-1.19852341461882,-1.2342925267514,4.49206211503427,2.069999999,51.0808112900654,,,9.46,2
1976,94.3617418994778,2.65715450338483,0.148810316081565,-2.34815489377266,7.85249113974946,4.13172252533126,2.069999999,51.0921603085078,,,9.644,1
1977,95.0394915407528,2.58758977965821,2.72568162583818,0.76560608752925,11.2882834007546,3.96778085302675,2.069999999,51.1039949260826,,,9.83,0
