Years,Age dependency ratio (% of working-age population),"Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),Urban population (% of total population),years_before_the_war
1998,54.8723808578403,54.717476511074,3.10150969616576,5.68429106346969,6.94032134027844,1.13697395615685,1.38981666666667,54.0730797729507,,53.5666693215985,53.12,10
1999,54.1958853817776,52.3467491815003,2.86729567454968,5.00558453773334,9.72884175944706,0.924374855931971,2.02451666666667,54.1921225572501,,57.1518743274472,52.879,9
2000,53.3929528793645,53.8413253189254,1.84038117927339,3.84018024327052,4.67821081510431,0.615582490752135,1.97616666666667,54.3264443467939,,62.6613956413099,52.638,8
2001,52.6532541516572,50.8049694834439,4.80729867243699,6.44578529290918,5.37434640155622,0.740186005258763,2.07301666666667,54.4481280566776,,63.3299250824094,52.398,7
2002,52.0905345263517,47.8061777424695,5.47402488700408,6.42465284351501,5.91907467017472,1.00053299706695,2.195675,54.5116024192763,,71.6291255364807,52.441,6
2003,51.8912336913573,49.1530661430502,11.0570310020104,11.8096106867876,3.42601021010252,1.06848912472203,2.14565,54.4547475892697,19.6559499381247,77.6333765369391,52.83,5
2004,51.6511823672057,53.7159450229167,5.79268292682926,6.44984993877193,8.4336944783275,1.37383897186186,1.91665,54.3228881728707,12.5915017351008,79.0407459055607,53.218,4
2005,51.1318422314324,65.5054053254813,9.59113832853026,10.2895785214873,7.93510297063291,3.33916979671741,1.812675,54.2053152269511,8.90886137260652,84.5295975354749,53.605,3
2006,50.5376973981808,69.4049372062522,9.42148081189909,10.0452966712851,8.44730526034763,5.21830695097827,1.78043333333333,54.1060618912468,7.942062785524,89.125374368197,53.992,2
2007,49.7798016624101,67.8866916567529,12.5755698246405,13.1643509520424,9.46750810327333,9.15911651704757,1.67049166666667,54.0188008384941,6.95969854014203,88.3934140686603,54.379,1
2008,48.9161113273738,64.1685851401154,2.42161440960641,2.7332346709434,9.5923273865413,8.52011839531126,1.49079166666667,53.9338449378932,7.71204166235267,86.2982243681487,54.765,0
