Years,Age dependency ratio (% of working-age population),"Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),Urban population (% of total population),years_before_the_war
1998,46.8046745891395,-59.8347980434592,-5.2999616266239,-5.14311536211871,18.5389673419024,2.73264908865687,9.70508333333333,53.1720937827629,19.6160805566126,55.7722532849766,73.359,10
1999,45.0653585397066,-57.982716992781,6.39991469144101,6.72950292335021,72.3866054661464,3.07328792235108,24.6199,53.1992575703991,-18.9515529417948,69.393281498812,73.354,9
2000,43.5652823296039,-57.926226448823,10.0000668136515,10.4637091559227,37.6979282123097,3.30702983667541,28.1291666666667,53.2454702729898,-9.63311144269678,68.0939070373555,73.35,8
2001,42.3668405184076,-61.0565567408374,5.10005122572568,5.54671833932643,16.4796193570037,3.54631922908818,29.168525,53.3123822640996,1.22657850722426,61.1108586644206,73.346,7
2002,41.5231777036921,-67.9152134003805,4.69999190914258,5.18275023824988,15.6619063054593,3.75627739108018,31.3484833333333,53.3848772950435,0.0329353853463892,59.6454457319607,73.341,6
2003,41.1118911605145,-73.4721624068744,7.29995234528189,7.78796752390349,13.6571368113275,3.67083808960104,30.692025,53.4558994550059,-0.60017068040332,59.1282690076014,73.373,5
2004,40.933146045048,-81.0826340821091,7.19994786954857,7.63249118230908,20.2551495775111,3.30035364660483,28.8137416666667,53.5348099402358,-7.32898586198476,56.5818523984055,73.418,4
2005,40.7583002208105,-84.6287038991353,6.39996544799469,6.80660765259209,19.279432134411,3.33123723441659,28.2844416666667,53.6170363322882,-7.20668991062193,56.7132484905422,73.463,3
2006,40.542928781967,-82.9504252591884,8.20006825456321,8.55494147469737,15.1204066316764,3.24635723405838,27.1909583333333,53.684633849406,-4.07869184018714,54.733401867266,73.508,2
2007,40.2034276919991,-84.232474302143,8.49997776916511,8.68576548155966,13.8412392398238,3.1185420747754,25.5808453675404,53.7221832228225,-3.34492661176019,51.7061227454606,73.553,1
2008,39.6340464969755,-82.1331243647021,5.19996926404957,5.24621001829865,18.0135183350842,3.14948602002222,24.852875,53.7417082366674,-4.90496208972303,53.3824660408908,73.598,0
