Years,Age dependency ratio (% of working-age population),"Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),Urban population (% of total population),years_before_the_war
2012,39.7122076623378,-77.8561096295228,4.02408615746921,3.76271915500016,8.90786842087834,3.68924043459907,30.8398313519917,53.7026009683707,0.176416618842598,47.1513903857957,73.791,10
2013,40.7840417932466,-83.8412398490403,1.75542214874298,1.45314767875932,5.32013887237915,3.85404258314373,31.8371436402813,53.6756500059607,3.93707019254129,46.287149400499,73.863,9
2014,42.1236258137655,-83.6705407206797,0.736267221765672,-1.12194041744186,7.49007111696609,4.11299297822323,38.3782071444168,53.6540129197431,3.39714683575481,47.8013412628116,73.95,8
2015,43.6560400391556,-83.6705407206797,-1.97271922580408,-2.2762114110788,7.24973590678889,4.87151474680202,60.9376501088951,53.6368781936385,7.89459357479114,49.3593493116887,74.05,7
2016,45.0865219275749,-83.6705407206797,0.193690071260534,-0.0904862004782103,2.84422269802643,5.42514770504505,67.0559333333333,53.6148756953332,9.48435447263491,46.5181198396096,74.164,6
2017,46.4109081650047,-83.6705407206797,1.82579006401834,1.61387325924203,5.34981508767618,4.24899605173948,58.3428011851719,53.5901596696156,4.94560423099718,46.8765243371311,74.292,5
2018,47.5290734735912,-83.6705407206797,2.80724541059601,2.71659271660542,9.99797671148308,3.71982243956434,62.6681333333334,53.5707487006859,-1.02848259453331,51.5809003703964,74.433,4
2019,48.5943754955694,-83.6705407206797,2.19807571335009,2.14202624717367,3.26313281881684,3.86033750437073,64.7376583333333,53.56393962302,5.31670923072754,49.2287536619033,74.587,3
2020,49.5678005245706,-83.6705407206797,-2.65365450102773,-2.52680431743222,0.898246027195242,4.17147890118067,72.1049083333333,53.55968968725,5.8252621205664,45.9669082029127,74.754,2
2021,50.271723309629,-83.6705407206797,5.61429037578345,5.96554013311996,19.4115890615904,3.7204513646667,73.65435,53.5457361902541,-10.2423105030022,50.196441103259,74.934,1
2022,50.9772520257906,-83.6705407206797,-2.06971152527731,-1.73318663190568,16.7152740606271,4.05631633246717,68.4849416666667,53.5440809723326,-4.50335865315288,43.2587048229719,75.126,0
