Years,Age dependency ratio (% of working-age population),"Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),Urban population (% of total population),years_before_the_war
1969,80.6284765918746,,16.9399999960612,13.7793403435186,-3.7925287173275,,2.46180889882528,49.0592511436016,,4.95019078330445,17.528,10
1970,80.1831695798608,,19.2999999967024,16.0503992929068,-2.61457045011514,,2.46180889882528,49.0617537510678,,4.83331819362197,17.4,9
1971,79.8351128568737,-0.79060731111779,7.0599999985365,4.15917620130948,0.665937402347524,,2.46180889882528,49.061718489235,,4.95342042818186,17.292,8
1972,79.1204499176226,-0.819155750174265,3.81000000021972,1.29010597100425,0.0741856162067052,,2.24506644860066,49.0606731041953,,5.67657602335057,17.184,7
1973,78.4685123883968,-1.11419500721998,7.76000000084305,5.32729301395416,0.208465019313863,,1.98941552463247,49.0608227376019,,8.09644384696321,17.184,6
1974,78.7119418618483,-1.9035377360829,2.31000000294743,0.218005667350994,0.277735670872488,,1.96110708887637,49.0637485267785,,10.3539576673622,17.292,5
1975,79.2010016538051,-2.84452618697819,8.71999999748007,6.81644050625681,-1.13117515356886,,1.85982338938658,49.0690898185511,,9.99184170324066,17.4,4
1976,79.5414656212417,-2.37601171171451,-1.57000000165334,-3.08132198489834,-0.106286227905457,,1.94141535102099,49.0741118287732,,9.60795084286957,17.46,3
1977,78.2814185991869,-2.1244891319489,7.57000000138399,6.11400167606094,1.09377177565865,,1.85782338223958,49.0796068704939,,9.33568519230769,17.52,2
1978,74.6563119459405,-2.38701360190128,11.3259779878894,9.84615684799608,1.67514249839924,,1.68358941885647,49.0864676996339,,15.4224447608145,17.9,1
1979,70.9756079339853,-3.11549412082296,7.59132468000874,6.16566370933127,3.600054771534,,1.55493895401486,49.0925437151956,,16.5457845241747,18.617,0
