Years,Age dependency ratio (% of working-age population),"Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),Urban population (% of total population),years_before_the_war
1969,86.456962149139,,,,,,38.6922615476905,48.6799119466292,,,11.275,10
1970,87.257666613481,,,,,1.62960609911055,38.6922615476905,48.7277423894346,,,11.643,9
1971,88.026352404817,,,,,1.7093741515437868,38.6922615476905,48.7729807574855,,,12.021,8
1972,88.7756358202595,,,,,1.7891422039770233,38.6922615476905,48.8154918094744,,,12.41,7
1973,89.5107402157941,,,,,1.86891025641026,38.6922615476905,48.8546840643761,,,12.809,6
1974,90.2437777766589,,,,,1.61082474226804,38.3787089832034,48.8905557614864,,,13.219,5
1975,90.9672209131238,,,,,1.72206572769953,34.9296307738452,48.9234265287005,,,13.641,4
1976,91.6743266335102,,,,,2.04608695652174,34.9296307738452,48.9535140944564,,,14.074,3
1977,92.3750674680591,,,,,2.0114747930775,34.9296307738452,48.9806949471229,,,14.517,2
1978,93.0651831676898,,,,,2.0114747930775,34.9296307738452,49.0161034382767,,,14.973,1
1979,93.747143749577,,,,,2.0114747930775,33.8461643196361,49.0730849916375,,,15.442,0
