Years,Age dependency ratio (% of working-age population),"Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),Urban population (% of total population),years_before_the_war
1982,52.2918451056193,,,,,,,53.5183102445119,,,41.891,10
1983,52.5690759787939,,,,,,,53.5253911961335,,,42.649,9
1984,53.0670456821057,,,,,,,53.5382344122994,,,43.412,8
1985,53.744946694912,,,,,,,53.5553010586394,,,44.176,7
1986,54.5408008199134,,,,,,,53.5764425671897,,,44.944,6
1987,55.2414027325156,,,,,,,53.6004518401198,,,45.714,5
1988,55.811552461401,,,,,,,53.6322570443233,,,46.488,4
1989,56.2805815245102,,,,,,,53.6248184149998,,,46.856,3
1990,56.5562906944039,99.1484648905781,,,,,,53.5772793894968,,,46.762,2
1991,56.7073629018313,98.8811168639421,-16.0000002715149,-16.1029448311885,139.82680693032,,,53.5398999553248,,,46.669,1
1992,56.8998313609654,98.7638662436813,-29.0999999176414,-29.0857055867621,945.030521954821,,,53.5148158205987,,,46.575,0
