Years,Age dependency ratio (% of working-age population),"Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),Urban population (% of total population),years_before_the_war
1964,88.9612790510155,19.2435706338539,5.45905679838097,2.73012312351256,2.35243651899155,3.42246520874751,9.03916666575e-06,49.2132932006973,,9.9403578528827,33.68,10
1965,89.5291330283309,18.8200905227686,2.82352954343837,0.273548786584314,4.11785566096488,3.55441860465116,9.039999999e-06,49.2530658547672,,9.93500464252553,34.227,9
1966,89.951137107401,19.3505957639559,11.2128150353514,8.42240435488509,5.94759067350768,3.14398111723053,9.039999999e-06,49.2817006569961,,9.77147360126084,34.949,8
1967,90.2592701777944,16.2567002103985,4.73251024393741,2.04810309423181,5.93989052660011,3.25957446808511,9.039999999e-06,49.2984286655831,,9.09090909090909,35.759,7
1968,90.3703265576687,18.0882742089527,6.77799601038116,4.11398596040785,4.76015624386707,3.27555555555556,9.039999999e-06,49.3141854212987,,8.76190476190476,36.577,6
1969,90.2707185348871,19.4359147267012,4.0811456208947,1.56230666179094,6.87631710287759,3.07933789954338,9.039999999e-06,49.3298940582334,,8.33333333333333,37.401,5
1970,89.8761850721526,23.1849915724913,3.2335089729326,0.836579489623389,8.64450444669336,3.25648854961832,1.1328499999e-05,49.3327667884767,,10.7888040712468,38.234,4
1971,89.3319222402388,29.3428486169161,5.56669450058789,3.09021412401118,16.9020871544943,3.49979381443299,1.48666666670833e-05,49.255954598106,,13.5670103092784,38.945,3
1972,88.7479418586993,31.5044402626826,7.42578832564243,4.87752239463101,10.9756760490106,3.4455205811138,1.415e-05,49.1187105065048,,14.5624351435489,39.6,2
1973,88.0696532557978,36.2554731869016,3.26233451840511,0.901130367305328,21.9302187016976,3.34945054945055,1.415e-05,48.9881522109137,,16.1263736263736,40.258,1
1974,87.2548726497346,36.9660206270517,5.59447440269336,3.28170101269205,28.9923473546045,3.19302137958854,1.39270833330833e-05,48.8588924899069,,17.0028237192416,40.92,0
