Years,Age dependency ratio (% of working-age population),"Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),Urban population (% of total population),years_before_the_war
2006,52.2002887151974,71.7129388924415,6.94798808571993,5.85508876576858,9.37620636352707,2.3595222796582,1.42845341333845,49.8528103557597,,48.7628710706907,68.45,10
2007,51.7039880562328,72.7254988268207,5.04350793157104,4.87467469551008,6.1997582025374,2.21792932113531,1.30293090533794,49.872071026068,,47.8508167487862,69.053,9
2008,51.0570512318991,70.6420063612313,0.815024573007705,-0.452853692268519,12.046153593928,2.199273923442,1.30152170281795,49.8677118421185,,50.5482538951665,69.651,8
2009,50.2459919396016,69.035881178924,-4.82315395301769,-6.12785740051382,5.44644910319889,2.48931174211555,1.54995977566564,49.8402453007284,,46.7870669467638,70.241,7
2010,49.4548531901584,69.6247665957724,8.42710432276191,6.79208232586733,7.00928360259741,2.27171421902952,1.5028486296723,49.8125159405454,,46.6944652263085,70.825,6
2011,48.7243135492246,71.6075765301558,11.2001105833504,9.57986395820123,8.20084709330651,2.02750659150507,1.67495455197133,49.8095100541597,,53.3041756356468,71.402,5
2012,48.0371465077245,74.0171227979713,4.78849271108008,3.46121242479198,7.42267328660553,2.00944779894555,1.79600094441355,49.8297336846283,,52.830802656723,71.974,4
2013,47.3558028630143,73.0653554197625,8.48581699653026,7.10131954327058,6.2801096970818,1.92395933259341,1.90376824244752,49.8470171949068,,52.5272987998138,72.531,3
2014,46.6296994569191,74.2081113644868,4.9397151613658,3.53349204037028,7.38951863770303,1.87196655112723,2.18854241775473,49.8619908920678,,53.7663011662543,73.077,2
2015,45.9452643498497,75.2078800411834,6.08448690443663,4.6785959933809,7.84491693010263,1.81284829274449,2.72000852790578,49.8768081565896,,51.0885436007552,73.611,1
2016,45.5909695430664,75.2078800411834,3.32308420845746,1.94225845985372,8.13047807814451,2.05032460503249,3.02013474808043,49.8927326879871,,48.3281862338973,74.134,0
