Years,Age dependency ratio (% of working-age population),"Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),Urban population (% of total population),years_before_the_war
1991,100.333805677725,,,,,2.0114747930775,39.276429270146,50.1053160179131,,,21.266,10
1992,101.130964399038,,,,,2.0114747930775,39.276429270146,50.1150503130024,,,21.355,9
1993,101.99673440322,,,,,2.0114747930775,39.276429270146,50.0994634874042,,,21.444,8
1994,102.99668425802,,,,,2.0114747930775,38.818463,50.0707226982263,,,21.534,7
1995,104.092606744234,,,,,2.0114747930775,36.5671446236559,50.0424971880954,,,21.624,6
1996,105.223953365424,,,,,2.0114747930775,47.5,50.0059673710904,,,21.714,5
1997,106.412388709347,,,,,2.0114747930775,47.5,49.967328905976,,,21.805,4
1998,107.593615693214,,,,,2.0114747930775,47.5,49.931871067816,,,21.895,3
1999,108.686030843852,,,,,2.0114747930775,46.6195310771889,49.8947494602717,,,21.986,2
2000,109.586047730495,,,,,2.0114747930775,47.3575747311828,49.8535443635096,,,22.078,1
2001,110.219341359285,,-9.4319740700862,-10.1194841059326,-11.7745360319214,2.0114747930775,47.500014516129,49.8144427519482,,,22.169,0
