Years,Age dependency ratio (% of working-age population),"Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),Urban population (% of total population),years_before_the_war
1993,92.8411763423899,-18.0416119907598,30.289829491298,24.1804989010671,114.467671710136,10.8295344412937,2002.38629443332,50.6961155282262,,0.544696684469833,69.152,10
1994,92.0679652454741,-18.4451162829544,3.85453244895318,-0.985588929120453,396.438017397365,10.8295344412937,2002.38738948844,50.6555326302547,,0.0995823619218853,68.966,9
1995,91.3021068910745,-19.6388038698224,2.12002149763362,-1.24405312442356,295.367667143229,10.8295344412937,2002.38722845093,50.6138017535025,,0.0209992321838355,68.78,8
1996,90.5489786714341,-23.3642600386635,11.0207856442117,7.53308314946619,-12.544137451324,10.8295344412937,2002.38721234717,50.5703858846626,,0.0268884829090311,68.593,7
1997,89.8334071497553,-99.247744550882,21.2379361287918,17.546269712514,91.4987978380229,10.8295344412937,2002.38721234717,50.524931826772,,106.188169939941,68.405,6
1998,89.1620796654062,-293.802394013774,35.0009676191703,30.8254376047419,-15.9504339359416,10.8295344412937,2002.38724455468,50.4777490342766,,132.243160520961,68.388,5
1999,88.4946577757058,-496.436166308582,17.5801703743879,13.838701148247,71.151095297895,10.8295344412937,2002.3897728437,50.4302979875174,,138.314601242921,68.442,4
2000,87.8154980028886,-419.640109784403,16.7961344439661,13.0301611362353,24.7463688646904,10.8295344412937,2002.40340735354,50.3846330846932,,125.336595640904,68.496,3
2001,87.1176985817565,-359.759973670637,1.76660876568174,-1.35847551126994,-19.1508057512295,10.8295344412937,2002.40491037037,50.3415689598791,,126.780255976775,68.55,2
2002,86.3837568242254,-316.685106972675,-8.20370481187175,-11.0582696179366,8.16786888651433,10.8295344412937,2002.37270286683,50.3006087694797,6.3162297490151,119.762047746987,68.604,1
2003,85.6149589152962,-216.807820823487,-36.6567804383165,-38.5382182871903,13.8561168354067,10.8295344412937,2002.37270286683,50.272004729083,1.00467431736401,154.234525288266,68.658,0
