Years,Age dependency ratio (% of working-age population),"Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),Urban population (% of total population),years_before_the_war
1968,94.8145194064578,,,,,,,50.7222331041435,,,17.529,10
1969,94.1852512004364,,,,,,,50.7737673283312,,,17.911,9
1970,93.2914108064935,,,,,,,50.816527137198,,,18.3,8
1971,92.4350911486962,24.4812877580099,,,,,,50.8553408543411,,,18.396,7
1972,91.2195058375903,27.9910746668249,,,,,,50.9078863562874,,,18.492,6
1973,89.8803425176672,25.7300371926796,,,,,,50.9604601320518,,,18.588,5
1974,88.5692305973907,14.8983289989008,,,,,,51.0027351536173,,,18.685,4
1975,87.2094663755865,13.5258208842859,,,,,,51.0244530123258,,,18.782,3
1976,86.4970941454025,0.119089828786541,,,,,,51.0151225761447,,,18.88,2
1977,85.8734163604269,-0.40776616985698,,,,,,51.0013415824815,,,18.978,1
1978,84.7838467544662,1.22219530849977,,,,,,50.9885341863346,,,19.076,0
