Years,Age dependency ratio (% of working-age population),CPIA gender equality rating (1=low to 6=high),"Central government debt, total (% of GDP)","Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)","Literacy rate, adult total (% of people ages 15 and above)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),"Unemployment, male (% of male labor force) (national estimate)",Urban population (% of total population),Age dependency ratio (% of working-age population) 2,CPIA gender equality rating (1=low to 6=high) 2,"Central government debt, total (% of GDP) 2","Energy imports, net (% of energy use) 2",GDP growth (annual %) 2,GDP per capita growth (annual %) 2,"Inflation, GDP deflator (annual %) 2","Literacy rate, adult total (% of people ages 15 and above) 2",Military expenditure (% of GDP) 2,"Official exchange rate (LCU per US$, period average) 2","Population, female (% of total population) 2",Real interest rate (%) 2,Trade (% of GDP) 2,"Unemployment, male (% of male labor force) (national estimate) 2",Urban population (% of total population) 2,years before the war,War tracker
1982,46.6620228500854,4.1,143.948999533393,52.9906543587657,0.355408287626815,-1.44709220543794,8.11308684183778,69.0421371459961,4.33618486728391,9.70508333333333,53.7807583635442,19.6160805566126,37.0101626417409,5.194,70.631,51.5345087253762,4.5,56.9064733876267,52.9906543587657,2.00244542885206,1.14247059836754,3.50550160200538,69.0421371459961,4.33618486728391,1.38981666666667,53.6070599783664,19.6559499381247,37.0101626417409,15.27,53.176,10,Abkhaz_War v2
1983,46.9866578284594,4.1,143.948999533393,53.7497290859724,2.63226798050941,0.80476823596895,7.72549325901899,69.6113204956055,3.98202756307823,9.70508333333333,53.7129721560998,19.6160805566126,36.1883956998526,5.194,71.066,51.3219414008432,4.5,56.9064733876267,53.7497290859724,4.3016035214589,3.38897302522059,-2.81720237856229,69.6113204956055,3.98202756307823,1.38981666666667,53.5558235153013,19.6559499381247,36.1883956998526,15.27,53.516,9,Abkhaz_War v2
1984,47.4078969904996,4.1,143.948999533393,52.8293097215668,4.67566620794489,2.85020993288742,7.92323284822739,70.2723693847656,3.67284847374975,9.70508333333333,53.6421831446417,19.6160805566126,37.4869240720243,5.194,71.497,51.3329290979417,4.5,56.9064733876267,52.8293097215668,5.4279631478795,4.5315677189254,1.28015120287648,70.2723693847656,3.67284847374975,1.38981666666667,53.5116137074011,19.6559499381247,37.4869240720243,15.27,53.855,8,Abkhaz_War v2
1985,47.5758639837564,4.1,143.948999533393,52.9303834918167,3.70830649160479,1.89741656452563,5.52682014282678,70.8643569946289,3.58923040054929,9.70508333333333,53.570755949933,19.6160805566126,37.0460128069355,5.194,71.923,51.4133569382608,4.5,56.9064733876267,52.9303834918167,4.94120590442833,4.02522934899925,-4.53224449576,70.8643569946289,3.58923040054929,1.38981666666667,53.4658472099888,19.6559499381247,37.0460128069355,15.27,54.194,7,Abkhaz_War v2
1986,47.6864143707257,4.1,143.948999533393,52.2237634911366,3.23360024124062,1.41528393904355,5.23941496295419,71.4160385131836,3.69161048474196,9.70508333333333,53.4896028020256,19.6160805566126,34.577943605728,5.194,72.346,51.5023188276049,4.5,56.9064733876267,52.2237634911366,-8.17567222383052,-8.98763779625877,6.10346627987684,71.4160385131836,3.69161048474196,1.38981666666667,53.4184711834901,19.6559499381247,34.577943605728,15.27,54.532,6,Abkhaz_War v2
1987,47.8988621463866,4.1,143.948999533393,52.7679775839019,3.75340885923701,1.90995138961141,7.17636851093515,72.1094207763672,3.80387078900199,9.70508333333333,53.3927131627119,19.6160805566126,35.8495083701268,5.194,72.765,51.608808045063,4.5,56.9064733876267,52.7679775839019,1.28148065724565,0.448766891959991,2.33372501305425,72.1094207763672,3.80387078900199,1.38981666666667,53.3703703907166,19.6559499381247,82.2958430048533,15.27,54.87,5,Abkhaz_War v2
1988,48.2450689842227,4.1,143.948999533393,53.1477105545319,3.29509933908889,1.87214770388819,6.51341531670252,73.824089050293,3.56070432040323,9.70508333333333,53.2948599306038,19.6160805566126,37.6786481068644,5.194,73.181,51.768638283003,4.5,56.9064733876267,53.1477105545319,5.55545382967426,4.51547691173728,-2.23111156230848,73.824089050293,3.56070432040323,1.38981666666667,53.3237919297689,19.6559499381247,88.6041439476554,15.27,55.208,4,Abkhaz_War v2
1989,48.6714122236362,4.1,143.948999533393,53.0549713682108,1.24212369565187,-0.10765347727019,7.14773882778444,98.0,3.45568007326008,9.70508333333333,53.2114601255423,19.6160805566126,42.9144851657941,5.194,73.398,52.011422137084,4.5,56.9064733876267,53.0549713682108,-7.19378285079883,-7.43723179966314,5.41600480029352,93.2030715942383,3.45568007326008,1.38981666666667,53.255367032139,19.6559499381247,87.7804096419117,15.27,55.277,3,Abkhaz_War v2
1990,49.0447864912524,4.1,143.948999533393,-47.0788556238582,-2.99999564243126,-3.16283597296696,15.9029112575078,93.4184188842773,3.32618843918075,9.70508333333333,53.1563065639752,19.6160805566126,36.1067991307048,5.194,73.394,52.5260655302916,4.5,56.9064733876267,83.760782005849,-14.788785046729,-14.7657166211898,22.3590344933704,93.4184188842773,3.32618843918075,1.38981666666667,53.2338557722183,19.6559499381247,85.5271949752773,15.27,55.038,2,Abkhaz_War v2
1991,49.4146959612107,4.1,143.948999533393,-39.8051831762622,-5.04693945142462,-5.31876190965632,128.629771683447,93.5675506591797,3.03643559357089,9.70508333333333,53.1283914289794,19.6160805566126,26.2567036110118,5.194,73.389,53.2630556772206,4.5,56.9064733876267,84.0520822869101,-21.0998508379398,-21.652946447153,62.1416131246432,93.5675506591797,3.03643559357089,1.38981666666667,53.2923171984655,19.6559499381247,59.020160869111,15.27,54.799,1,Abkhaz_War v2
