Years,Age dependency ratio (% of working-age population),CPIA gender equality rating (1=low to 6=high),"Central government debt, total (% of GDP)","Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)","Literacy rate, adult total (% of people ages 15 and above)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),"Unemployment, male (% of male labor force) (national estimate)",Urban population (% of total population),Age dependency ratio (% of working-age population) 2,CPIA gender equality rating (1=low to 6=high) 2,"Central government debt, total (% of GDP) 2","Energy imports, net (% of energy use) 2",GDP growth (annual %) 2,GDP per capita growth (annual %) 2,"Inflation, GDP deflator (annual %) 2","Literacy rate, adult total (% of people ages 15 and above) 2",Military expenditure (% of GDP) 2,"Official exchange rate (LCU per US$, period average) 2","Population, female (% of total population) 2",Real interest rate (%) 2,Trade (% of GDP) 2,"Unemployment, male (% of male labor force) (national estimate) 2",Urban population (% of total population) 2,years before the war,War tracker
1968,116.473928206402,0.0,0.0,26.6711270495099,33.8639151717893,30.1222973365551,5.48347649914098,39.6233100891113,2.85594639865997,0.357142999,48.7993277279941,1.43768820595458,36.9545871054047,0.0,43.07,86.3853668242871,0.0,0.0,26.6711270495099,-0.457218866538113,-2.39673120038236,2.03146493895743,65.6587829589844,2.84708264582147,247.564693756951,50.6246801841469,0.0,33.6260412806243,0.0,10.196,10,Chadian-Libyan_War v2
1969,118.203710223426,0.0,0.0,29.3267848163251,13.0878908208299,9.63443973890143,0.606235009802575,39.6233100891113,3.76288659793814,0.357142999,48.8120149352651,6.35523731662799,38.3936257384212,0.0,46.352,86.9336357492474,0.0,0.0,29.3267848163251,6.88131022379213,4.74778993786002,2.06733982748017,65.6587829589844,3.0891650339169,259.960574351236,50.6400377090493,0.0,30.9056620313361,0.0,10.862,9,Chadian-Libyan_War v2
1970,118.315274819275,0.0,0.0,29.5000190919107,4.95074891903874,1.50901540936657,0.0820004098746523,39.6233100891113,6.07293127629734,0.357142999,48.8469880518912,6.91233145000445,42.3033980602991,0.0,49.671,87.5640945008667,0.0,0.0,29.5000190919107,1.85965647855537,-0.236514145934919,3.85955208091369,65.6587829589844,2.67367606825431,276.403137026845,50.6539464803634,0.0,38.3095679084534,0.0,11.568,8,Chadian-Libyan_War v2
1971,118.09551490895,0.0,0.0,-8657.83213866059,-5.27752502339565,-8.39801719450381,20.4036993165453,39.6233100891113,5.32267977873387,0.356325749,48.8761026647839,-11.1322985860314,44.5053948602267,0.0,52.992,88.2637848422364,0.0,0.0,-45.6442670155033,-2.24762637244967,-4.28847107115783,8.99174877486901,65.6587829589844,2.43482913920076,275.356456685332,50.6674385137881,0.0,36.9700137014997,0.0,12.313,7,Chadian-Libyan_War v2
1972,117.901128223601,0.0,0.0,-5127.29523488834,9.12584054018133,5.56900319073159,1.30914858930022,39.6233100891113,3.70967741935484,0.328946999,48.896518605933,5.6173124440815,43.1283079550564,0.0,56.292,89.1611322113317,0.0,0.0,-54.48266794988,1.14961609483272,-1.08306584014747,5.55368367597131,65.6587829589844,2.65325863082022,252.027627462649,50.6779936156201,0.0,33.9491575536703,0.0,13.1,6,Chadian-Libyan_War v2
1973,113.92088548797,0.0,0.0,-4232.41593498038,1.93661971417217,-1.94413702049,22.5202126576379,40.100528717041,3.98486197684773,0.300025999,48.9809622620067,-12.6674712041241,50.8571963737705,0.0,59.528,90.1987206863725,0.0,0.0,-60.8476831993856,-8.38088300800841,-10.5106738595123,6.71359429875471,65.6587829589844,2.74271382781193,222.889183053227,50.6795062305738,0.0,39.2290307932624,0.0,13.882,5,Chadian-Libyan_War v2
1974,109.363828477725,0.0,0.0,-2665.92330300823,22.1934369650876,16.2642535826649,41.4794762030237,40.5882797241211,3.2912696368787,0.296050999,48.9252371607562,-24.3706558211634,69.0087119976949,0.0,61.237,91.2632496156779,0.0,0.0,-67.3191636993505,4.96185258253867,2.58260751768952,3.73569349604588,65.6587829589844,2.89434702104435,240.704667637823,50.6754437327197,0.0,45.194817400313,0.0,14.704,4,Chadian-Libyan_War v2
1975,107.278237669571,0.0,0.0,-2049.86894144086,4.0282685479679,-1.60871508404968,-6.42697471645167,41.1254196166992,2.25396825396825,0.296050999,48.6837541161849,14.349193772206,71.6496811036313,0.0,62.785,92.4631825720449,0.0,0.0,-51.1230418313164,9.01026730550454,6.68531638180343,8.22070051410586,65.6587829589844,4.01453078571291,214.312900341219,50.6746201437212,0.0,40.2532786995854,0.0,15.566,3,Chadian-Libyan_War v2
1976,105.358708760152,0.0,0.0,-2974.2787260469,22.8809523817653,16.1219145495386,5.64274382213941,41.6848907470703,1.96861626248217,0.296050999,48.4496572698372,1.28476043763656,66.0216849686688,0.0,64.31,93.8519350096486,0.0,0.0,-58.9288655698999,2.98076526952687,0.944475621720045,8.44952547852462,65.6587829589844,3.91273016045733,238.950494267059,50.6816860830942,0.0,42.4681536718392,0.0,16.47,2,Chadian-Libyan_War v2
1977,103.580761961955,0.0,0.0,-2516.78702749995,8.85272018683338,2.79738240827292,7.89297342503647,42.2836685180664,2.46399444733646,0.296050999,48.2263434081789,-0.827647433089709,67.2336443368689,0.0,65.802,95.3703323670809,0.0,0.0,-58.8077409485305,2.23462484913772,0.337757707890447,8.61801944417242,65.9490966796875,4.09954665329165,245.679686566576,50.6938783613791,0.0,43.7266546211927,0.0,17.413,1,Chadian-Libyan_War v2
1978,102.307378773971,0.0,0.0,-2121.95581178921,3.30491881279562,-2.4819010152931,-4.45892208893788,42.9994010925293,3.79922644163151,0.296050999,48.0145466362787,11.9937123795116,59.91665005537,0.0,67.265,96.8631252094649,0.0,0.0,-50.9493828466505,-0.469634188032003,-2.26782337134802,9.89977571152785,66.5720596313477,4.02432475816429,225.655860233957,50.7074906049509,0.0,44.3903103907817,0.0,18.4,0,Chadian-Libyan_War v2
