Years,Age dependency ratio (% of working-age population),CPIA gender equality rating (1=low to 6=high),"Central government debt, total (% of GDP)","Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)","Literacy rate, adult total (% of people ages 15 and above)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),"Unemployment, male (% of male labor force) (national estimate)",Urban population (% of total population),Age dependency ratio (% of working-age population) 2,CPIA gender equality rating (1=low to 6=high) 2,"Central government debt, total (% of GDP) 2","Energy imports, net (% of energy use) 2",GDP growth (annual %) 2,GDP per capita growth (annual %) 2,"Inflation, GDP deflator (annual %) 2","Literacy rate, adult total (% of people ages 15 and above) 2",Military expenditure (% of GDP) 2,"Official exchange rate (LCU per US$, period average) 2","Population, female (% of total population) 2",Real interest rate (%) 2,Trade (% of GDP) 2,"Unemployment, male (% of male labor force) (national estimate) 2",Urban population (% of total population) 2,years before the war,War tracker
1988,88.0230215324859,0.0,0.0,-44.6556903818931,4.42259131551997,1.49697594455891,8.95795186633018,51.1383285522461,3.86382788183061,2.07182506752915,51.1172678517532,0.0,37.6786481068644,0.0,17.592,95.1171465434969,0.0,47.1758923635809,3.38606528433409,0.503674879297762,-3.34518199788333,3.10550371429636,51.1383285522461,8.5014361098123,2.07,50.8279007056402,2.80731501368175,37.6786481068644,3.0,12.143,10,Ethiopean_Eritrean_war v2
1989,88.7900344037678,0.0,0.0,-50.8815903735321,2.30824956139151,-0.520402910326951,9.76900937253662,51.6795883178711,3.84941550631492,2.07182506752915,51.1170015742198,0.0,38.0552199299386,0.0,18.239,95.4757038632148,0.0,47.1758923635809,3.47458247157008,-0.36104417975227,-4.11569691071389,5.58473189935049,51.6795883178711,10.2766484563588,2.07,50.7510458167645,0.393303172891858,38.0552199299386,3.0,12.38,9,Ethiopean_Eritrean_war v2
1990,89.6650434662529,0.0,0.0,-52.6368114682322,2.35414028456324,-0.456114677424907,10.5836307032606,52.3068618774414,3.66720481756953,2.07182506752915,51.1145317864534,0.0,38.0649048598853,0.0,18.905,95.886756053368,0.0,47.1758923635809,3.55033136048128,2.72645178272658,-1.0064688929518,3.27137461018934,52.3068618774414,9.6579698086295,2.07,50.6841812289137,2.64218947419863,38.0649048598853,3.0,12.621,8,Ethiopean_Eritrean_war v2
1991,90.0855179898717,0.0,0.0,-51.9131646942743,0.351296364878095,-2.32918103690041,8.56427900364693,52.6516418457031,2.9557642433669,2.07182506752915,51.100844928372,0.0,37.9399202833418,0.0,19.59,95.8232624599868,0.0,49.6471547793914,3.40089152154028,-7.13747970027428,-11.0737930131849,19.0842902283411,52.6516418457031,5.70513154467309,2.07,50.5992594353366,-10.9874192500558,37.9399202833418,3.0,12.867,7,Ethiopean_Eritrean_war v2
1992,90.7509467296865,0.0,0.0,19.3553828846029,-0.432236851776111,-3.08347545320855,6.96128200795714,53.1254386901855,2.34179953012772,2.80497089456543,51.0773048809505,0.0,56.3771893721132,0.0,20.294,95.8926378892905,0.0,43.3007948756543,2.2449679995519,-8.67248014788842,-12.4354815219745,15.5322258683715,53.1254386901855,3.44170834936514,2.8025,50.5114336288947,-6.51958863577435,40.8196132834649,3.0,13.116,6,Ethiopean_Eritrean_war v2
1993,90.1836454889938,0.0,0.0,23.1849000884845,13.4547625007102,9.95466994106025,-1.38317062735574,53.7067985534668,21.3291139240506,5.00440837567428,51.0342100187176,0.0,102.060001634922,0.0,21.015,96.4787220417645,0.0,71.5033855542775,2.73662934443893,13.1428339765154,9.23479853421722,13.3768642296366,53.7067985534668,3.07168835064302,5.0,50.4411429675369,0.549614574893553,40.3467474424543,3.0,13.37,5,Ethiopean_Eritrean_war v2
1994,89.8591468259676,0.0,0.0,25.5312676957665,21.2214111876814,17.5536356070169,10.4321476871899,54.309211730957,12.7159420289855,5.46981835461199,50.9918674549288,0.0,110.881778212018,0.0,21.755,97.0730362422405,0.0,90.2523100095927,3.0482712924944,3.18996458217961,-0.340437449778463,2.93108171424225,27.0,2.86843870238978,5.465,50.3769282721675,11.0775593039487,41.2849683833976,3.0,13.627,4,Ethiopean_Eritrean_war v2
1995,86.6164296718931,0.0,0.0,26.792515615854,2.8583790589487,-2.79691785991288,9.81004035440252,54.721549987793,19.5391124143288,6.16376298270549,50.9249891495788,0.0,105.322628605412,0.0,22.514,97.6212396687544,0.0,80.6182076424932,3.3432463542146,6.12751141376545,2.57532695955953,12.706369018741,54.721549987793,2.22561605430131,6.15833333333333,50.3217510912132,2.10898845849346,43.1013301167213,3.0,13.827,3,Ethiopean_Eritrean_war v2
1996,84.8502717870378,0.0,0.0,27.8662289622088,9.25883856340832,3.96150472866739,9.07483488878513,55.3781204223633,20.3448190649491,6.35727511391219,50.8693123303941,0.0,116.617520301229,0.0,23.293,98.243007722384,0.0,70.3936489385985,3.51350821346144,12.4261737774646,8.77685691388592,0.239138038731895,55.3781204223633,2.11713848911382,6.351675,50.271925224536,13.6448984853101,43.2359850779476,3.0,14.006,2,Ethiopean_Eritrean_war v2
1997,87.8935848667846,0.0,0.0,25.121243656749,7.90868457794079,6.72181364621743,3.89715179110848,56.2182388305664,11.8604149677876,6.75882178395591,50.8528279372939,0.0,115.414776658722,0.0,24.088,99.0924680813357,0.0,67.7317426757118,3.31172326946544,3.13390685087593,-0.119280616504753,0.20665555091621,56.2182388305664,3.3431774775412,6.70934166666667,50.2222726564236,10.2721165500366,45.0755114839303,3.0,14.186,1,Ethiopean_Eritrean_war v2
