Years,Age dependency ratio (% of working-age population),CPIA gender equality rating (1=low to 6=high),"Central government debt, total (% of GDP)","Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)","Literacy rate, adult total (% of people ages 15 and above)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),"Unemployment, male (% of male labor force) (national estimate)",Urban population (% of total population),Age dependency ratio (% of working-age population) 2,CPIA gender equality rating (1=low to 6=high) 2,"Central government debt, total (% of GDP) 2","Energy imports, net (% of energy use) 2",GDP growth (annual %) 2,GDP per capita growth (annual %) 2,"Inflation, GDP deflator (annual %) 2","Literacy rate, adult total (% of people ages 15 and above) 2",Military expenditure (% of GDP) 2,"Official exchange rate (LCU per US$, period average) 2","Population, female (% of total population) 2",Real interest rate (%) 2,Trade (% of GDP) 2,"Unemployment, male (% of male labor force) (national estimate) 2",Urban population (% of total population) 2,years before the war,War tracker
1972,60.0046495609534,0.0,0.0,51.9245416503608,4.32166756962231,3.96855607900957,7.18825188402374,65.6587829589844,5.1710477559332,0.400390461530008,51.3906902338671,0.29084168320383,41.569431627825,5.0,77.195,57.1902082085568,0.0,0.0,9.45419844939678,1.62841651825939,0.0320089147512164,64.2447859149364,78.7179489135742,1.82380952380952,4.999999999e-11,50.4570037187866,0.0,14.0356431972715,4.38,79.743,10,Falkland_Wars
1973,60.1523219717184,0.0,0.0,50.2386052165571,6.52384848717706,6.31824501880698,8.41487853048275,65.6587829589844,4.90616105746511,0.408170945299307,51.376100973591,-0.382676747053772,47.4304221696313,3.5,77.358,57.5076504015073,0.0,0.0,14.2269567324563,2.81175403849035,1.16290357603461,65.535287370144,78.7179489135742,1.84857142857143,4.999999999e-11,50.5091849977671,0.0,13.3221685115576,4.38,80.158,9,Falkland_Wars
1974,60.0780844346666,0.0,0.0,51.0947397569533,-2.48440405800613,-2.54587723829528,15.0592126445052,65.6587829589844,5.06942711490535,0.427756439747663,51.356633356781,-5.26616904917135,58.7204994159872,3.6,77.521,57.9132089064774,0.0,0.0,14.9553402347754,5.5338043957736,3.81225224716344,30.630441370412,78.7179489135742,1.65918367346939,4.999999999e-11,50.5580438367155,0.0,13.1915798576321,4.38,80.567,8,Falkland_Wars
1975,59.7493869660106,0.0,0.0,42.4374512847338,-1.47364945113077,-1.46633521127663,25.7707279671042,65.6587829589844,5.33960343915615,0.452041165666667,51.3377749917458,-12.1674069537389,52.7400836429526,5.4,77.683,58.3864821235626,0.0,0.0,14.7438301022275,-0.0284121037110907,-1.62320618621685,197.697364543187,78.7374267578125,2.04195804195804,3.65749999995e-10,50.5985887744841,0.0,11.8027242947756,4.38,80.969,7,Falkland_Wars
1976,59.1494463472092,0.0,0.0,37.734105309566,2.91026615928646,2.93558914391343,15.1135672667405,65.6587829589844,5.17550333681554,0.556509832333334,51.3294428308551,-3.48579004370741,57.4007925840093,7.0,77.844,58.9675879453518,0.0,0.0,16.5450567208518,-2.01825151683394,-3.53995334802055,438.322779739816,79.0867004394531,3.78129117259552,1.3998333333316702e-09,50.6314158477024,0.0,15.0968846242519,4.38,81.366,6,Falkland_Wars
1977,58.4049625622044,0.0,0.0,25.4960667645578,2.45775049016747,2.49143783243224,13.7104941413511,65.9490966796875,4.92327762103886,0.573271999,51.3344947699837,-4.22003924168985,58.9106533789518,7.3,78.005,59.6529069513677,0.0,0.0,14.3631993894218,6.93414775653342,5.25406554729264,159.42717769645,79.4894790649414,4.00860009555662,4.07633333332834e-09,50.6602175643264,0.0,16.942286567935,4.38,81.755,5,Falkland_Wars
1978,57.6622386445546,0.0,0.0,18.9459156127629,4.20426047029908,4.19867536784257,11.4575470335583,66.5720596313477,4.73304308586993,0.521504582333334,51.3392630891047,-2.12134314497915,54.9658489521189,7.0,78.164,60.3878298432888,0.0,0.0,12.8437011264304,-4.50612480201359,-6.0207877961285,161.372172004157,79.9269866943359,4.71914405808177,7.957499999995831e-09,50.6828797031183,0.0,14.3237963724369,4.38,82.139,4,Falkland_Wars
1979,56.9221498679676,0.0,0.0,11.0918246065138,3.74901664423379,3.65596579348365,14.066541267377,67.2337493896484,4.67975756747534,0.472181165666667,51.333564560999,-0.325891299861888,54.6416439532449,6.5,78.323,61.1212136531302,0.0,0.0,11.5558254911682,10.2227634638681,8.47665216535873,147.377044034473,80.3227233886719,4.67335625570135,1.31696666666408e-08,50.6995964364766,0.0,12.8406846411368,4.38,82.516,3,Falkland_Wars
1980,56.1772144491518,0.0,0.0,0.294089867435482,-2.03136780182236,-2.14838727777156,19.703794651774,67.8475494384766,5.01990345888742,0.430294999,51.330989687237,-2.83291881289615,51.2923400946947,8.3,78.481,61.8360931237676,0.0,0.0,7.16871495328276,1.51878394990179,-0.0856397028385061,95.7904246128352,94.0,3.09895833333333,1.83715833333225e-08,50.7138400825144,0.0,11.5456724606844,4.38,82.887,2,Falkland_Wars
1981,55.3658298056407,0.0,0.0,-7.79372452875784,-0.787743787095451,-0.822285198812807,11.5692627872042,68.4505310058594,4.98376336921746,0.497641332333334,51.341118879631,1.51093336164726,49.3737636806214,12.9,78.588,62.5270329198226,0.0,0.0,3.37339318668341,-5.18978914135593,-6.69655885721481,105.276366380064,81.0740585327148,3.46534653465347,4.40269166666725e-08,50.7280452448656,0.0,14.2929774788834,4.38,83.313,1,Falkland_Wars
1982,54.3987148364994,0.0,0.0,-15.8593309377611,1.99489123324395,2.03145560428536,7.41877494736352,69.0421371459961,5.38132652115477,0.572446832333333,51.352484904185,4.20056151405023,49.5961959065716,13.1,78.539,63.1125476534823,0.0,0.0,2.65154295803259,-0.735659159103619,-2.31535975378387,194.535299663443,81.4611129760742,2.70455793520044,2.59225333333263e-07,50.742509895067,0.0,15.6114860999886,4.38,83.759,0,Falkland_Wars
