Years,Age dependency ratio (% of working-age population),CPIA gender equality rating (1=low to 6=high),"Central government debt, total (% of GDP)","Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)","Literacy rate, adult total (% of people ages 15 and above)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),"Unemployment, male (% of male labor force) (national estimate)",Urban population (% of total population),Age dependency ratio (% of working-age population) 2,CPIA gender equality rating (1=low to 6=high) 2,"Central government debt, total (% of GDP) 2","Energy imports, net (% of energy use) 2",GDP growth (annual %) 2,GDP per capita growth (annual %) 2,"Inflation, GDP deflator (annual %) 2","Literacy rate, adult total (% of people ages 15 and above) 2",Military expenditure (% of GDP) 2,"Official exchange rate (LCU per US$, period average) 2","Population, female (% of total population) 2",Real interest rate (%) 2,Trade (% of GDP) 2,"Unemployment, male (% of male labor force) (national estimate) 2",Urban population (% of total population) 2,years before the war,War tracker
1980,105.089409794262,0.0,0.0,-1293.47735581382,24.7537268463936,20.8838349579151,13.2017518235783,44.5587387084961,5.51152466705124,1902.26533390822,50.24958813984,6.3162297490151,95.049680737063,5.09591802019037,65.521,50.3205679983998,0.0,39.128400199944,13.9313696085034,-0.256775732470302,-1.20932407292817,9.03310538792248,67.8475494384766,5.15353746651636,1.0,51.3316820721847,5.71636286358695,20.1098446894226,6.9,73.738,10,Gulf_War v2
1981,104.477819811268,0.0,0.0,-375.243353991193,-0.728727509463553,-3.66574052775007,-27.5225895161954,45.401180267334,10.8295344412937,1902.26533390822,50.3011912712362,6.3162297490151,93.9119935841507,5.09591802019037,66.183,50.0520528903637,0.0,39.128400199944,11.801346091942,2.53770126730302,1.53630241719003,9.46216408749201,68.4505310058594,5.64654125624258,1.0,51.3021412279737,8.59460069233457,19.4259131704272,7.4,73.89,9,Gulf_War v2
1982,103.869291186815,0.0,0.0,-410.190875359361,3.43397803057938,0.564164779692348,8.33422038348918,46.3260116577148,6.45651536923496,1922.92537384858,50.3707392474928,6.3162297490151,92.7894484337027,5.09591802019037,66.839,49.9439250729823,0.0,39.128400199944,9.04865570986495,-1.80301378770601,-2.73469491077486,6.17840414954172,69.0421371459961,6.81405709441284,1.0,51.2578846722031,8.17720821228698,17.5368122809184,9.9,74.042,8,Gulf_War v2
1983,103.141192769265,0.0,0.0,-312.689158353875,-13.0733124034891,-15.6181775930612,14.1916947086977,47.0912284851074,6.5857933891023,2002.38557942674,50.435239816519,6.3162297490151,57.552491878615,5.09591802019037,67.488,49.9232284077432,0.0,39.128400199944,12.7705810086971,4.58379098591793,3.63185804031656,3.91690878504356,69.6113204956055,6.32114425976717,1.0,51.2089672331993,6.61803546894282,16.6655934803103,9.9,74.194,7,Gulf_War v2
1984,102.278396525681,0.0,0.0,-380.1953092014,-1.48524169735188,-4.51053591606907,17.0293500697688,48.1296806335449,6.24009745953053,2002.38558318428,50.495064507693,6.3162297490151,55.3278491364795,5.09591802019037,68.132,49.8830003733776,0.0,39.128400199944,9.51353880131994,7.23645315874113,6.31198921610689,3.60787931289983,70.2723693847656,6.23641652963897,1.0,51.1580827437964,8.14090660192676,17.5224074224053,7.4,74.344,6,Gulf_War v2
1985,101.297094087741,0.0,0.0,-395.106607523107,1.45389626285959,-0.957028055065692,1.68904839225117,49.1833915710449,6.20453228089041,2002.38558586824,50.5510465504038,6.3162297490151,54.9614303414647,5.09591802019037,68.767,49.7654113331785,0.0,39.128400199944,11.5371937535261,4.1695753468006,3.25057626031526,3.16252525583639,70.8643569946289,6.4532192046686,1.0,51.1089087622716,6.56324383365547,16.603906126303,7.0,74.494,5,Gulf_War v2
1986,100.21555922585,0.0,0.0,-446.898401168023,4.64759057416617,2.10391665862136,-6.73151836015177,50.2383499145508,5.66393175153949,2002.38558586824,50.6036651158531,6.3162297490151,42.9388479388479,5.09591802019037,69.396,49.7054297393338,0.0,39.128400199944,12.0486465321885,3.46265505318908,2.51089496601867,2.01389253563396,71.4160385131836,6.62652265789842,1.0,51.0643291580197,6.19386958708484,16.8979771514343,6.9,74.644,4,Gulf_War v2
1987,99.0883369479069,0.0,0.0,-590.678010617661,9.3052813911243,6.34850985229411,9.89415935932439,51.269889831543,5.09691872374753,2002.38558586824,50.6521528990078,6.3162297490151,49.3494318181818,5.09591802019037,70.017,49.8926857604386,0.0,39.128400199944,13.8549791345335,3.45462966457823,2.5340423430043,2.47738846679574,72.1094207763672,6.42027402288488,1.0,51.0235149034866,5.58752028345538,17.9735809845702,6.2,74.793,3,Gulf_War v2
1988,97.9934288756408,0.0,0.0,-646.096552658036,-0.0190369368025927,-2.31190068127913,10.4312500000001,52.2937088012695,4.85215527798335,2002.38558586824,50.7120663313071,6.3162297490151,42.4995625816943,5.09591802019037,70.072,50.2833103997195,0.0,39.128400199944,15.668952653384,4.17698239778066,3.23533792848181,3.52749985937888,73.824089050293,6.0712777020948,1.0,50.9823280815196,5.59030223706963,19.0701007058615,5.5,74.942,2,Gulf_War v2
1989,96.8504904614268,0.0,0.0,-598.442275694331,-3.1185352147467,-5.66113678617484,8.40158927452173,53.3133583068848,3.92849763994444,2002.38558586824,50.7535902326943,6.3162297490151,44.83508837264,5.09591802019037,69.889,50.77464898173,0.0,39.128400199944,16.9955043022868,3.67223783573645,2.69776021537939,3.92075948089523,74.3468170166016,5.87120600804653,1.0,50.9426847513223,6.6902646662395,19.4151106604887,5.2,75.089,1,Gulf_War v2
1990,95.6739765579081,0.0,0.0,-450.516771854395,57.8178283456035,55.872942314425,73.645391038802,55.9071884155273,3.32618843918075,2002.38558586824,50.7652717339186,6.3162297490151,15.1262818163125,5.09591802019037,69.706,51.238482086274,0.0,40.933943570707,13.7096309133924,1.8859655853434,0.741486721211061,3.74332909937958,74.9069213867188,5.60517529438794,1.0,50.8809538075126,6.03974985349163,19.8150673537315,5.7,75.3,0,Gulf_War v2
