Years,Age dependency ratio (% of working-age population),CPIA gender equality rating (1=low to 6=high),"Central government debt, total (% of GDP)","Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)","Literacy rate, adult total (% of people ages 15 and above)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),"Unemployment, male (% of male labor force) (national estimate)",Urban population (% of total population),Age dependency ratio (% of working-age population) 2,CPIA gender equality rating (1=low to 6=high) 2,"Central government debt, total (% of GDP) 2","Energy imports, net (% of energy use) 2",GDP growth (annual %) 2,GDP per capita growth (annual %) 2,"Inflation, GDP deflator (annual %) 2","Literacy rate, adult total (% of people ages 15 and above) 2",Military expenditure (% of GDP) 2,"Official exchange rate (LCU per US$, period average) 2","Population, female (% of total population) 2",Real interest rate (%) 2,Trade (% of GDP) 2,"Unemployment, male (% of male labor force) (national estimate) 2",Urban population (% of total population) 2,years before the war,War tracker
1961,79.2466190568615,0.0,50.7832537948314,17.6358034865721,3.72274253311053,1.26664879370229,2.14542764709287,44.6124305725098,2.07435972060536,4.7619000037619,48.3955323753301,7.43584324824212,10.2611625948092,2.239,18.032,78.0687977339578,0.0,78.7725350870327,17.6358034865721,5.98734641929141,3.24971491199571,3.6464612869908,44.6124305725098,4.09789064099939,4.7619000037619,46.1195345105477,0.0,20.2314791209912,2.74,22.501,10,Indo-Pakistan_War_71
1962,80.3615159024236,0.0,50.7832537948314,19.0226303002477,2.93112773548363,0.518501925930877,4.40561672938829,44.6124305725098,2.74540043290043,4.7619000037619,48.3792946473907,7.43584324824212,10.2007901792472,2.239,18.218,78.6852973926361,0.0,78.7725350870327,19.0226303002477,4.48285862750326,1.80364067918669,0.15994817784113,44.6124305725098,3.65587277256179,4.7619000037619,46.1609538042594,0.0,21.0913520097442,2.74,22.751,9,Indo-Pakistan_War_71
1963,81.5177912967037,0.0,50.7832537948314,21.1404416220176,5.99435326188559,3.53649105320284,8.35362388701878,44.6124305725098,4.02530602636535,4.7619000037619,48.368537774031,7.43584324824212,10.1873378430933,2.239,18.405,79.6428670038074,0.0,78.7725350870327,21.1404416220176,8.68883151825786,5.84972077942716,-1.14926605359558,44.6124305725098,3.64841297523544,4.7619000037619,46.2049647329935,0.0,23.9887538545257,2.74,23.002,8,Indo-Pakistan_War_71
1964,82.2853750137233,0.0,50.7832537948314,21.9615081027033,7.45295012250209,4.96611887042545,8.55167696512851,44.6124305725098,3.81923698021801,4.7619000037619,48.359901384889,7.43584324824212,9.41054892008962,2.239,18.595,81.0257819209402,0.0,78.7725350870327,21.9615081027033,7.56975744902432,4.70640502795456,4.48844647762694,44.6124305725098,3.86589013064694,4.7619000037619,46.2549566929134,0.0,23.1259582022109,2.74,23.256,7,Indo-Pakistan_War_71
1965,82.5509385087176,0.0,50.7832537948314,23.6913398578209,-2.63577011020728,-4.80310349916745,8.30036940764349,44.6124305725098,3.87141491395794,4.7619000037619,48.3564497660154,7.43584324824212,8.51903436951768,2.239,18.785,82.5342747726101,0.0,78.7725350870327,23.6913398578209,10.4193658220408,7.43938016331487,3.16588265326953,44.6124305725098,5.90466788887322,4.7619000037619,46.3089962117458,0.0,24.0410837612892,2.74,23.511,6,Indo-Pakistan_War_71
1966,82.623126636811,0.0,50.7832537948314,24.5198133026893,-0.0553287704537979,-2.17104368610545,13.2707065585617,44.6124305725098,3.57237064592492,6.35912500535913,48.3596276614051,7.43584324824212,10.8142375112067,2.239,18.977,83.9055142087154,0.0,78.7725350870327,24.5198133026893,5.78995180142022,2.89355083090767,4.60065831014529,44.6124305725098,6.73052198508614,4.7619000037619,46.3647523139872,0.0,19.1940852643708,2.74,23.769,5,Indo-Pakistan_War_71
1967,82.5030296249276,0.0,50.7832537948314,24.6854043326338,7.82596303082235,5.53582268726483,8.61620471048464,44.6124305725098,3.22392372146778,7.5000000065,48.3601439584885,7.43584324824212,9.98106266810607,2.239,19.171,85.1359438007866,0.0,78.7725350870327,24.6854043326338,5.4006125972184,2.46831762839412,7.93964176578655,44.6124305725098,5.40460370194589,4.7619000037619,46.4243279986253,0.0,20.4945704157992,2.74,24.028,4,Indo-Pakistan_War_71
1968,82.3426324478197,0.0,50.7832537948314,26.6711270495099,3.38792917634143,1.19038521156524,2.41538358508238,44.6124305725098,3.24556858467412,7.5000000065,48.3656734274099,7.43584324824212,8.98174447557988,2.239,19.366,86.1974696183078,0.0,78.7725350870327,26.6711270495099,7.23322092498739,4.22116837059603,0.469288568160579,44.6124305725098,5.1039059949951,4.7619000037619,46.4864395594991,0.0,19.1325464800501,2.74,24.289,3,Indo-Pakistan_War_71
1969,82.2116927473581,0.0,50.7832537948314,29.3267848163251,6.53970029928357,4.31191269527491,3.34336433815,44.6124305725098,3.14081455805893,7.5000000065,48.3802225772442,7.43584324824212,7.744776643449,2.239,19.562,87.0696084228225,0.0,78.7725350870327,29.3267848163251,5.5078996342957,2.52926780271959,2.33557140665688,44.6124305725098,5.51204188481675,4.7619000037619,46.5496799495472,0.0,17.480471111756,2.74,24.552,2,Indo-Pakistan_War_71
1970,81.8831795123665,0.0,50.7832537948314,29.5000190919107,5.15722973718955,2.84864261828497,1.56224348305101,44.6124305725098,3.18518303985171,7.5000000065,48.3781085300861,7.43584324824212,7.66176933794548,2.239,19.76,87.7599428869068,0.0,78.7725350870327,29.5000190919107,11.3534617181927,8.19649203318036,3.70835302221934,44.6124305725098,6.15838762214984,4.7619000037619,46.6135298716633,0.0,17.9661158928609,2.74,24.817,1,Indo-Pakistan_War_71
1971,81.5721664288433,0.0,50.7832537948314,9.76203165088364,1.64293037527582,-0.584836098079052,5.32484105974427,44.6124305725098,3.65245352356247,7.49193523096824,48.377428933257,7.43584324824212,7.66960655842499,2.239,19.991,88.3123938670614,0.0,78.7725350870327,15.7445474820988,0.468372548493363,-2.26260815242058,5.87049050522882,44.6124305725098,6.73553323768532,4.76190000336508,46.7000205342461,0.0,18.202043669154,2.74,25.084,0,Indo-Pakistan_War_71
