Years,Age dependency ratio (% of working-age population),CPIA gender equality rating (1=low to 6=high),"Central government debt, total (% of GDP)","Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)","Literacy rate, adult total (% of people ages 15 and above)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),"Unemployment, male (% of male labor force) (national estimate)",Urban population (% of total population),Age dependency ratio (% of working-age population) 2,CPIA gender equality rating (1=low to 6=high) 2,"Central government debt, total (% of GDP) 2","Energy imports, net (% of energy use) 2",GDP growth (annual %) 2,GDP per capita growth (annual %) 2,"Inflation, GDP deflator (annual %) 2","Literacy rate, adult total (% of people ages 15 and above) 2",Military expenditure (% of GDP) 2,"Official exchange rate (LCU per US$, period average) 2","Population, female (% of total population) 2",Real interest rate (%) 2,Trade (% of GDP) 2,"Unemployment, male (% of male labor force) (national estimate) 2",Urban population (% of total population) 2,years before the war,War tracker
1970,92.5218611795693,0.0,0.0,29.5000190919107,10.9276016296551,7.61018311754719,1.55878076289126,39.6233100891113,5.85690329096248,75.75000007575,48.5726657311178,0.0,39.6670145482826,0.0,41.212,92.134239626389,0.0,0.0,29.5000190919107,4.54435706401779,0.976487994854551,4.35296904922554,39.6233100891113,11.1682261208577,0.357142999357143,50.5278251696607,6.3162297490151,57.5219728645789,5.09591802019037,56.154,10,Iran-Iraq_War
1971,91.7350019071933,0.0,0.0,-1337.5665861628,13.7015829939221,10.3545296661411,10.0290110109024,39.6233100891113,3.04701247800352,75.7500000694375,48.5701588494083,0.0,44.4280295106169,0.0,42.11,94.0330902193956,0.0,0.0,-2041.07848528227,5.37455253303425,1.7964969132364,10.6500350052637,39.6233100891113,10.516111033617,935.617835005274,50.4900122635783,6.3162297490151,66.6495901639344,5.09591802019037,57.214,9,Iran-Iraq_War
1972,90.7059557750523,0.0,0.0,-1538.46613595848,14.4990158486367,11.1956007999837,9.09944569497871,39.6233100891113,2.27537027764767,75.7499701345202,48.5675578077912,0.0,44.4534498683932,0.0,43.014,96.6101400980735,0.0,0.0,-1640.06331626458,3.73530378696596,0.230885930654551,-3.38209859381261,39.6233100891113,10.6410923728225,2144.56721419924,50.4502470383253,6.3162297490151,58.4081781672143,5.09591802019037,58.269,8,Iran-Iraq_War
1973,89.4535030005982,0.0,0.0,-1400.64650798334,7.44168161210865,4.34172024333226,33.6208998922457,40.100528717041,1.86470541876358,68.8860419482585,48.5657778786437,0.0,54.0978869207947,0.0,43.92,99.8484642894232,0.0,0.0,-2110.81967093313,4.41875556494567,0.881619183994914,8.75411481809741,40.100528717041,12.2583620265617,1950.84444829616,50.4112221453615,6.3162297490151,70.9362139917695,5.09591802019037,59.313,7,Iran-Iraq_War
1974,88.1524387242486,0.0,0.0,-1198.35632399991,5.80105084782075,2.71498847983625,58.3299552849175,40.5882797241211,8.75035024750824,67.641342246617,48.565078496422,0.0,71.4046881059517,0.0,44.832,102.669954316619,0.0,0.0,-1879.07763891473,16.1133673454638,12.2467344179827,88.3325533887105,40.5882797241211,12.494819419775,1902.26533390822,50.3869352493249,6.3162297490151,92.6137198976741,5.09591802019037,60.351,6,Iran-Iraq_War
1975,86.9721412219126,0.0,0.0,-969.619133558216,-0.326216240773419,-3.29408122979375,13.313723899842,41.1254196166992,12.0691929092555,67.6549455324406,48.5424876681705,0.0,76.115623426707,0.0,45.747,105.057551670559,0.0,0.0,-1790.70213639849,12.4906646751304,8.82780185892848,3.88439184209133,41.1254196166992,11.6746221161496,1902.26533390822,50.3754188453555,6.3162297490151,94.9022469365675,5.09591802019037,61.379,5,Iran-Iraq_War
1976,86.2535552141234,0.0,0.0,-933.969814852068,18.2604356281608,14.7493531427004,15.0082371809564,37.0,11.2479723346227,70.2390698610516,48.5207208107662,0.0,65.4350811254258,0.0,46.666,106.867174831118,0.0,0.0,-1537.49238096729,17.1751037344398,13.4026387339741,12.5858638209318,41.6848907470703,11.1631001695606,1902.26533390822,50.3507186788078,6.3162297490151,93.2824718672516,5.09591802019037,62.398,4,Iran-Iraq_War
1977,85.9390420241955,0.0,0.0,-785.969202666296,-2.77357769163498,-5.73884281725691,21.8878191407871,42.2836685180664,10.1898301489818,70.6337318788855,48.5152845221246,0.0,59.8880783648982,0.0,47.47,107.219534590459,0.0,0.0,-1428.76161438733,1.89995939450607,-1.43357241779491,9.6504266429434,42.2836685180664,9.81281342579567,1902.26533390822,50.3149205671603,6.3162297490151,97.0315113857499,5.09591802019037,63.404,3,Iran-Iraq_War
1978,85.8551156952198,0.0,0.0,-743.074430830312,-12.8408566742288,-15.6424031240761,10.8597474859574,42.9994010925293,11.1132050910914,70.4920309761581,48.5094838101504,0.0,45.6945656371976,0.0,48.21,106.572493302737,0.0,0.0,-1375.63880919452,17.0569646646714,13.1807917132737,2.32694858460147,42.9994010925293,8.11775941535523,1902.26533390822,50.2811613101023,6.3162297490151,88.3269203363261,5.09591802019037,64.178,2,Iran-Iraq_War
1979,86.1398248263411,0.0,0.0,-361.617806174747,-12.020760254792,-14.9936654787791,31.7304708879396,43.7254295349121,5.79724702809783,70.4920309761581,48.5166318876174,0.0,42.8058267760622,0.0,48.951,105.818243929897,0.0,0.0,-1572.76872141727,20.8692554328465,17.042202180484,31.6670092509863,43.7254295349121,6.14876787611163,1902.26533390822,50.2493628499011,6.3162297490151,93.6170212765958,5.09591802019037,64.852,1,Iran-Iraq_War
