Years,Age dependency ratio (% of working-age population),CPIA gender equality rating (1=low to 6=high),"Central government debt, total (% of GDP)","Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)","Literacy rate, adult total (% of people ages 15 and above)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),"Unemployment, male (% of male labor force) (national estimate)",Urban population (% of total population),Age dependency ratio (% of working-age population) 2,CPIA gender equality rating (1=low to 6=high) 2,"Central government debt, total (% of GDP) 2","Energy imports, net (% of energy use) 2",GDP growth (annual %) 2,GDP per capita growth (annual %) 2,"Inflation, GDP deflator (annual %) 2","Literacy rate, adult total (% of people ages 15 and above) 2",Military expenditure (% of GDP) 2,"Official exchange rate (LCU per US$, period average) 2","Population, female (% of total population) 2",Real interest rate (%) 2,Trade (% of GDP) 2,"Unemployment, male (% of male labor force) (national estimate) 2",Urban population (% of total population) 2,years before the war,War tracker
1982,60.6307134625797,4.0,6.38557579182856,52.9906543587657,0.355408287626815,-1.44709220543794,8.11308684183778,69.0421371459961,4.33618486728391,0.01084,51.7868699293762,6.30070170030242,37.0101626417409,0.07,53.018,54.2728147962453,4.5,35.5518633530173,52.9906543587657,0.355408287626815,-1.44709220543794,8.11308684183778,69.0421371459961,4.33618486728391,373.660466738817,52.2444125212131,10.6076357898925,37.0101626417409,1.3,66.467,10,Karabakh_War_1
1983,59.8920423029028,4.0,6.38557579182856,53.7497290859724,2.63226798050941,0.80476823596895,7.72549325901899,69.6113204956055,3.98202756307823,0.01084,51.7149562139161,6.30070170030242,36.1883956998526,0.07,53.139,54.054508049934,4.5,35.5518633530173,53.7497290859724,2.63226798050941,0.80476823596895,7.72549325901899,69.6113204956055,3.98202756307823,373.660466738817,52.2196344772851,10.6076357898925,36.1883956998526,1.3,66.675,9,Karabakh_War_1
1984,59.3446824533431,4.0,6.38557579182856,52.8293097215668,4.67566620794489,2.85020993288742,7.92323284822739,70.2723693847656,3.67284847374975,0.01084,51.7184561756359,6.30070170030242,37.4869240720243,0.07,53.299,54.0877702111514,4.5,35.5518633530173,52.8293097215668,4.67566620794489,2.85020993288742,7.92323284822739,70.2723693847656,3.67284847374975,373.660466738817,52.2105895804899,10.6076357898925,37.4869240720243,1.3,66.883,8,Karabakh_War_1
1985,58.8947368671808,4.0,6.38557579182856,52.9303834918167,3.70830649160479,1.89741656452563,5.52682014282678,70.8643569946289,3.58923040054929,0.01084,51.8032257941173,6.30070170030242,37.0460128069355,0.07,53.498,54.2115957465929,4.5,35.5518633530173,52.9303834918167,3.70830649160479,1.89741656452563,5.52682014282678,70.8643569946289,3.58923040054929,373.660466738817,52.2296738591696,10.6076357898925,37.0460128069355,1.3,67.09,7,Karabakh_War_1
1986,58.5393297104292,4.0,6.38557579182856,52.2237634911366,3.23360024124062,1.41528393904355,5.23941496295419,71.4160385131836,3.69161048474196,0.01084,51.8971614842263,6.30070170030242,34.577943605728,0.07,53.697,54.3557514827273,4.5,35.5518633530173,52.2237634911366,3.23360024124062,1.41528393904355,5.23941496295419,71.4160385131836,3.69161048474196,373.660466738817,52.2551571423022,10.6076357898925,34.577943605728,1.3,67.296,6,Karabakh_War_1
1987,58.2885083097812,4.0,6.38557579182856,52.7679775839019,3.75340885923701,1.90995138961141,7.17636851093515,72.1094207763672,3.80387078900199,0.01084,52.0011803389017,6.30070170030242,35.8495083701268,0.07,53.895,54.5646327968531,4.5,35.5518633530173,52.7679775839019,3.75340885923701,1.90995138961141,7.17636851093515,72.1094207763672,3.80387078900199,373.660466738817,52.2781596625527,10.6076357898925,35.8495083701268,1.3,67.501,5,Karabakh_War_1
1988,58.4666498837617,4.0,6.38557579182856,53.1477105545319,3.29509933908889,1.87214770388819,6.51341531670252,73.824089050293,3.56070432040323,0.01084,52.0207710163773,6.30070170030242,37.6786481068644,0.07,54.094,54.8419655474463,4.5,35.5518633530173,53.1477105545319,3.29509933908889,1.87214770388819,6.51341531670252,73.824089050293,3.56070432040323,373.660466738817,52.302432845274,10.6076357898925,37.6786481068644,1.3,67.706,4,Karabakh_War_1
1989,59.5157643696168,4.0,6.38557579182856,53.0549713682108,1.24212369565187,-0.10765347727019,7.14773882778444,93.2030715942383,3.45568007326008,0.01084,51.9636809329781,6.30070170030242,38.0552199299386,0.07,54.057,54.6633485910906,4.5,35.5518633530173,53.0549713682108,1.24212369565187,-0.10765347727019,7.14773882778444,99.0,3.45568007326008,373.660466738817,52.2555836310302,10.6076357898925,38.0552199299386,1.3,67.69,3,Karabakh_War_1
1990,60.7608042252363,4.0,6.38557579182856,8.32727246732362,2.75734405386603,1.53358020387439,7.9878494717877,93.4184188842773,3.32618843918075,0.01084,51.9200876881947,6.30070170030242,83.0832196452933,0.07,53.749,54.7782354435487,4.5,35.5518633530173,98.0705002296298,2.75734405386603,1.53358020387439,7.9878494717877,93.4184188842773,3.32618843918075,373.660466738817,52.1780048967844,10.6076357898925,81.3357185450209,1.3,67.421,2,Karabakh_War_1
1991,61.6403223780662,4.0,6.38557579182856,15.5904054068921,-0.700000175699572,-2.01238310352751,83.5495126683364,93.5675506591797,3.03643559357089,0.01084,51.8768966250806,6.30070170030242,86.8637724550898,0.07,53.441,55.6070325851032,4.5,35.5518633530173,98.1804916179142,-11.699998482027,-13.2111499901537,79.386104296155,93.5675506591797,3.03643559357089,373.660466738817,52.1393611911092,10.6076357898925,100.865855188857,1.3,67.15,1,Karabakh_War_1
1992,62.2755975821056,4.0,6.38557579182856,2.80620862500548,-22.6000003264444,-23.7612021557258,1065.32923018531,93.7180786132812,2.40022562120839,0.01084,51.8483670862488,6.30070170030242,140.799983402834,0.13,53.132,58.0371569902749,4.5,35.5518633530173,93.3084975367967,-41.8000027457562,-41.1137635319795,568.807295439343,93.7180786132812,2.20338983050847,373.660466738817,52.1651598424463,10.6076357898925,101.076759405526,1.3,66.878,0,Karabakh_War_1
