Years,Age dependency ratio (% of working-age population),CPIA gender equality rating (1=low to 6=high),"Central government debt, total (% of GDP)","Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)","Literacy rate, adult total (% of people ages 15 and above)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),"Unemployment, male (% of male labor force) (national estimate)",Urban population (% of total population),Age dependency ratio (% of working-age population) 2,CPIA gender equality rating (1=low to 6=high) 2,"Central government debt, total (% of GDP) 2","Energy imports, net (% of energy use) 2",GDP growth (annual %) 2,GDP per capita growth (annual %) 2,"Inflation, GDP deflator (annual %) 2","Literacy rate, adult total (% of people ages 15 and above) 2",Military expenditure (% of GDP) 2,"Official exchange rate (LCU per US$, period average) 2","Population, female (% of total population) 2",Real interest rate (%) 2,Trade (% of GDP) 2,"Unemployment, male (% of male labor force) (national estimate) 2",Urban population (% of total population) 2,years before the war,War tracker
2010,42.9172236658305,4.5,35.5518633530173,64.6512304078486,2.2000000002151,2.91158696816194,7.76871548067652,97.5481185913086,4.26564605593771,373.660466738817,54.0721195410016,10.6076357898925,64.642975973633,17.608,63.44,39.274311233566,4.0,6.38557579182856,-465.487298167864,5.04894451349574,3.80649102062563,13.5458167908374,100.0,2.79100435652891,0.80265,51.9298009697328,6.30070170030242,74.9859884610856,4.39,53.406,10,Karabakh_War_2 v2
2011,42.8588952887091,4.0,34.4524171149714,67.3442167531802,4.69999999867412,5.28437530828725,4.28154999826118,100.0,3.85394644115574,372.500882448711,54.1357267253019,12.9197578932998,69.4355736620453,17.606,63.34,38.7078975091925,4.1875,34.4524171149714,-377.332754618619,0.10000013782458,-1.19584296227708,22.524361140543,100.0,4.67013555547022,0.789686388888889,51.8554690665125,-2.88597938752249,80.5080450059522,4.43,53.637,9,Karabakh_War_2 v2
2012,43.1066653605776,4.5,33.0428291964759,72.706661599216,7.20000000096486,7.33470454115984,5.34580441814725,98.2156677246094,3.58376691873744,401.763975626916,54.1020493566013,11.2811932906832,75.9616759606704,16.495,63.24,38.81041962457,4.25,33.0428291964759,-328.956795544407,2.1652394748416,0.816684128241235,2.88293295403217,100.0,4.65861825196324,0.785645349462366,51.7777602392446,15.0296068894244,78.263069540422,4.32,53.883,8,Karabakh_War_2 v2
2013,43.5955735295585,4.5,29.4027674064532,72.0464797313162,3.3,3.37178358702843,3.36682464224465,98.3025207519531,3.99724455730484,409.625749270293,54.0660143068409,12.2168430436348,77.5550481598824,14.538,63.164,39.5493100261129,4.1875,29.4027674064532,-327.600377712539,5.80980084268208,4.45002009882025,0.445064509020867,100.0,4.54092330961466,0.784541075268817,51.6996375050779,17.6862204009871,74.6758447629851,4.04,54.145,7,Karabakh_War_2 v2
2014,44.220347328995,4.0,31.6921658414996,71.3413045219602,3.60000000058993,3.88187670110254,2.30918242990974,98.3676528930664,3.94337826474581,415.919789204938,54.0299108068581,13.7812486601176,75.778866962639,15.68,63.112,40.4458230491559,4.0,31.6921658414996,-310.384694389236,2.75050681535518,1.47593694077869,-1.28499552026639,100.0,4.55501312398224,0.7843475,51.6269001648611,19.3916777101463,69.4832251953347,4.02,54.422,6,Karabakh_War_2 v2
2015,45.0074829961521,4.1,32.157631595932,75.2078800411834,3.19999999896625,3.51599547257022,1.21390990471085,98.4249725341797,4.23922578573229,477.918306576099,53.9965568673175,16.1800096730379,71.6820743427575,17.364,63.085,41.3385630702997,4.1,32.157631595932,75.2078800411834,1.09397591627469,-0.103121364891479,-8.84969256895297,100.0,5.46487679293858,1.02456381855059,51.5607642894128,28.9454418522707,72.6015079073189,4.09,54.714,5,Karabakh_War_2 v2
2016,45.9130890185114,4.1,32.9886229899546,75.2078800411834,0.199999999825991,0.611877151180408,0.268575076501392,100.0,4.09034921699325,480.488150777966,53.9661270827109,17.0423595080455,76.0779674593548,17.735,63.082,42.2694499411257,4.1,32.9886229899546,75.2078800411834,-3.09999988037266,-4.17717168005237,14.6714002511137,100.0,3.68852730317814,1.59572157270424,51.4509605785238,1.48583383570765,90.0773187345677,4.2,55.021,4,Karabakh_War_2 v2
2017,46.8188831337656,4.1,32.2597861984491,75.2078800411834,7.50000000164144,7.96544606461424,2.15064189848613,100.0,3.84973057654684,482.716393849129,53.939449660253,11.9973399575166,87.202376539837,17.911,63.103,42.9697743409433,4.1,32.2597861984491,75.2078800411834,0.199999938958655,-0.778416126232784,16.1724003104411,100.0,3.75630173249661,1.72115480222734,51.3057569592403,0.318577982868449,90.4023156823216,4.1,55.343,3,Karabakh_War_2 v2
2018,47.4127303230816,4.1,31.5315297055636,75.2078800411834,5.19999999965324,5.56850117850011,2.78770951425761,98.6930389404297,4.11988615256896,482.987946590235,53.8890673942814,9.73397739946579,92.473107021212,7.672,63.149,43.1245500256305,4.1,31.5315297055636,75.2078800411834,1.49999999999999,0.624486167739661,12.1848769569655,98.6930389404297,3.56240123412697,1.70001666666667,51.1845622192109,4.691769977505,91.6725765369825,4.1,55.68,2,Karabakh_War_2 v2
2019,47.8107543362811,4.1,50.0284206863703,75.2078800411834,7.59999999853918,7.83608438672164,1.06562263923419,98.8225708007812,4.78770584078564,480.44512876712,53.8189073448367,10.9595785635957,96.1141541288708,8.27,63.219,43.2140002863056,4.1,33.6367296509753,75.2078800411834,2.50000006743734,1.63585048130741,-0.241307927446329,100.0,3.87341170306515,1.7,51.1129397975862,17.5649086189187,85.8181454084561,4.29,56.031,1,Karabakh_War_2 v2
