Years,Age dependency ratio (% of working-age population),CPIA gender equality rating (1=low to 6=high),"Central government debt, total (% of GDP)","Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)","Literacy rate, adult total (% of people ages 15 and above)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),"Unemployment, male (% of male labor force) (national estimate)",Urban population (% of total population),Age dependency ratio (% of working-age population) 2,CPIA gender equality rating (1=low to 6=high) 2,"Central government debt, total (% of GDP) 2","Energy imports, net (% of energy use) 2",GDP growth (annual %) 2,GDP per capita growth (annual %) 2,"Inflation, GDP deflator (annual %) 2","Literacy rate, adult total (% of people ages 15 and above) 2",Military expenditure (% of GDP) 2,"Official exchange rate (LCU per US$, period average) 2","Population, female (% of total population) 2",Real interest rate (%) 2,Trade (% of GDP) 2,"Unemployment, male (% of male labor force) (national estimate) 2",Urban population (% of total population) 2,years before the war,War tracker
1989,74.7462897436702,0.0,50.7832537948314,7.61527291287209,5.94734333181324,3.6060240805828,8.43680886909797,44.6124305725098,3.53417972767288,16.2255,48.3125665494911,7.43584324824212,15.1681320906695,2.239,25.305,90.0358993217998,0.0,78.7725350870327,19.3032789582728,4.95976889440439,1.58506250480809,8.58504801719344,44.6124305725098,6.53272525576236,20.5414916666667,48.0294588508616,0.0,34.4216591208777,2.74,30.327,10,Kargil_war
1990,74.2102460090207,0.0,50.7832537948314,8.25988779306431,5.53345456125301,3.22351634312818,10.6683038500875,45.3592109680176,3.14621461029962,17.5035,48.3195450504531,5.26952699827423,15.5062615101965,2.239,25.547,90.3524722641165,0.0,78.7725350870327,20.3315100903851,4.45858681510218,1.02421181151411,6.45199916790979,45.3592109680176,6.52232023523122,21.707375,48.0524921162631,0.0,35.034575900498,2.81,30.576,9,Kargil_war
1991,73.6394717785432,0.0,50.0100803583574,8.79744283202606,1.05683143496063,-1.11028105297254,13.7518189408817,48.0,2.90997432764267,22.7424333333333,48.3240491642076,3.62471659575062,16.9877265511351,2.239,25.778,90.6055379024562,0.0,76.0908289241623,17.7726860431385,5.06156775897861,1.64455814439934,13.4924162537224,46.0856399536133,6.57095278815428,23.8007666666667,48.0736896725137,0.0,35.4196551048403,4.19,30.826,8,Kargil_war
1992,73.0414337152497,0.0,49.6809013594637,11.0455206943752,5.48239602040357,3.25939544010092,8.96515236173758,47.0863304138184,2.70483970561409,25.9180833333333,48.3258634876185,9.1327494058766,18.433099041828,2.239,25.984,91.3237120318044,0.0,74.5285767943305,19.4922649974126,7.70589781716029,4.66648101392903,10.2014077626019,47.0863304138184,6.69818754925138,25.0827916666667,48.1481421525218,0.0,37.6945397210631,3.79,31.077,7,Kargil_war
1993,72.42005748992,0.0,51.7598082886747,11.9849932269031,4.75077621776924,2.57408951744785,9.8617828547541,48.0814590454102,2.82354224568723,30.4932916666667,48.3251933029723,5.81477651213036,19.6515397864684,2.239,26.191,91.9353108787057,0.0,78.910190522119,20.8729951631991,1.7577476978468,-1.02474092628785,8.83855312769657,48.0814590454102,6.42731262310377,28.1071833333333,48.213138933049,0.0,38.4993168752315,3.36,31.329,6,Kargil_war
1994,71.767235521839,0.0,49.5942827047274,12.1973688528248,6.65892407028434,4.50057521481919,9.98004476893246,48.8493804931641,2.66467372708604,31.3737425,48.3209853530199,4.33710973757939,20.0781443769255,2.239,26.399,92.1153641235323,0.0,51.3744969469253,22.8984633773058,3.73741555767747,0.779593544127223,13.0284160490462,48.8493804931641,5.92354829296761,30.5665916666667,48.2463765969985,0.0,35.0577237131595,3.41,31.582,5,Kargil_war
1995,71.0333210055779,0.0,47.4916413028303,13.0550774850558,7.57449183788519,5.4307028028752,9.06270222432151,49.6404914855957,2.57848357246069,32.4270766666667,48.3136352812296,5.86417810908186,22.8674487062499,2.239,26.607,92.0050933998263,0.0,49.3635520962941,23.3352809848051,4.96260914623281,1.97228554754696,13.0064844675074,49.6404914855957,5.82022528285793,31.6426833333333,48.2790409222827,0.0,36.132753673519,3.71,31.836,4,Kargil_war
1996,70.2088855735137,0.0,45.7233077028079,14.25698889967,7.54952224920051,5.42226141059896,7.57501828948823,50.4491996765137,2.4727682254674,35.4331733333333,48.3049420078195,7.79299430029867,21.9294878713867,2.239,26.817,91.5013917796717,0.0,47.5900259577279,25.4906678650192,4.84658128681654,1.83880828653224,8.37360999459469,50.4491996765137,6.03716630506556,36.0786833333333,48.3004507629245,0.0,38.3301268339895,3.61,32.092,3,Kargil_war
1997,69.3432839707025,0.0,50.3654361276153,14.934121714559,4.04982084998183,2.02374489021264,6.4762712593954,51.2601699829102,2.64773242601716,36.3132858333333,48.295866214558,6.90957899531884,22.6193868670479,2.239,27.028,90.7652198383735,0.0,51.7133623221527,27.0232844508678,1.01439601077892,-1.80254112696187,13.3835146386713,51.2601699829102,5.6212164889017,41.111525,48.3218138458417,0.0,36.8522661008964,3.91,32.348,2,Kargil_war
1998,68.4423001360828,0.0,50.3192181735145,17.2303762553765,6.18441582172117,4.14849485733681,8.01016752456401,56.0795593261719,2.72731141679376,41.259365,48.2867135290433,5.1212763287722,23.6994700790647,2.239,27.24,89.8748985312392,0.0,79.0846919843326,26.6787144717906,2.55023429817393,-0.242732275330027,7.52603689563375,43.0,5.4150950442544,45.0466666666667,48.3452839101222,0.0,34.011725180531,4.09,32.585,1,Kargil_war
1999,67.5027186489675,0.0,51.3529514384148,20.0624132223184,8.84575555939531,6.79504192468139,3.06839552293496,56.8763084411621,2.95719564743412,43.0554283333334,48.2782879115501,9.19124732238965,24.8155980442929,2.239,27.453,88.9480257631773,0.0,53.0238082183941,27.6967489596416,3.66013273943236,0.876623662652293,5.8622861838065,56.8763084411621,5.18989926490607,49.5006915833333,48.3662538940393,0.0,32.3199628094266,3.85,32.783,0,Kargil_war
