Years,Age dependency ratio (% of working-age population),CPIA gender equality rating (1=low to 6=high),"Central government debt, total (% of GDP)","Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)","Literacy rate, adult total (% of people ages 15 and above)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),"Unemployment, male (% of male labor force) (national estimate)",Urban population (% of total population),Age dependency ratio (% of working-age population) 2,CPIA gender equality rating (1=low to 6=high) 2,"Central government debt, total (% of GDP) 2","Energy imports, net (% of energy use) 2",GDP growth (annual %) 2,GDP per capita growth (annual %) 2,"Inflation, GDP deflator (annual %) 2","Literacy rate, adult total (% of people ages 15 and above) 2",Military expenditure (% of GDP) 2,"Official exchange rate (LCU per US$, period average) 2","Population, female (% of total population) 2",Real interest rate (%) 2,Trade (% of GDP) 2,"Unemployment, male (% of male labor force) (national estimate) 2",Urban population (% of total population) 2,years before the war,War tracker
1967,92.8444310468024,0.0,0.0,24.6854043326338,5.94094361661151,3.19834611987686,-0.324413640168828,5.40465021133423,0.387944358578053,7.14286000614286,50.1689662519076,-7.18833403932435,35.9037764121572,0.0,21.02,84.9297451382299,0.0,47.1758923635809,24.6854043326338,4.06158788001318,1.35005724435358,1.77294449289032,65.6587829589844,2.48622496976213,2.5000000015,51.0267648951167,2.80731501368175,25.3439085125294,3.0,8.1,10,Ogaden_War v2
1968,92.5123733489084,0.0,0.0,26.6711270495099,2.02997732483745,-0.618246885652965,3.39737536562656,5.40465021133423,0.4072265625,7.14286000614286,50.1598013416264,-7.18833403932435,36.4111234375,0.0,21.563,86.1750552048182,0.0,47.1758923635809,26.6711270495099,4.14218784379459,1.30452908796789,2.19274237060215,65.6587829589844,2.1956163689345,2.5000000015,51.0356318814728,2.80731501368175,25.3439085125294,3.0,8.26,9,Ogaden_War v2
1969,92.2295954219874,0.0,0.0,29.3267848163251,-1.69956971733315,-4.24886383708844,6.5223846924134,5.40465021133423,0.41958041958042,7.14286000614286,50.1507271596719,-7.18833403932435,39.6409236074627,0.0,22.115,87.3884981660236,0.0,47.1758923635809,29.3267848163251,1.38865740774854,-1.36262412612152,4.24105256872156,65.6587829589844,2.02066455324645,2.5000000015,51.0438129811835,2.80731501368175,25.3439085125294,3.0,8.422,8,Ogaden_War v2
1970,91.9950512490512,0.0,0.0,29.5000190919107,4.58140792145115,1.85576339783846,8.61212740387214,5.40465021133423,0.496014171833481,7.14286000614286,50.1417833973394,-7.18833403932435,26.1915794035625,0.0,22.678,88.6118518916132,0.0,47.1758923635809,29.5000190919107,3.48272874063258,0.669468375168478,6.2793772639692,65.6587829589844,1.88310980263875,2.5000000015,51.0508881198146,2.80731501368175,25.3439085125294,3.0,8.588,7,Ogaden_War v2
1971,91.8070599477811,0.0,0.0,-45.6442670155033,2.13836477986753,-0.502941603540719,-0.566535421885661,5.40465021133423,0.483050847457627,7.12855833888096,50.1329054371496,-7.18833403932435,31.6505479797009,0.0,23.251,89.9573069229017,0.0,47.1758923635809,3.44400158294332,6.5264761637235,3.65482353629076,-0.869609635257675,65.6587829589844,1.90607150412524,2.49347500129167,51.0564331474855,2.80731501368175,25.3795158345828,3.0,8.756,6,Ogaden_War v2
1972,91.664420531074,0.0,0.0,-54.48266794988,14.8809523809569,11.9138874254657,10.0018870467418,5.40465021133423,0.45360824742268,6.980124999,50.1240152458411,-7.18833403932435,33.7781079359666,0.0,23.835,91.3026375824599,0.0,47.1758923635809,3.08167992778137,4.22715958999223,1.47906696670449,-3.37743356623034,65.6587829589844,1.93641025641026,2.299999999,51.0611818207072,2.80731501368175,25.5245925629191,3.0,8.928,5,Ogaden_War v2
1973,91.5679805817795,0.0,0.0,-60.8476831993856,-12.1493657316415,-14.4545591202461,10.6281141882513,20.46818339824677,0.505494505494506,6.281499999,50.1151376609406,-7.18833403932435,42.7533432203542,0.0,24.427,92.4075678763378,0.0,47.1758923635809,3.16631449005577,5.10986950748801,2.34969399999414,0.38306367133751,65.6587829589844,1.92555408221254,2.098749999,51.0661212323421,2.80731501368175,28.5429697000338,3.0,9.102,4,Ogaden_War v2
1974,91.4198945029694,0.0,0.0,-67.3191636993505,0.752491356521674,-1.82587077927987,17.7278983638143,35.53171658515932,0.72714916751614,6.294999999,50.1073378738069,-7.18833403932435,46.9212235729872,0.0,25.03,93.1282578838801,0.0,47.1758923635809,3.07311099425372,3.27365832432483,0.636585361810376,7.39299890729632,65.6587829589844,2.79458239277652,2.069999999,51.0722488033023,2.80731501368175,33.1861732544812,3.0,9.279,3,Ogaden_War v2
1975,91.2331709455532,0.0,0.0,-51.1230418313164,14.6951958013711,11.8478958191433,15.2872312897992,50.59524977207186,0.516201117318436,6.294999999,50.1004806535987,-7.18833403932435,36.9453606849877,0.0,25.498,93.6669700593597,0.0,47.1758923635809,2.67518135670391,1.24613171483632,-1.19852341461882,-1.2342925267514,65.6587829589844,4.49206211503427,2.069999999,51.0808112900654,2.80731501368175,31.4657023475941,3.0,9.46,2,Ogaden_War v2
1976,91.1125362236366,0.0,0.0,-58.9288655698999,-1.8479408658945,-4.28222124875651,17.2695781685296,65.6587829589844,0.517512790240063,6.294999999,50.093430500443,-8.75723979647227,31.3867751247566,0.0,25.748,94.3617418994778,0.0,47.1758923635809,2.65715450338483,0.148810316081565,-2.34815489377266,7.85249113974946,65.6587829589844,4.13172252533126,2.069999999,51.0921603085078,2.80731501368175,32.2982086258237,3.0,9.644,1,Ogaden_War v2
