Years,Age dependency ratio (% of working-age population),CPIA gender equality rating (1=low to 6=high),"Central government debt, total (% of GDP)","Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)","Literacy rate, adult total (% of people ages 15 and above)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),"Unemployment, male (% of male labor force) (national estimate)",Urban population (% of total population),Age dependency ratio (% of working-age population) 2,CPIA gender equality rating (1=low to 6=high) 2,"Central government debt, total (% of GDP) 2","Energy imports, net (% of energy use) 2",GDP growth (annual %) 2,GDP per capita growth (annual %) 2,"Inflation, GDP deflator (annual %) 2","Literacy rate, adult total (% of people ages 15 and above) 2",Military expenditure (% of GDP) 2,"Official exchange rate (LCU per US$, period average) 2","Population, female (% of total population) 2",Real interest rate (%) 2,Trade (% of GDP) 2,"Unemployment, male (% of male labor force) (national estimate) 2",Urban population (% of total population) 2,years before the war,War tracker
1998,46.8046745891395,4.1,143.948999533393,-59.8347980434592,-5.2999616266239,-5.14311536211871,18.5389673419024,94.7251129150391,2.73264908865687,9.70508333333333,53.1720937827629,19.6160805566126,55.7722532849766,13.539,73.359,54.8723808578403,4.5,56.9064733876267,54.717476511074,3.10150969616576,5.68429106346969,6.94032134027844,94.7251129150391,1.13697395615685,1.38981666666667,54.0730797729507,19.6559499381247,53.5666693215985,15.27,53.12,10,Russo-Georgian_war
1999,45.0653585397066,4.1,100.744137724205,-57.982716992781,6.39991469144101,6.72950292335021,72.3866054661464,94.8853378295898,3.07328792235108,24.6199,53.1992575703991,-18.9515529417948,69.393281498812,13.167,73.354,54.1958853817776,4.5,60.7776033305696,52.3467491815003,2.86729567454968,5.00558453773334,9.72884175944706,94.8853378295898,0.924374855931971,2.02451666666667,54.1921225572501,19.6559499381247,57.1518743274472,15.32,52.879,9,Russo-Georgian_war
2000,43.5652823296039,4.1,62.1488888669576,-57.926226448823,10.0000668136515,10.4637091559227,37.6979282123097,95.1163787841797,3.30702983667541,28.1291666666667,53.2454702729898,-9.63311144269678,68.0939070373555,10.78,73.35,53.3929528793645,4.5,58.5196339627013,53.8413253189254,1.84038117927339,3.84018024327052,4.67821081510431,95.1163787841797,0.615582490752135,1.97616666666667,54.3264443467939,19.6559499381247,62.6613956413099,11.1,52.638,8,Russo-Georgian_war
2001,42.3668405184076,4.1,48.9836153351704,-61.0565567408374,5.10005122572568,5.54671833932643,16.4796193570037,95.2725219726562,3.54631922908818,29.168525,53.3123822640996,1.22657850722426,61.1108586644206,9.335,73.346,52.6532541516572,4.5,56.0323643991609,50.8049694834439,4.80729867243699,6.44578529290918,5.37434640155622,95.2725219726562,0.740186005258763,2.07301666666667,54.4481280566776,19.6559499381247,63.3299250824094,11.63,52.398,7,Russo-Georgian_war
2002,41.5231777036921,4.1,41.3527168644107,-67.9152134003805,4.69999190914258,5.18275023824988,15.6619063054593,99.0,3.75627739108018,31.3484833333333,53.3848772950435,0.0329353853463892,59.6454457319607,8.139,73.341,52.0905345263517,4.5,55.4493025751073,47.8061777424695,5.47402488700408,6.42465284351501,5.91907467017472,100.0,1.00053299706695,2.195675,54.5116024192763,19.6559499381247,71.6291255364807,14.01,52.441,6,Russo-Georgian_war
2003,41.1118911605145,4.1,33.1221007255399,-73.4721624068744,7.29995234528189,7.78796752390349,13.6571368113275,95.5682220458984,3.67083808960104,30.692025,53.4558994550059,-0.60017068040332,59.1282690076014,8.458,73.373,51.8912336913573,4.5,45.5074088345535,49.1530661430502,11.0570310020104,11.8096106867876,3.42601021010252,95.5682220458984,1.06848912472203,2.14565,54.4547475892697,19.6559499381247,77.6333765369391,11.48,52.83,5,Russo-Georgian_war
2004,40.933146045048,4.1,24.8914845866691,-81.0826340821091,7.19994786954857,7.63249118230908,20.2551495775111,95.687141418457,3.30035364660483,28.8137416666667,53.5348099402358,-7.32898586198476,56.5818523984055,8.001,73.418,51.6511823672057,4.5,36.9156072188349,53.7159450229167,5.79268292682926,6.44984993877193,8.4336944783275,95.687141418457,1.37383897186186,1.91665,54.3228881728707,12.5915017351008,79.0407459055607,13.4,53.218,4,Russo-Georgian_war
2005,40.7583002208105,4.1,16.6608684477983,-84.6287038991353,6.39996544799469,6.80660765259209,19.279432134411,95.970329284668,3.33123723441659,28.2844416666667,53.6170363322882,-7.20668991062193,56.7132484905422,7.308,73.463,51.1318422314324,4.5,29.2292335361289,65.5054053254813,9.59113832853026,10.2895785214873,7.93510297063291,95.970329284668,3.33916979671741,1.812675,54.2053152269511,8.90886137260652,84.5295975354749,14.8,53.605,3,Russo-Georgian_war
2006,40.542928781967,4.1,9.89107286046746,-82.9504252591884,8.20006825456321,8.55494147469737,15.1204066316764,95.8777770996094,3.24635723405838,27.1909583333333,53.684633849406,-4.07869184018714,54.733401867266,7.415,73.508,50.5376973981808,4.5,23.090087672862,69.4049372062522,9.42148081189909,10.0452966712851,8.44730526034763,95.8777770996094,5.21830695097827,1.78043333333333,54.1060618912468,7.942062785524,89.125374368197,15.23,53.992,2,Russo-Georgian_war
2007,40.2034276919991,4.3125,7.15843011658404,-84.232474302143,8.49997776916511,8.68576548155966,13.8412392398238,96.0478134155273,3.1185420747754,25.5808453675404,53.7221832228225,-3.34492661176019,51.7061227454606,6.352,73.553,49.7798016624101,4.5,19.2040626581459,67.8866916567529,12.5755698246405,13.1643509520424,9.46750810327333,96.0478134155273,9.15911651704757,1.67049166666667,54.0188008384941,6.95969854014203,88.3934140686603,13.93,54.379,1,Russo-Georgian_war
