Years,Age dependency ratio (% of working-age population),CPIA gender equality rating (1=low to 6=high),"Central government debt, total (% of GDP)","Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)","Literacy rate, adult total (% of people ages 15 and above)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),"Unemployment, male (% of male labor force) (national estimate)",Urban population (% of total population),Age dependency ratio (% of working-age population) 2,CPIA gender equality rating (1=low to 6=high) 2,"Central government debt, total (% of GDP) 2","Energy imports, net (% of energy use) 2",GDP growth (annual %) 2,GDP per capita growth (annual %) 2,"Inflation, GDP deflator (annual %) 2","Literacy rate, adult total (% of people ages 15 and above) 2",Military expenditure (% of GDP) 2,"Official exchange rate (LCU per US$, period average) 2","Population, female (% of total population) 2",Real interest rate (%) 2,Trade (% of GDP) 2,"Unemployment, male (% of male labor force) (national estimate) 2",Urban population (% of total population) 2,years before the war,War tracker
2012,39.7122076623378,4.25,8.55140859340356,-77.8561096295228,4.02408615746921,3.76271915500016,8.90786842087834,98.2156677246094,3.68924043459907,30.8398313519917,53.7026009683707,0.176416618842598,47.1513903857957,5.83,73.791,40.8345526687369,4.25,32.445911715199,30.2962533465636,0.152314967200653,0.399970155574351,7.98256111045039,99.9743499755859,1.61331991729012,7.99102933333333,53.4815062764693,9.64012656225921,102.622788356626,8.33017258540553,68.782,10,Russo-Ukrainian_War
2013,40.7840417932466,4.1875,9.06725564048848,-83.8412398490403,1.75542214874298,1.45314767875932,5.32013887237915,98.3025207519531,3.85404258314373,31.8371436402813,53.6756500059607,3.93707019254129,46.287149400499,5.818,73.863,41.3166740567217,4.1875,35.6313995863809,25.669858000735,0.045439094492707,0.273496006330021,4.30879343709354,98.3025207519531,1.57929167934982,7.993,53.4530393837036,11.8306483626893,94.0016694501782,8.04,68.875,9,Russo-Ukrainian_War
2014,42.1236258137655,4.0,11.2004612827286,-83.6705407206797,0.736267221765672,-1.12194041744186,7.49007111696609,98.3676528930664,4.11299297822323,38.3782071444168,53.6540129197431,3.39714683575481,47.8013412628116,5.532,73.95,42.0954905825425,4.0,63.6653191884884,27.2085082165267,-10.0788949856211,-4.87524996257295,15.9017375254406,98.3676528930664,2.24502052094788,11.8866594166667,53.4403635400212,1.56710691315341,100.691782483624,10.85,68.968,8,Russo-Ukrainian_War
2015,43.6560400391556,4.1,13.5407657768558,75.2078800411834,-1.97271922580408,-2.2762114110788,7.24973590678889,98.4249725341797,4.87151474680202,60.9376501088951,53.6368781936385,7.89459357479114,49.3593493116887,5.862,74.05,43.3341607506951,4.1,70.2588376218982,75.2078800411834,-9.77298721103519,-9.44383219053168,38.8816797571771,98.4249725341797,3.25118076341283,21.8446977666667,53.429554584988,-12.2829289797878,107.806616298156,10.1,69.061,7,Russo-Ukrainian_War
2016,45.0865219275749,4.1,14.2417395793548,75.2078800411834,0.193690071260534,-0.0904862004782103,2.84422269802643,98.5269012451172,5.42514770504505,67.0559333333333,53.6148756953332,9.48435447263491,46.5181198396096,5.788,74.164,44.485957567843,4.1,71.8095454494004,75.2078800411834,2.4409819445784,2.85480260756702,17.097134924235,98.5269012451172,3.15477660251022,25.5513341166667,53.4139854341485,1.82756968718009,105.521204913122,10.83,69.154,6,Russo-Ukrainian_War
2017,46.4109081650047,4.1,16.3253741158845,75.2078800411834,1.82579006401834,1.61387325924203,5.34981508767618,98.6416091918945,4.24899605173948,58.3428011851719,53.5901596696156,4.94560423099718,46.8765243371311,5.395,74.292,45.6557777135064,4.1,66.7346465062875,75.2078800411834,2.35997228099491,2.81064547083641,22.0983174978017,98.6416091918945,2.88440151897159,26.5966063,53.3999584162714,-4.68048423181966,104.034982911399,11.1,69.246,5,Russo-Ukrainian_War
2018,47.5290734735912,4.1,16.1685789853238,75.2078800411834,2.80724541059601,2.71659271660542,9.99797671148308,98.6930389404297,3.71982243956434,62.6681333333334,53.5707487006859,-1.02848259453331,51.5809003703964,4.938,74.433,46.557661136037,4.1,56.9059506749708,75.2078800411834,3.4883623420827,4.01638177635452,15.3985303493458,98.6930389404297,3.19235326531891,27.2004923333333,53.3927850410713,3.12512181891459,99.1998150718675,10.042,69.352,4,Russo-Ukrainian_War
2019,48.5943754955694,4.1,17.2760484379376,75.2078800411834,2.19807571335009,2.14202624717367,3.26313281881684,98.8225708007812,3.86033750437073,64.7376583333333,53.56393962302,5.31670923072754,49.2287536619033,4.661,74.587,47.2491268952806,4.1,48.3272696003568,75.2078800411834,3.19950386231294,3.79372391176472,8.24622626771318,98.8225708007812,3.52015241588676,25.8455893333333,53.3934280714893,10.693658767366,90.5112342910763,8.503,69.473,3,Russo-Ukrainian_War
2020,49.5678005245706,4.125,22.992021036968,75.2078800411834,-2.65365450102773,-2.52680431743222,0.898246027195242,98.8650970458984,4.17147890118067,72.1049083333333,53.55968968725,5.8252621205664,45.9669082029127,5.664,74.754,47.8846379680524,4.125,58.7161850732326,75.2078800411834,-3.7528179386597,-3.10165858921107,10.2949601365333,98.8650970458984,3.81184948136676,26.9575243833333,53.4002898924785,3.62431779160013,79.1564523761815,9.843,69.608,2,Russo-Ukrainian_War
2021,50.271723309629,4.125,20.8666992191571,75.2078800411834,5.61429037578345,5.96554013311996,19.4115890615904,100.0,3.7204513646667,73.65435,53.5457361902541,-10.2423105030022,50.196441103259,4.669,74.934,48.2195987327939,4.125,38.9283125524118,75.2078800411834,3.44562065700251,4.36448461386128,24.8047567705188,100.0,3.22834693677077,27.2861893833333,53.3979688766969,-9.2245269612232,82.69796136345,9.548,69.757,1,Russo-Ukrainian_War
