Years,Age dependency ratio (% of working-age population),CPIA gender equality rating (1=low to 6=high),"Central government debt, total (% of GDP)","Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)","Literacy rate, adult total (% of people ages 15 and above)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),"Unemployment, male (% of male labor force) (national estimate)",Urban population (% of total population),Age dependency ratio (% of working-age population) 2,CPIA gender equality rating (1=low to 6=high) 2,"Central government debt, total (% of GDP) 2","Energy imports, net (% of energy use) 2",GDP growth (annual %) 2,GDP per capita growth (annual %) 2,"Inflation, GDP deflator (annual %) 2","Literacy rate, adult total (% of people ages 15 and above) 2",Military expenditure (% of GDP) 2,"Official exchange rate (LCU per US$, period average) 2","Population, female (% of total population) 2",Real interest rate (%) 2,Trade (% of GDP) 2,"Unemployment, male (% of male labor force) (national estimate) 2",Urban population (% of total population) 2,years before the war,War tracker
1969,94.1852512004364,0.0,0.0,29.3267848163251,11.3845160873323,8.41559444248348,4.10566063066081,63.6941986083984,5.36918961370236,0.0,50.7737673283312,0.0,9.42170413439605,0.0,17.911,80.6284765918746,0.0,0.0,29.3267848163251,16.9399999960612,13.7793403435186,-3.7925287173275,63.6941986083984,5.36918961370236,2.46180889882528,49.0592511436016,0.0,4.95019078330445,0.0,17.528,10,Sino-Vietnamese_War v2
1970,93.2914108064935,0.0,0.0,29.5000190919107,13.4416904941666,10.4204173067411,4.72201383000848,63.6941986083984,4.97131726066181,0.0,50.816527137198,0.0,9.6912291395322,0.0,18.3,80.1831695798608,0.0,0.0,29.5000190919107,19.2999999967024,16.0503992929068,-2.61457045011514,63.6941986083984,4.97131726066181,2.46180889882528,49.0617537510678,0.0,4.83331819362197,0.0,17.4,9,Sino-Vietnamese_War v2
1971,92.4350911486962,0.0,0.0,24.4812877580099,6.77391445633133,3.95669510148244,3.41352952874581,63.6941986083984,4.49267364520683,0.0,50.8553408543411,0.0,9.79934946387211,0.0,18.396,79.8351128568737,0.0,0.0,-0.79060731111779,7.0599999985365,4.15917620130948,0.665937402347524,63.6941986083984,4.49267364520683,2.46180889882528,49.061718489235,0.0,4.95342042818186,0.0,17.292,8,Sino-Vietnamese_War v2
1972,91.2195058375903,0.0,0.0,27.9910746668249,4.90360784355259,2.3571354881029,6.82337121748282,63.6941986083984,4.22720974134367,0.0,50.9078863562874,0.0,10.6619406102623,0.0,18.492,79.1204499176226,0.0,0.0,-0.819155750174265,3.81000000021972,1.29010597100425,0.0741856162067052,63.6941986083984,4.22720974134367,2.24506644860066,49.0606731041953,0.0,5.67657602335057,0.0,17.184,7,Sino-Vietnamese_War v2
1973,89.8803425176672,0.0,0.0,25.7300371926796,8.26656664151176,5.78750177243337,15.9974512046132,63.6941986083984,3.8048531902293,0.0,50.9604601320518,0.0,13.2024248414277,0.0,18.588,78.4685123883968,0.0,0.0,-1.11419500721998,7.76000000084305,5.32729301395416,0.208465019313863,63.6941986083984,3.8048531902293,1.98941552463247,49.0608227376019,0.0,8.09644384696321,0.0,17.184,6,Sino-Vietnamese_War v2
1974,88.5692305973907,0.0,0.0,14.8983289989008,3.93211536236051,1.73512865028988,14.7826810978841,63.6941986083984,3.83741776988103,0.0,51.0027351536173,0.0,16.6584265232852,0.0,18.685,78.7119418618483,0.0,0.0,-1.9035377360829,2.31000000294743,0.218005667350994,0.277735670872488,63.6941986083984,3.83741776988103,1.96110708887637,49.0637485267785,0.0,10.3539576673622,0.0,17.292,5,Sino-Vietnamese_War v2
1975,87.2094663755865,0.0,0.0,13.5258208842859,6.70799876309979,4.70659028719371,8.37841166986657,63.6941986083984,3.85251870658491,0.0,51.0244530123258,0.0,15.6482554561903,0.0,18.782,79.2010016538051,0.0,0.0,-2.84452618697819,8.71999999748007,6.81644050625681,-1.13117515356886,63.6941986083984,3.85251870658491,1.85982338938658,49.0690898185511,0.0,9.99184170324066,0.0,17.4,4,Sino-Vietnamese_War v2
1976,86.4970941454025,0.0,0.0,0.119089828786541,2.78702949645844,1.03227086704652,8.14049887970447,63.6941986083984,3.7092507061871,0.0,51.0151225761447,0.0,15.3151586305327,0.0,18.88,79.5414656212417,0.0,0.0,-2.37601171171451,-1.57000000165334,-3.08132198489834,-0.106286227905457,63.6941986083984,3.7092507061871,1.94141535102099,49.0741118287732,0.0,9.60795084286957,0.0,17.46,3,Sino-Vietnamese_War v2
1977,85.8734163604269,0.0,0.0,-0.40776616985698,7.47052919967761,5.77824534592128,7.1660473718563,63.8592491149902,3.77906848428601,0.0,51.0013415824815,0.0,15.1988007631448,0.0,18.978,78.2814185991869,0.0,0.0,-2.1244891319489,7.57000000138399,6.11400167606094,1.09377177565865,63.8592491149902,3.77906848428601,1.85782338223958,49.0796068704939,0.0,9.33568519230769,0.0,17.52,2,Sino-Vietnamese_War v2
1978,84.7838467544662,0.0,0.0,1.22219530849977,9.17327125700571,7.47333352355257,5.840056527995,65.0512237548828,3.59693130048931,0.0,50.9885341863346,0.0,20.3800318356509,0.0,19.076,74.6563119459405,0.0,0.0,-2.38701360190128,11.3259779878894,9.84615684799608,1.67514249839924,65.0512237548828,3.59693130048931,1.68358941885647,49.0864676996339,0.0,15.4224447608145,0.0,17.9,1,Sino-Vietnamese_War v2
