Years,Age dependency ratio (% of working-age population),CPIA gender equality rating (1=low to 6=high),"Central government debt, total (% of GDP)","Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)","Literacy rate, adult total (% of people ages 15 and above)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),"Unemployment, male (% of male labor force) (national estimate)",Urban population (% of total population),Age dependency ratio (% of working-age population) 2,CPIA gender equality rating (1=low to 6=high) 2,"Central government debt, total (% of GDP) 2","Energy imports, net (% of energy use) 2",GDP growth (annual %) 2,GDP per capita growth (annual %) 2,"Inflation, GDP deflator (annual %) 2","Literacy rate, adult total (% of people ages 15 and above) 2",Military expenditure (% of GDP) 2,"Official exchange rate (LCU per US$, period average) 2","Population, female (% of total population) 2",Real interest rate (%) 2,Trade (% of GDP) 2,"Unemployment, male (% of male labor force) (national estimate) 2",Urban population (% of total population) 2,years before the war,War tracker
1964,88.9612790510155,2.75,40.8891753601982,19.2435706338539,5.45905679838097,2.73012312351256,2.35243651899155,39.6233100891113,3.42246520874751,9.03916666575e-06,49.2132932006973,0.0,9.9403578528827,9.919,33.68,69.9813512568476,0.0,0.0,42.0477207881677,5.96343364802243,5.04304873628674,4.61103122256725,0.0,3.73188179390144,0.357142999357143,50.8207881852214,0.0,39.9969979777136,0.0,37.681,10,Turkish_Invasion_Of_Cyprus
1965,89.5291330283309,2.75,40.8891753601982,18.8200905227686,2.82352954343837,0.273548786584314,4.11785566096488,39.6233100891113,3.55441860465116,9.039999999e-06,49.2530658547672,0.0,9.93500464252553,9.919,34.227,69.074591570575,0.0,0.0,44.4802289122138,5.24097380718483,4.37390737714369,4.19704019609384,0.0,3.564827031103,0.357142999357143,50.7825349340171,0.0,39.9969979777136,0.0,38.188,9,Turkish_Invasion_Of_Cyprus
1966,89.951137107401,2.75,40.8891753601982,19.3505957639559,11.2128150353514,8.42240435488509,5.94759067350768,39.6233100891113,3.14398111723053,9.039999999e-06,49.2817006569961,0.0,9.77147360126084,9.919,34.949,68.3372848494013,0.0,0.0,47.0504908576739,4.27982236218611,3.46751590457627,4.44218889984531,0.0,3.51760684319163,0.357142999357143,50.7284364523011,0.0,39.9969979777136,0.0,38.698,8,Turkish_Invasion_Of_Cyprus
1967,90.2592701777944,2.75,40.8891753601982,16.2567002103985,4.73251024393741,2.04810309423181,5.93989052660011,39.6233100891113,3.25957446808511,9.039999999e-06,49.2984286655831,0.0,9.09090909090909,9.919,35.759,67.7392525930527,0.0,0.0,50.6782931672957,3.56237064787155,2.78495039788886,3.24189028156165,0.0,3.51927599057278,0.362103332665675,50.6670629049457,0.0,39.9969979777136,0.0,39.21,7,Turkish_Invasion_Of_Cyprus
1968,90.3703265576687,2.75,40.8891753601982,18.0882742089527,6.77799601038116,4.11398596040785,4.76015624386707,39.6233100891113,3.27555555555556,9.039999999e-06,49.3141854212987,0.0,8.76190476190476,9.919,36.577,67.2240300770883,0.0,0.0,53.1202739663029,5.57238347504456,4.83182660831186,4.19666244387709,0.0,3.29994668176937,0.416666999416667,50.6061503000838,0.0,39.9969979777136,0.0,39.726,6,Turkish_Invasion_Of_Cyprus
1969,90.2707185348871,2.75,40.8891753601982,19.4359147267012,4.0811456208947,1.56230666179094,6.87631710287759,39.6233100891113,3.07933789954338,9.039999999e-06,49.3298940582334,0.0,8.33333333333333,9.919,37.401,66.7498868725326,0.0,0.0,55.0234710944757,7.03395433974019,6.29667695196676,4.20898794994788,0.0,3.1332954597103,0.416666999416667,50.5450031114071,0.0,39.9969979777136,0.0,40.242,5,Turkish_Invasion_Of_Cyprus
1970,89.8761850721526,2.75,40.8891753601982,23.1849915724913,3.2335089729326,0.836579489623389,8.64450444669336,39.6233100891113,3.25648854961832,1.1328499999e-05,49.3327667884767,0.0,10.7888040712468,9.919,38.234,66.3214085708267,0.0,0.0,53.5552790319927,5.52939611521464,4.93404366760011,5.39335650870187,0.0,2.865827276184,0.416666999416667,50.4826657358297,0.0,39.9969979777136,0.0,40.761,4,Turkish_Invasion_Of_Cyprus
1971,89.3319222402388,2.75,40.8891753601982,29.3428486169161,5.56669450058789,3.09021412401118,16.9020871544943,39.6233100891113,3.49979381443299,1.48666666670833e-05,49.255954598106,0.0,13.5670103092784,9.919,38.945,65.9775161142973,0.0,0.0,98.4465814403776,3.65623721690741,3.08341735794113,6.65733058840886,0.0,2.86678872369165,0.410730598428557,50.4193868970262,0.0,39.658015821141,0.0,41.283,3,Turkish_Invasion_Of_Cyprus
1972,88.7479418586993,2.75,40.8891753601982,31.5044402626826,7.42578832564243,4.87752239463101,10.9756760490106,39.6233100891113,3.4455205811138,1.415e-05,49.1187105065048,0.0,14.5624351435489,9.919,39.6,65.7638704306441,0.0,0.0,98.7779947968996,4.77599422184203,4.06786880451575,6.94101096975561,0.0,2.90356181823768,0.383572369170173,50.3560175051394,0.0,39.7442743706876,0.0,41.807,2,Turkish_Invasion_Of_Cyprus
1973,88.0696532557978,2.75,40.8891753601982,36.2554731869016,3.26233451840511,0.901130367305328,21.9302187016976,40.100528717041,3.34945054945055,1.415e-05,48.9881522109137,0.0,16.1263736263736,9.919,40.258,64.9641057653721,0.0,0.0,98.8334292473943,6.08271017229183,5.39764012205208,9.07652808273946,0.0,2.80728220081162,0.349950502818348,50.3469547419651,0.0,42.0255354575117,0.0,42.757,1,Turkish_Invasion_Of_Cyprus
1974,87.2548726497346,2.75,40.8891753601982,36.9660206270517,5.59447440269336,3.28170101269205,28.9923473546045,40.5882797241211,3.19302137958854,1.39270833330833e-05,48.8588924899069,0.0,17.0028237192416,9.919,40.92,64.112880278118,0.0,0.0,99.3085870225808,3.19962595308722,2.57836821351354,12.5319961961791,0.0,2.83542853670234,0.364692710725132,50.5615504189201,0.0,49.0368842395034,0.0,45.007,0,Turkish_Invasion_Of_Cyprus
