Years,Age dependency ratio (% of working-age population),CPIA gender equality rating (1=low to 6=high),"Central government debt, total (% of GDP)","Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)","Literacy rate, adult total (% of people ages 15 and above)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),"Unemployment, male (% of male labor force) (national estimate)",Urban population (% of total population),Age dependency ratio (% of working-age population) 2,CPIA gender equality rating (1=low to 6=high) 2,"Central government debt, total (% of GDP) 2","Energy imports, net (% of energy use) 2",GDP growth (annual %) 2,GDP per capita growth (annual %) 2,"Inflation, GDP deflator (annual %) 2","Literacy rate, adult total (% of people ages 15 and above) 2",Military expenditure (% of GDP) 2,"Official exchange rate (LCU per US$, period average) 2","Population, female (% of total population) 2",Real interest rate (%) 2,Trade (% of GDP) 2,"Unemployment, male (% of male labor force) (national estimate) 2",Urban population (% of total population) 2,years before the war,War tracker
2006,70.868267735144,2.75,0.0,-16.3186041548541,5.04619555585526,0.644012233201963,9.09650632380644,72.6801986694336,4.39444682311126,11.225,49.5704618770371,0.0,74.2052265865927,5.28,54.146,52.2002887151974,2.75,40.8891753601982,71.7129388924415,6.94798808571993,5.85508876576858,9.37620636352707,88.0,2.3595222796582,1.42845341333845,49.8528103557597,0.0,48.7628710706907,9.919,68.45,10,Turkish_Invasion_of_Syria v2
2007,66.9388746305668,2.25,0.0,-6.23814446026102,5.67459177685805,-0.635804298088587,10.7690643740435,73.388427734375,4.10054365333056,11.225,49.5839208010869,0.0,76.3793535157197,5.21,54.511,51.7039880562328,2.25,40.8891753601982,72.7254988268207,5.04350793157104,4.87467469551008,6.1997582025374,89.0,2.21792932113531,1.30293090533794,49.872071026068,0.0,47.8508167487862,10.042,69.053,9,Turkish_Invasion_of_Syria v2
2008,65.6405173888153,2.25,0.0,-4.27294699207082,4.47667273608019,0.843363715439807,15.9501259770903,75.1688766479492,3.5523398057458,11.225,49.5850103747984,0.0,74.2279600990172,8.35,54.875,51.0570512318991,2.25,40.8891753601982,70.6420063612313,0.815024573007705,-0.452853692268519,12.046153593928,75.1688766479492,2.199273923442,1.30152170281795,49.8677118421185,0.0,50.5482538951665,10.735,69.651,8,Turkish_Invasion_of_Syria v2
2009,65.8946920115445,2.5,0.0,-12.4743881194655,5.91204279337705,4.27155320051828,-2.78022303939403,73.7108917236328,4.02770775856936,11.225,49.5775827867801,0.0,59.9438252393676,5.69,55.237,50.2459919396016,2.5,48.4710258625545,69.035881178924,-4.82315395301769,-6.12785740051382,5.44644910319889,91.0,2.48931174211555,1.54995977566564,49.8402453007284,0.0,46.7870669467638,13.913,70.241,7,Turkish_Invasion_of_Syria v2
2010,65.4955827080745,2.5,0.0,-27.7454834821403,5.19190584075331,2.82697106833621,6.8992650940543,74.2341003417969,4.05614173609585,11.225,49.5736646867346,0.0,64.0101646947258,6.23,55.6,49.4548531901584,2.5,45.145314794996,69.6247665957724,8.42710432276191,6.79208232586733,7.00928360259741,93.0,2.27171421902952,1.5028486296723,49.8125159405454,0.0,46.6944652263085,11.431,70.825,6,Turkish_Invasion_of_Syria v2
2011,65.4332716281491,2.5,0.0,-26.1520902042094,2.8500028435797,1.07121071780338,11.5740778155847,74.5367126464844,2.75988097126208,48.3366666666667,49.5731244791416,0.0,50.6960943456553,8.026542877469035,54.58,48.7243135492246,2.5,40.0769538067827,71.6075765301558,11.2001105833504,9.57986395820123,8.20084709330651,94.0,2.02750659150507,1.67495455197133,49.8095100541597,0.0,53.3041756356468,9.169,71.402,5,Turkish_Invasion_of_Syria v2
2012,66.9195396903742,2.5,0.0,5.4555993515808,-26.3390170772532,-25.9560309972065,26.2462552485551,75.32568359375,2.83150022145137,64.5808333333333,49.5993301863468,0.0,35.3686903315942,9.82308575493807,53.555,48.0371465077245,2.5,37.9602291228126,74.0171227979713,4.78849271108008,3.46121242479198,7.42267328660553,95.0,2.00944779894555,1.79600094441355,49.8297336846283,0.0,52.830802656723,8.539,71.974,4,Turkish_Invasion_of_Syria v2
2013,71.6990633976703,2.5,0.0,37.7285964100716,-26.3000876615061,-22.5827773307621,31.7701939095293,76.0375213623047,3.12327761207458,108.733333333333,49.6459025690687,0.0,44.7052547833532,9.43707714123445,52.529,47.3558028630143,2.5,32.1216452754771,73.0653554197625,8.48581699653026,7.10131954327058,6.2801096970818,95.0,1.92395933259341,1.90376824244752,49.8470171949068,0.0,52.5272987998138,8.741,72.531,3,Turkish_Invasion_of_Syria v2
2014,77.7771171894011,2.5,0.0,47.8337350026633,-10.310339909053,-4.14663574302196,37.0945840345087,86.3000030517578,3.43544975792933,154.13,49.6928551476574,0.0,54.2644225210945,9.63936708695472,51.5,46.6296994569191,2.5,31.3464166832739,74.2081113644868,4.9397151613658,3.53349204037028,7.38951863770303,95.0,1.87196655112723,2.18854241775473,49.8619908920678,0.0,53.7663011662543,9.034,73.077,2,Turkish_Invasion_of_Syria v2
2015,80.9126541140768,2.25,0.0,20.9690424983259,-4.179791613232,0.0084650386573628,38.2145477487644,76.9436798095703,3.38860316875056,237.029166666667,49.7633106607296,0.0,51.0862078228369,9.74028743446481,52.168,45.9452643498497,2.25,29.0056748886147,75.2078800411834,6.08448690443663,4.6785959933809,7.84491693010263,96.0,1.81284829274449,2.72000852790578,49.8768081565896,0.0,51.0885436007552,9.245,73.611,1,Turkish_Invasion_of_Syria v2
