Years,Age dependency ratio (% of working-age population),CPIA gender equality rating (1=low to 6=high),"Central government debt, total (% of GDP)","Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)","Literacy rate, adult total (% of people ages 15 and above)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),"Unemployment, male (% of male labor force) (national estimate)",Urban population (% of total population),Age dependency ratio (% of working-age population) 2,CPIA gender equality rating (1=low to 6=high) 2,"Central government debt, total (% of GDP) 2","Energy imports, net (% of energy use) 2",GDP growth (annual %) 2,GDP per capita growth (annual %) 2,"Inflation, GDP deflator (annual %) 2","Literacy rate, adult total (% of people ages 15 and above) 2",Military expenditure (% of GDP) 2,"Official exchange rate (LCU per US$, period average) 2","Population, female (% of total population) 2",Real interest rate (%) 2,Trade (% of GDP) 2,"Unemployment, male (% of male labor force) (national estimate) 2",Urban population (% of total population) 2,years before the war,War tracker
1993,52.1602619489498,0.0,48.2461403335599,20.287092675434,2.75179586183873,1.40572318185168,2.37032483639894,76.1023635864258,4.60435029507644,1.0,50.7103261430005,3.54563216381481,20.0446187019752,7.2,76.488,92.8411763423899,0.0,0.0,-18.0416119907598,30.289829491298,24.1804989010671,114.467671710136,59.2028503417969,3.48820150107163,2002.38629443332,50.6961155282262,6.3162297490151,0.544696684469833,5.09591802019037,69.152,10,US_Invasion_of_Iraq
1994,52.1445550097576,0.0,47.3534821707435,18.7960037621226,4.02902272904724,2.76110896950976,2.13519841812374,76.5013885498047,4.2152646751779,1.0,50.6603956134294,4.89854133804845,21.0554591617453,6.175,76.875,92.0679652454741,0.0,0.0,-18.4451162829544,3.85453244895318,-0.985588929120453,396.438017397365,60.1414985656738,3.87647649103154,2002.38738948844,50.6555326302547,6.3162297490151,0.0995823619218853,5.09591802019037,68.966,9,US_Invasion_of_Iraq
1995,51.9691102485906,0.0,47.2095352870886,19.7408464242136,2.68443073540719,1.46892917058395,2.09668848657614,76.9117736816406,3.8602457917389,1.0,50.6112779949862,6.59421797111052,22.4533816490568,5.633,77.257,91.3021068910745,0.0,0.0,-19.6388038698224,2.12002149763362,-1.24405312442356,295.367667143229,61.678768157959,3.31213069823582,2002.38722845093,50.6138017535025,6.3162297490151,0.0209992321838355,5.09591802019037,68.78,8,US_Invasion_of_Iraq
1996,51.6754019155487,0.0,46.7417685500108,20.5835348178363,3.7727726858688,2.57246399417865,1.83076455933455,77.2962417602539,3.55498220635218,1.0,50.5612268677032,6.32428598750851,22.6870719902412,5.435,77.636,90.5489786714341,0.0,0.0,-23.3642600386635,11.0207856442117,7.53308314946619,-12.544137451324,62.8411598205566,3.13499369274917,2002.38721234717,50.5703858846626,6.3162297490151,0.0268884829090311,5.09591802019037,68.593,7,US_Invasion_of_Iraq
1997,51.2932387708189,0.0,44.1174824705231,21.5098249494927,4.44712794186451,3.19716561383218,1.72444795356148,79.2883834838867,3.40556224418855,1.0,50.5096341925737,6.60334742359249,23.4283278026178,4.937,78.008,89.8334071497553,0.0,0.0,-99.247744550882,21.2379361287918,17.546269712514,91.4987978380229,63.9688110351562,3.3192946749294,2002.38721234717,50.524931826772,6.3162297490151,106.188169939941,5.09591802019037,68.405,6,US_Invasion_of_Iraq
1998,50.8653430749568,0.0,41.1291544339911,21.5698941494774,4.48313334577439,3.27222983411085,1.12386562495534,80.4686508178711,3.20155849896996,1.0,50.454504576304,7.14994526467848,22.8258939797637,4.416,78.377,89.1620796654062,0.0,0.0,-293.802394013774,35.0009676191703,30.8254376047419,-15.9504339359416,65.1422882080078,3.35962769236804,2002.38724455468,50.4777490342766,6.3162297490151,132.243160520961,5.09591802019037,68.388,5,US_Invasion_of_Iraq
1999,50.4451370434482,0.0,37.7272880185298,24.4574111759769,4.78842505322162,3.59198037783612,1.41509811709537,80.8059387207031,3.08567678324746,1.0,50.3966081677337,6.48726735143027,23.3135697296238,4.115,78.742,88.4946577757058,0.0,0.0,-496.436166308582,17.5801703743879,13.838701148247,71.151095297895,66.2641677856445,3.09916651603939,2002.3897728437,50.4302979875174,6.3162297490151,138.314601242921,5.09591802019037,68.442,4,US_Invasion_of_Iraq
2000,50.0358331385231,0.0,33.2676418736523,26.6594195867123,4.07758575804293,2.92586254490257,2.26519517669861,80.9791793823242,3.11224214697679,1.0,50.3370422682904,6.8137924585142,25.1029855568536,3.9,79.057,87.8154980028886,0.0,0.0,-419.640109784403,16.7961344439661,13.0301611362353,24.7463688646904,74.0,2.94588451317973,2002.40340735354,50.3846330846932,6.3162297490151,125.336595640904,5.09591802019037,68.496,3,US_Invasion_of_Iraq
2001,49.6385027806598,0.0,52.4430470096709,24.3005371666905,0.955538346430316,-0.038731925617185,2.25168991597403,81.2859573364258,3.12380980266703,1.0,50.2947750682911,4.56713894364996,22.9671830154975,4.799,79.234,87.1176985817565,0.0,0.0,-359.759973670637,1.76660876568174,-1.35847551126994,-19.1508057512295,68.495979309082,3.21957939521919,2002.40491037037,50.3415689598791,6.3162297490151,126.780255976775,7.402322799438005,68.55,2,US_Invasion_of_Iraq
2002,49.2523674393258,0.0,53.861925419714,26.60412855113,1.70044732363073,0.761236853294676,1.55399465961345,81.64013671875,3.44761809928778,1.0,50.2713507494489,3.0732472423635,22.2863842136065,5.931,79.409,86.3837568242254,0.0,0.0,-316.685106972675,-8.20370481187175,-11.0582696179366,8.16786888651433,69.5149536132812,3.18399127260629,2002.37270286683,50.3006087694797,6.3162297490151,119.762047746987,9.70872757868564,68.604,1,US_Invasion_of_Iraq
