Years,Age dependency ratio (% of working-age population),CPIA gender equality rating (1=low to 6=high),"Central government debt, total (% of GDP)","Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)","Literacy rate, adult total (% of people ages 15 and above)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),"Unemployment, male (% of male labor force) (national estimate)",Urban population (% of total population),Age dependency ratio (% of working-age population) 2,CPIA gender equality rating (1=low to 6=high) 2,"Central government debt, total (% of GDP) 2","Energy imports, net (% of energy use) 2",GDP growth (annual %) 2,GDP per capita growth (annual %) 2,"Inflation, GDP deflator (annual %) 2","Literacy rate, adult total (% of people ages 15 and above) 2",Military expenditure (% of GDP) 2,"Official exchange rate (LCU per US$, period average) 2","Population, female (% of total population) 2",Real interest rate (%) 2,Trade (% of GDP) 2,"Unemployment, male (% of male labor force) (national estimate) 2",Urban population (% of total population) 2,years before the war,War tracker
1979,50.7891686161789,0.0,39.128400199944,18.5741089628757,3.16598822881279,2.03373170962784,8.29672198172402,67.2337493896484,4.95199153527265,1.0,51.3441634058674,4.03438928866804,18.3761632042836,5.1,73.692,82.05613440256,0.0,0.0,71.2275168578521,4.51475107286734,2.04118412136009,9.24521795879687,80.3227233886719,1.9813512316174,1.0,49.4053781458094,0.0,131.863049228414,6.71,50.159,10,US_Invasion_of_Panama
1980,50.3205679983998,0.0,39.128400199944,13.9313696085034,-0.256775732470302,-1.20932407292817,9.03310538792248,67.8475494384766,5.15353746651636,1.0,51.3316820721847,5.71636286358695,20.1098446894226,6.9,73.738,80.4753405233374,0.0,0.0,62.6659482743362,13.0844817338517,10.4281546207155,10.1405046858082,88.0,1.62033378743885,1.0,49.4197291081534,0.0,137.501946214098,6.5633333333333335,50.447,9,US_Invasion_of_Panama
1981,50.0520528903637,0.0,39.128400199944,11.801346091942,2.53770126730302,1.53630241719003,9.46216408749201,68.4505310058594,5.64654125624258,1.0,51.3021412279737,8.59460069233457,19.4259131704272,7.4,73.89,78.9365854181099,0.0,0.0,62.3083487441178,9.20680945047272,6.65242605625258,3.64216561534043,81.0740585327148,1.67272363164709,1.0,49.4336011750044,0.0,133.722896552873,6.416666666666666,50.786,8,US_Invasion_of_Panama
1982,49.9439250729823,0.0,39.128400199944,9.04865570986495,-1.80301378770601,-2.73469491077486,6.17840414954172,69.0421371459961,6.81405709441284,1.0,51.2578846722031,8.17720821228698,17.5368122809184,9.9,74.042,77.4642394516975,0.0,0.0,65.6059064986015,5.34845643566845,2.89203635965703,4.87168495435731,81.4611129760742,1.79527529425596,1.0,49.4470518527759,0.0,116.784969807884,6.27,51.126,7,US_Invasion_of_Panama
1983,49.9232284077432,0.0,39.128400199944,12.7705810086971,4.58379098591793,3.63185804031656,3.91690878504356,69.6113204956055,6.32114425976717,1.0,51.2089672331993,6.61803546894282,16.6655934803103,9.9,74.194,76.0829266003379,0.0,0.0,69.4084685972255,-4.49136434329135,-6.71122579830379,7.49695684357694,81.8425598144531,1.93672394578772,1.0,49.4600462803876,0.0,93.1350462972318,7.68,51.465,6,US_Invasion_of_Panama
1984,49.8830003733776,0.0,39.128400199944,9.51353880131994,7.23645315874113,6.31198921610689,3.60787931289983,70.2723693847656,6.23641652963897,1.0,51.1580827437964,8.14090660192676,17.5224074224053,7.4,74.344,74.7756371709318,0.0,0.0,63.2355672209085,2.70947377521715,0.337222278199917,1.62926324014725,82.2132110595703,1.72000583089054,1.0,49.4727964061444,0.0,91.8770280450338,8.25,51.805,5,US_Invasion_of_Panama
1985,49.7654113331785,0.0,39.128400199944,11.5371937535261,4.1695753468006,3.25057626031526,3.16252525583639,70.8643569946289,6.4532192046686,1.0,51.1089087622716,6.56324383365547,16.603906126303,7.0,74.494,73.4900032476439,0.0,0.0,61.2751596962758,4.94223364743267,2.55183283711209,0.809565223752884,82.5738372802734,1.64115313436346,1.0,49.4848279011229,0.0,94.0595722053528,9.49,52.143,4,US_Invasion_of_Panama
1986,49.7054297393338,0.0,39.128400199944,12.0486465321885,3.46265505318908,2.51089496601867,2.01389253563396,71.4160385131836,6.62652265789842,1.0,51.0643291580197,6.19386958708484,16.8979771514343,6.9,74.644,72.2095159708655,0.0,0.0,61.8283748269958,3.56778822646233,1.24877510996606,0.338449387940813,82.9252700805664,1.65161675297798,1.0,49.4969851087693,0.0,97.3274590898378,8.7,52.482,3,US_Invasion_of_Panama
1987,49.8926857604386,0.0,39.128400199944,13.8549791345335,3.45462966457823,2.5340423430043,2.47738846679574,72.1094207763672,6.42027402288488,1.0,51.0235149034866,5.58752028345538,17.9735809845702,6.2,74.793,70.9598528924662,0.0,0.0,64.6096750375815,-1.80905547693988,-3.96932706404588,2.28930264704302,83.2176132202148,1.84098043736587,1.0,49.5091161049014,0.0,98.5907715775113,9.42,52.82,2,US_Invasion_of_Panama
1988,50.2833103997195,0.0,39.128400199944,15.668952653384,4.17698239778066,3.23533792848181,3.52749985937888,73.824089050293,6.0712777020948,1.0,50.9823280815196,5.59030223706963,19.0701007058615,5.5,74.942,69.7753019785548,0.0,0.0,61.3454223082904,-13.3798437861779,-15.2529185907751,-0.191929164063993,83.7077102661133,2.1109857421274,1.0,49.5213035436203,0.0,97.6653454707486,14.0,53.159,1,US_Invasion_of_Panama
1989,50.77464898173,0.0,39.128400199944,16.9955043022868,3.67223783573645,2.69776021537939,3.92075948089523,74.3468170166016,5.87120600804653,1.0,50.9426847513223,6.6902646662395,19.4151106604887,5.2,75.089,68.6877022789984,0.0,0.0,58.7884827738887,1.56224701004832,-0.591338056469212,-1.27655820026008,84.1494979858398,2.0849104859335,1.0,49.541043197476,0.0,109.597744335875,13.68,53.497,0,US_Invasion_of_Panama
