Years,Age dependency ratio (% of working-age population),CPIA gender equality rating (1=low to 6=high),"Central government debt, total (% of GDP)","Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)","Literacy rate, adult total (% of people ages 15 and above)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),"Unemployment, male (% of male labor force) (national estimate)",Urban population (% of total population),Age dependency ratio (% of working-age population) 2,CPIA gender equality rating (1=low to 6=high) 2,"Central government debt, total (% of GDP) 2","Energy imports, net (% of energy use) 2",GDP growth (annual %) 2,GDP per capita growth (annual %) 2,"Inflation, GDP deflator (annual %) 2","Literacy rate, adult total (% of people ages 15 and above) 2",Military expenditure (% of GDP) 2,"Official exchange rate (LCU per US$, period average) 2","Population, female (% of total population) 2",Real interest rate (%) 2,Trade (% of GDP) 2,"Unemployment, male (% of male labor force) (national estimate) 2",Urban population (% of total population) 2,years before the war,War tracker
1968,93.4021741882859,0.0,0.0,26.6711270495099,6.28556212963629,3.00122354214309,0.889836908635644,65.6587829589844,1.47320294640589,7.14286000614286,50.6287971419315,0.0,25.3439085125294,0.0,6.804,95.8769259573699,0.0,0.0,26.6711270495099,3.13406958315265,0.442777293489783,2.71222764713974,65.6587829589844,1.79408060453401,0.07143000007143,49.8985799545621,0.0,46.5587044534413,0.0,6.283,10,Uganda-Tanzania_War
1969,93.7800628339241,0.0,0.0,29.3267848163251,3.26163984438857,-0.0933021874698738,1.7240539879611,65.6587829589844,1.73497763269254,7.14286000614286,50.5907399878804,0.0,25.3439085125294,0.0,7.311,96.0249146012153,0.0,0.0,29.3267848163251,9.02308156424971,6.16024503034697,4.5398067822355,65.6587829589844,1.82458100558659,0.07143000007143,49.9465194613843,0.0,41.8713310171319,0.0,6.562,9,Uganda-Tanzania_War
1970,94.2165607515971,0.0,0.0,29.5000190919107,-46.4330351414871,-48.20471577395,3.52049574624573,65.6587829589844,2.29997819925877,7.14286000614286,50.5555679902833,0.0,25.3439085125294,0.0,7.852,96.3847043118775,0.0,0.0,29.5000190919107,7.85077355409223,4.99754726424923,3.78500364659838,65.6587829589844,1.97302904564315,0.07143000007143,49.9929565210989,0.0,43.4700455707458,0.0,6.664,8,Uganda-Tanzania_War
1971,94.6877773437897,0.0,0.0,9.29423801668862,3.90146077101619,0.406481520825338,2.97053771045424,65.6587829589844,3.09761565111066,7.14286000554762,50.5227088097513,0.0,25.3795158345828,0.0,8.431,97.0022399339801,0.0,0.0,-45.6442670155033,7.75559333657954,4.89357237501264,3.51414655935717,65.6587829589844,3.46866359447005,0.0714299958900811,50.0505452616007,0.0,43.7716092067569,0.0,6.737,7,Uganda-Tanzania_War
1972,95.0346492650089,0.0,0.0,9.95710663699424,7.11531519183237,3.42036091375211,6.27553755521015,65.6587829589844,3.43268886501969,7.142899999,50.4883278615022,0.0,25.5245925629191,0.0,9.048,98.025636850995,0.0,0.0,-54.48266794988,2.9513160362082,0.228163375136404,5.56553386565341,65.6587829589844,4.06217162872154,0.07142999999,50.1186775868297,0.0,36.169014084507,0.0,6.812,6,Uganda-Tanzania_War
1973,95.380779086353,0.0,0.0,10.1791922278759,6.19196242050393,2.48589160569772,10.4455348010364,65.6587829589844,4.17461650003816,7.02144666566667,50.4561561577767,0.0,28.5429697000338,0.0,9.704,99.1964032440585,0.0,0.0,-60.8476831993856,4.33322887062624,1.49702270289312,10.3188724632545,65.6587829589844,3.49577897160399,0.07021449999,50.1772441087253,0.0,29.7054952286936,0.0,6.887,5,Uganda-Tanzania_War
1974,95.8970907797272,0.0,0.0,9.31303685604501,2.11339071824315,-1.45611358386584,19.5373650689805,65.6587829589844,5.3551331749406,7.13498333233333,50.4287725643136,0.0,33.1861732544812,0.0,10.403,100.047416692041,0.0,0.0,-67.3191636993505,7.57055680647582,4.57910669550226,14.4892090698909,65.6587829589844,3.62484157160963,0.07135949999,50.2326727001246,0.0,29.7649775845673,0.0,6.963,4,Uganda-Tanzania_War
1975,96.4444926476164,0.0,0.0,8.44204736784199,3.98942559802084,0.324336164089516,14.3032786378808,65.6587829589844,5.36005470517069,7.36679166566667,50.4030241980583,0.0,31.4657023475941,0.0,11.146,100.684693060542,0.0,0.0,-51.1230418313164,-0.265791404203441,-3.03964334588585,11.286974864322,65.6587829589844,2.82293497363796,0.07421924999,50.2855890369835,0.0,19.5658316067056,0.0,7.04,3,Uganda-Tanzania_War
1976,96.9676010270055,0.0,0.0,9.06024655546001,3.30601216563538,-0.344856273571452,24.3361209926008,65.6587829589844,4.68897170236291,8.37677499941667,50.3805222329309,0.0,32.2982086258237,0.0,11.937,101.248657483385,0.0,0.0,-58.9288655698999,5.17825723634195,2.25270855851304,10.1095397022797,65.6587829589844,3.18528402592451,0.0826616666625,50.3301696934403,0.0,20.9945654394639,0.0,7.118,2,Uganda-Tanzania_War
1977,97.5090514449874,0.0,0.0,8.61053762059106,0.0495928503172962,-3.4796331153766,18.1608173906812,65.9490966796875,5.47665234862131,8.2892083325,50.3631288988735,0.0,32.6954310653854,0.0,12.773,101.68650976582,0.0,0.0,-58.8077409485305,2.76415334840452,-0.057063244062391,10.5799394870567,65.9490966796875,2.03606802466829,0.0825899999933333,50.3728376544712,0.0,16.9511217948718,0.0,7.197,1,Uganda-Tanzania_War
