Years,Age dependency ratio (% of working-age population),CPIA gender equality rating (1=low to 6=high),"Central government debt, total (% of GDP)","Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)","Literacy rate, adult total (% of people ages 15 and above)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),"Unemployment, male (% of male labor force) (national estimate)",Urban population (% of total population),Age dependency ratio (% of working-age population) 2,CPIA gender equality rating (1=low to 6=high) 2,"Central government debt, total (% of GDP) 2","Energy imports, net (% of energy use) 2",GDP growth (annual %) 2,GDP per capita growth (annual %) 2,"Inflation, GDP deflator (annual %) 2","Literacy rate, adult total (% of people ages 15 and above) 2",Military expenditure (% of GDP) 2,"Official exchange rate (LCU per US$, period average) 2","Population, female (% of total population) 2",Real interest rate (%) 2,Trade (% of GDP) 2,"Unemployment, male (% of male labor force) (national estimate) 2",Urban population (% of total population) 2,years before the war,War tracker
1968,94.8145194064578,0.0,0.0,26.6711270495099,1.7736144814847,-0.8461916772509,3.31062441847774,63.6941986083984,5.75534955942443,0.0,50.7222331041435,0.0,10.1647823819344,0.0,17.529,88.2043120396981,0.0,0.0,26.6711270495099,1.7736144814847,-0.8461916772509,3.31062441847774,63.6941986083984,5.75534955942443,35.0,49.8172814598434,0.0,10.1647823819344,0.0,13.291,10,Vietnmese-Cambodian_War v2
1969,94.1852512004364,0.0,0.0,29.3267848163251,11.3845160873323,8.41559444248348,4.10566063066081,63.6941986083984,5.36918961370236,0.0,50.7737673283312,0.0,9.42170413439605,0.0,17.911,88.0511509038789,0.0,0.0,29.3267848163251,11.3845160873323,8.41559444248348,4.10566063066081,63.6941986083984,5.36918961370236,43.5583333329167,49.8302427685872,0.0,9.42170413439605,0.0,14.579,9,Vietnmese-Cambodian_War v2
1970,93.2914108064935,0.0,0.0,29.5000190919107,13.4416904941666,10.4204173067411,4.72201383000848,63.6941986083984,4.97131726066181,0.0,50.816527137198,0.0,9.6912291395322,0.0,18.3,89.8970339519953,0.0,0.0,29.5000190919107,13.4416904941666,10.4204173067411,4.72201383000848,63.6941986083984,4.97131726066181,55.539999999,49.9668784497849,0.0,9.6912291395322,0.0,15.97,8,Vietnmese-Cambodian_War v2
1971,92.4350911486962,0.0,0.0,24.4812877580099,6.77391445633133,3.95669510148244,3.41352952874581,63.6941986083984,4.49267364520683,0.0,50.8553408543411,0.0,9.79934946387211,0.0,18.396,92.5360608170238,0.0,0.0,-3.98082050940351,6.77391445633133,3.95669510148244,3.41352952874581,63.6941986083984,4.49267364520683,75.8216666659167,50.2257252812315,0.0,9.79934946387211,0.0,18.717,7,Vietnmese-Cambodian_War v2
1972,91.2195058375903,0.0,0.0,27.9910746668249,4.90360784355259,2.3571354881029,6.82337121748282,63.6941986083984,4.22720974134367,0.0,50.9078863562874,0.0,10.6619406102623,0.0,18.492,93.294054065326,0.0,0.0,-5.48240976210719,4.90360784355259,2.3571354881029,6.82337121748282,63.6941986083984,4.22720974134367,162.25,50.4756748916598,0.0,10.6619406102623,0.0,21.818,6,Vietnmese-Cambodian_War v2
1973,89.8803425176672,0.0,0.0,25.7300371926796,8.26656664151176,5.78750177243337,15.9974512046132,63.6941986083984,3.8048531902293,0.0,50.9604601320518,0.0,13.2024248414277,0.0,18.588,93.2907598385125,0.0,0.0,-7.26868319853891,8.26656664151176,5.78750177243337,15.9974512046132,63.6941986083984,3.8048531902293,244.916666666667,50.7153034536859,0.0,13.2024248414277,0.0,25.263,5,Vietnmese-Cambodian_War v2
1974,88.5692305973907,0.0,0.0,14.8983289989008,3.93211536236051,1.73512865028988,14.7826810978841,63.6941986083984,3.83741776988103,0.0,51.0027351536173,0.0,16.6584265232852,0.0,18.685,92.6305996639946,0.0,0.0,-7.94103031861715,3.93211536236051,1.73512865028988,14.7826810978841,63.6941986083984,3.83741776988103,244.916666666667,50.9504455098154,0.0,16.6584265232852,0.0,29.055,4,Vietnmese-Cambodian_War v2
1975,87.2094663755865,0.0,0.0,13.5258208842859,6.70799876309979,4.70659028719371,8.37841166986657,63.6941986083984,3.85251870658491,0.0,51.0244530123258,0.0,15.6482554561903,0.0,18.782,92.2975175413018,0.0,0.0,-7.45091399900568,6.70799876309979,4.70659028719371,8.37841166986657,63.6941986083984,3.85251870658491,244.916666666667,51.4751483429291,0.0,15.6482554561903,0.0,4.477,3,Vietnmese-Cambodian_War v2
1976,86.4970941454025,0.0,0.0,0.119089828786541,2.78702949645844,1.03227086704652,8.14049887970447,63.6941986083984,3.7092507061871,0.0,51.0151225761447,0.0,15.3151586305327,0.0,18.88,91.8037614851854,0.0,0.0,-8.86685818420567,0.0,7.275968294004,-1.19850187060966,63.6941986083984,3.7092507061871,244.916666666667,52.1586421235174,0.0,15.3151586305327,0.0,4.82,2,Vietnmese-Cambodian_War v2
1977,85.8734163604269,0.0,0.0,-0.40776616985698,7.47052919967761,5.77824534592128,7.1660473718563,63.8592491149902,3.77906848428601,0.0,51.0013415824815,0.0,15.1988007631448,0.0,18.978,89.9206116537871,0.0,0.0,-9.20395173263195,-14.6764073144395,-7.65550610489709,15.6014728085327,63.8592491149902,3.77906848428601,244.916666666667,52.6910316234255,0.0,15.1988007631448,0.0,5.186,1,Vietnmese-Cambodian_War v2
